Date,Open,High,Low,Close
2006.01.03,0.85208,0.85808,0.84985,0.85505
2006.01.04,0.855,0.85956,0.85483,0.85632
2006.01.05,0.85635,0.87143,0.85623,0.86797
2006.01.06,0.86789,0.88015,0.86591,0.87814
2006.01.09,0.87815,0.88239,0.87576,0.88057
2006.01.10,0.88051,0.88081,0.86999,0.87263
2006.01.11,0.87244,0.87656,0.87026,0.87438
2006.01.12,0.87446,0.87582,0.87141,0.87179
2006.01.13,0.87174,0.8759,0.87026,0.87538
2006.01.16,0.87563,0.87819,0.87218,0.87301
2006.01.17,0.87303,0.87569,0.8701,0.87508
2006.01.18,0.87497,0.87819,0.86766,0.87434
2006.01.19,0.8743,0.88017,0.86819,0.86819
2006.01.20,0.86821,0.87332,0.85995,0.86099
2006.01.23,0.86125,0.8684,0.86125,0.86544
2006.01.24,0.86551,0.86832,0.86167,0.86514
2006.01.25,0.86516,0.86956,0.86388,0.86559
2006.01.26,0.86564,0.87287,0.86333,0.86348
2006.01.27,0.86354,0.86646,0.86053,0.86089
2006.01.30,0.86067,0.86325,0.85548,0.85698
2006.01.31,0.85689,0.86648,0.85645,0.86293
2006.02.01,0.86282,0.86413,0.85677,0.85887
2006.02.02,0.85893,0.86349,0.85716,0.86186
2006.02.03,0.86185,0.86281,0.85627,0.85627
2006.02.06,0.85644,0.85697,0.84886,0.84964
2006.02.07,0.84961,0.85604,0.84853,0.85243
2006.02.08,0.85239,0.85407,0.84805,0.84862
2006.02.09,0.84863,0.85245,0.84543,0.84738
2006.02.10,0.84739,0.85379,0.84584,0.84943
2006.02.13,0.84955,0.85437,0.84902,0.85125
2006.02.14,0.85123,0.85583,0.84996,0.85514
2006.02.15,0.85506,0.85874,0.85271,0.85402
2006.02.16,0.85396,0.85643,0.852,0.85481
2006.02.17,0.85475,0.85765,0.84773,0.84999
2006.02.20,0.84999,0.853,0.84923,0.84984
2006.02.21,0.84983,0.85017,0.84517,0.84662
2006.02.22,0.84641,0.84907,0.84295,0.84527
2006.02.23,0.84525,0.85343,0.84359,0.85123
2006.02.24,0.85113,0.8551,0.84824,0.8487
2006.02.27,0.84871,0.84999,0.83976,0.84075
2006.02.28,0.84076,0.84557,0.8395,0.84347
2006.03.01,0.84352,0.84915,0.8428,0.84446
2006.03.02,0.84466,0.84803,0.84353,0.84598
2006.03.03,0.84593,0.84668,0.84117,0.84481
2006.03.06,0.84457,0.84788,0.84256,0.84272
2006.03.07,0.84273,0.84412,0.84024,0.84306
2006.03.08,0.84302,0.84965,0.84084,0.84835
2006.03.09,0.84808,0.85519,0.84713,0.85105
2006.03.10,0.85072,0.85471,0.84727,0.84853
2006.03.13,0.84839,0.85251,0.84681,0.85234
2006.03.14,0.85198,0.85284,0.84785,0.85277
2006.03.15,0.85277,0.85468,0.85081,0.85291
2006.03.16,0.85297,0.85361,0.84519,0.84971
2006.03.17,0.84968,0.851,0.84119,0.84201
2006.03.20,0.84211,0.84339,0.83335,0.8353
2006.03.21,0.83523,0.83767,0.83146,0.83398
2006.03.22,0.83404,0.83972,0.83324,0.83786
2006.03.23,0.83779,0.84048,0.83108,0.83216
2006.03.24,0.83213,0.83261,0.82457,0.82678
2006.03.27,0.82682,0.82913,0.82247,0.82407
2006.03.28,0.82412,0.83035,0.82278,0.82466
2006.03.29,0.82468,0.82932,0.8208,0.82891
2006.03.30,0.82888,0.83169,0.82592,0.82893
2006.03.31,0.82901,0.83671,0.82645,0.8356
2006.04.01,0.83558,0.83741,0.83541,0.83634
2006.04.03,0.83598,0.84262,0.83331,0.83765
2006.04.04,0.83762,0.84392,0.83415,0.83733
2006.04.05,0.83721,0.84674,0.83671,0.84547
2006.04.06,0.84538,0.84893,0.84082,0.84224
2006.04.07,0.84217,0.84627,0.83221,0.83412
2006.04.10,0.83359,0.83796,0.83232,0.83745
2006.04.11,0.83741,0.83996,0.83452,0.83786
2006.04.12,0.83786,0.8408,0.83566,0.83942
2006.04.13,0.83938,0.84233,0.83281,0.83726
2006.04.14,0.83719,0.83872,0.83579,0.83786
2006.04.17,0.83782,0.84521,0.83681,0.84389
2006.04.18,0.84396,0.84747,0.84157,0.84551
2006.04.19,0.84544,0.84941,0.84486,0.84736
2006.04.20,0.84731,0.8476,0.8389,0.83985
2006.04.21,0.83987,0.84858,0.83911,0.84544
2006.04.24,0.84548,0.84898,0.84457,0.84608
2006.04.25,0.84568,0.84949,0.84199,0.84329
2006.04.26,0.84327,0.84966,0.84026,0.84855
2006.04.27,0.8485,0.85102,0.84577,0.84859
2006.04.28,0.84855,0.85121,0.8466,0.84754
2006.05.01,0.84775,0.85072,0.84411,0.84527
2006.05.02,0.8453,0.84553,0.84103,0.84222
2006.05.03,0.84219,0.85393,0.84046,0.85386
2006.05.04,0.85373,0.85523,0.84992,0.85373
2006.05.05,0.85358,0.85696,0.85117,0.85291
2006.05.08,0.85298,0.85683,0.85078,0.85411
2006.05.09,0.8541,0.85581,0.8483,0.8504
2006.05.10,0.8503,0.8547,0.84797,0.85161
2006.05.11,0.85173,0.85602,0.84908,0.85519
2006.05.12,0.85523,0.85869,0.85253,0.8571
2006.05.15,0.85729,0.85841,0.8451,0.84585
2006.05.16,0.84585,0.85271,0.84468,0.84862
2006.05.17,0.84836,0.85353,0.84247,0.84424
2006.05.18,0.84403,0.86014,0.84345,0.85565
2006.05.19,0.85562,0.85624,0.84639,0.84663
2006.05.22,0.84699,0.84805,0.83746,0.83982
2006.05.23,0.83991,0.85008,0.83733,0.84508
2006.05.24,0.84499,0.84834,0.84168,0.84195
2006.05.25,0.84204,0.84483,0.83659,0.84121
2006.05.26,0.84128,0.84301,0.83651,0.83821
2006.05.29,0.83674,0.83941,0.83509,0.83841
2006.05.30,0.83843,0.84135,0.8361,0.83705
2006.05.31,0.83705,0.83998,0.82682,0.82813
2006.06.01,0.82797,0.8288,0.82227,0.82287
2006.06.02,0.8229,0.82781,0.82171,0.82774
2006.06.05,0.82755,0.82864,0.82046,0.82838
2006.06.06,0.82834,0.8323,0.82283,0.82359
2006.06.07,0.82378,0.82683,0.8229,0.82399
2006.06.08,0.82405,0.83449,0.82364,0.83194
2006.06.09,0.83179,0.83774,0.82619,0.82633
2006.06.12,0.82643,0.82807,0.81858,0.8197
2006.06.13,0.81971,0.82291,0.81442,0.82034
2006.06.14,0.82041,0.82355,0.81867,0.82039
2006.06.15,0.82034,0.8264,0.81913,0.82491
2006.06.16,0.82478,0.83032,0.82407,0.82809
2006.06.19,0.82791,0.82931,0.82314,0.82449
2006.06.20,0.82451,0.8304,0.82155,0.82449
2006.06.21,0.82443,0.82557,0.81199,0.81964
2006.06.22,0.81963,0.82141,0.81437,0.81946
2006.06.23,0.81947,0.82448,0.81874,0.82108
2006.06.26,0.82021,0.82333,0.8172,0.82213
2006.06.27,0.82229,0.82388,0.81877,0.82258
2006.06.28,0.82258,0.82288,0.81642,0.81886
2006.06.29,0.81884,0.82185,0.8124,0.81981
2006.06.30,0.81944,0.83029,0.81856,0.8291
2006.07.03,0.82899,0.83107,0.82328,0.82422
2006.07.04,0.82432,0.82894,0.8226,0.82355
2006.07.05,0.82383,0.82586,0.82223,0.82446
2006.07.06,0.8245,0.83073,0.82274,0.82995
2006.07.07,0.83004,0.83799,0.82828,0.83633
2006.07.10,0.83643,0.84228,0.83596,0.83813
2006.07.11,0.83832,0.85336,0.83832,0.85231
2006.07.12,0.85198,0.85715,0.85013,0.85194
2006.07.13,0.85186,0.85653,0.85111,0.85271
2006.07.14,0.85245,0.85265,0.84701,0.84904
2006.07.17,0.84906,0.85028,0.84374,0.84921
2006.07.18,0.8491,0.85542,0.84515,0.84787
2006.07.19,0.8479,0.85177,0.84284,0.85065
2006.07.20,0.85065,0.85362,0.84842,0.85013
2006.07.21,0.85008,0.85746,0.84662,0.85511
2006.07.24,0.85422,0.86323,0.85368,0.86035
2006.07.25,0.86021,0.86232,0.85768,0.85902
2006.07.26,0.85907,0.86613,0.85852,0.8639
2006.07.27,0.86389,0.86737,0.85989,0.86553
2006.07.28,0.86556,0.86821,0.85944,0.8676
2006.07.31,0.86757,0.86757,0.85814,0.86647
2006.08.01,0.86641,0.86641,0.85952,0.86545
2006.08.02,0.86535,0.86773,0.85936,0.85989
2006.08.03,0.86002,0.8614,0.85333,0.85573
2006.08.04,0.85569,0.86572,0.85426,0.86255
2006.08.07,0.86274,0.86318,0.8526,0.85379
2006.08.08,0.8536,0.85493,0.84968,0.85331
2006.08.09,0.85332,0.85864,0.85051,0.85702
2006.08.10,0.85697,0.86474,0.85553,0.86474
2006.08.11,0.86461,0.86706,0.85722,0.86154
2006.08.14,0.86136,0.86274,0.85293,0.85541
2006.08.15,0.85544,0.86168,0.85481,0.85777
2006.08.16,0.85777,0.85919,0.85572,0.85888
2006.08.17,0.85898,0.8604,0.85141,0.85437
2006.08.18,0.85443,0.85661,0.85002,0.85423
2006.08.21,0.85278,0.85551,0.85044,0.85244
2006.08.22,0.85236,0.85381,0.84905,0.8499
