Date,Open,High,Low,Close
2006.03.01,0.9737,0.97924,0.96993,0.97711
2006.03.02,0.97712,0.97956,0.96959,0.97088
2006.03.03,0.97082,0.97178,0.96419,0.96615
2006.03.06,0.96516,0.96575,0.9592,0.96099
2006.03.07,0.96094,0.96625,0.9588,0.96306
2006.03.08,0.96309,0.96462,0.95672,0.95981
2006.03.09,0.95983,0.9667,0.95779,0.9644
2006.03.10,0.96438,0.96747,0.96162,0.96365
2006.03.13,0.96274,0.96623,0.96092,0.96621
2006.03.14,0.96617,0.96622,0.95646,0.96004
2006.03.15,0.96,0.96329,0.95604,0.95809
2006.03.16,0.95804,0.95844,0.94765,0.95121
2006.03.17,0.95121,0.95264,0.93628,0.93772
2006.03.20,0.93837,0.93965,0.92681,0.93012
2006.03.21,0.93002,0.93439,0.92628,0.93147
2006.03.22,0.93179,0.93992,0.93049,0.93722
2006.03.23,0.93733,0.94209,0.93505,0.94136
2006.03.24,0.94108,0.94113,0.92737,0.92841
2006.03.27,0.92811,0.92908,0.91988,0.92348
2006.03.28,0.92328,0.9313,0.91914,0.9228
2006.03.29,0.92274,0.92701,0.91748,0.92575
2006.03.30,0.92607,0.93064,0.92351,0.92674
2006.03.31,0.92681,0.93426,0.92511,0.93245
2006.04.01,0.9323,0.93429,0.9323,0.93364
2006.04.03,0.93339,0.93956,0.9298,0.93305
2006.04.04,0.93313,0.93427,0.92703,0.9291
2006.04.05,0.92923,0.93513,0.92769,0.93409
2006.04.06,0.93408,0.94501,0.93169,0.94252
2006.04.07,0.94269,0.94841,0.93939,0.9444
2006.04.10,0.94437,0.95131,0.94271,0.94997
2006.04.11,0.94994,0.9534,0.94682,0.95201
2006.04.12,0.95183,0.95211,0.94574,0.95059
2006.04.13,0.95079,0.95179,0.94117,0.94437
2006.04.14,0.9443,0.94721,0.94259,0.94451
2006.04.17,0.9445,0.94706,0.939,0.94287
2006.04.18,0.94302,0.9467,0.9386,0.94112
2006.04.19,0.94102,0.94828,0.93895,0.94556
2006.04.20,0.94557,0.94868,0.94039,0.94258
2006.04.21,0.94243,0.95187,0.94071,0.94812
2006.04.24,0.94761,0.95043,0.94177,0.94324
2006.04.25,0.94274,0.94842,0.94142,0.9457
2006.04.26,0.9457,0.95747,0.94232,0.9558
2006.04.27,0.95585,0.9571,0.9514,0.95178
2006.04.28,0.95183,0.95327,0.93922,0.94024
2006.05.01,0.94028,0.9444,0.93744,0.94219
2006.05.02,0.94218,0.9434,0.93715,0.94233
2006.05.03,0.94237,0.95324,0.93924,0.95264
2006.05.04,0.95269,0.95359,0.94524,0.94825
2006.05.05,0.94795,0.94899,0.9425,0.94639
2006.05.08,0.94608,0.94727,0.94094,0.9433
2006.05.09,0.9434,0.9463,0.93778,0.94404
2006.05.10,0.94407,0.94682,0.93932,0.94303
2006.05.11,0.94227,0.94919,0.93988,0.94091
2006.05.12,0.94092,0.94241,0.92449,0.92506
2006.05.15,0.92346,0.92575,0.91817,0.92143
2006.05.16,0.92138,0.92857,0.91996,0.92573
2006.05.17,0.92581,0.92962,0.9201,0.9208
2006.05.18,0.92053,0.92886,0.91884,0.92098
2006.05.19,0.92106,0.9292,0.91911,0.92144
2006.05.22,0.92306,0.92322,0.90351,0.90659
2006.05.23,0.90656,0.91672,0.90476,0.90848
2006.05.24,0.90843,0.91712,0.90622,0.91554
2006.05.25,0.9155,0.92612,0.91394,0.92536
2006.05.26,0.9253,0.93096,0.92102,0.92784
2006.05.29,0.92867,0.93018,0.92597,0.92809
2006.05.30,0.92812,0.92933,0.9206,0.92312
2006.05.31,0.92267,0.92539,0.9133,0.91654
2006.06.01,0.91658,0.91722,0.90972,0.91127
2006.06.02,0.91131,0.91371,0.90509,0.90829
2006.06.05,0.90634,0.90876,0.90025,0.90311
2006.06.06,0.90316,0.90691,0.89754,0.8995
2006.06.07,0.89946,0.90607,0.89793,0.90463
2006.06.08,0.90441,0.91868,0.90318,0.9132
2006.06.09,0.91304,0.92407,0.91229,0.92002
2006.06.12,0.92152,0.92346,0.91857,0.92035
2006.06.13,0.9202,0.92022,0.91149,0.91366
2006.06.14,0.91361,0.91517,0.90444,0.90723
2006.06.15,0.9071,0.91453,0.90571,0.91353
2006.06.16,0.91374,0.91502,0.90739,0.90865
2006.06.19,0.90802,0.91634,0.90627,0.91315
2006.06.20,0.9132,0.9177,0.91172,0.91333
2006.06.21,0.91331,0.91538,0.90636,0.91248
2006.06.22,0.91252,0.91501,0.90985,0.91147
2006.06.23,0.91145,0.91537,0.9092,0.91352
2006.06.26,0.91387,0.91387,0.90768,0.90951
2006.06.27,0.90951,0.91388,0.90816,0.91051
2006.06.28,0.9107,0.91113,0.90533,0.90869
2006.06.29,0.9086,0.91548,0.90556,0.91318
2006.06.30,0.91293,0.91726,0.90764,0.90856
2006.07.03,0.90865,0.91295,0.90698,0.90784
2006.07.04,0.90795,0.91494,0.90789,0.9115
2006.07.05,0.91152,0.91613,0.90894,0.91362
2006.07.06,0.91366,0.91847,0.91151,0.91552
2006.07.07,0.9156,0.92013,0.91498,0.9189
2006.07.10,0.9184,0.92192,0.91628,0.91781
2006.07.11,0.91771,0.92471,0.91751,0.9227
2006.07.12,0.92279,0.93059,0.92106,0.92703
2006.07.13,0.92715,0.93203,0.92533,0.9268
2006.07.14,0.92699,0.93209,0.92181,0.9287
2006.07.17,0.93224,0.9354,0.9265,0.93252
2006.07.18,0.93238,0.93915,0.93141,0.93461
2006.07.19,0.93461,0.93676,0.9311,0.93605
2006.07.20,0.93613,0.93751,0.93185,0.93404
2006.07.21,0.93393,0.93422,0.92893,0.9297
2006.07.24,0.92861,0.94119,0.92803,0.9396
2006.07.25,0.93955,0.94428,0.93793,0.94358
2006.07.26,0.94356,0.94979,0.94236,0.94442
2006.07.27,0.94435,0.94545,0.94156,0.94488
2006.07.28,0.94485,0.94697,0.94177,0.94491
2006.07.31,0.94432,0.94644,0.93938,0.94311
2006.08.01,0.94312,0.94315,0.93608,0.93847
2006.08.02,0.9383,0.94226,0.93724,0.93964
2006.08.03,0.93973,0.94304,0.93442,0.93631
2006.08.04,0.93623,0.93912,0.93348,0.93612
2006.08.07,0.9346,0.93627,0.93112,0.93507
2006.08.08,0.93503,0.93689,0.92905,0.93108
2006.08.09,0.93116,0.93954,0.92887,0.93847
2006.08.10,0.93836,0.94897,0.93628,0.94664
2006.08.11,0.94659,0.95252,0.94567,0.95162
2006.08.14,0.95081,0.95193,0.94099,0.94301
2006.08.15,0.94302,0.94693,0.94043,0.94618
2006.08.16,0.94628,0.94688,0.94168,0.94412
2006.08.17,0.9442,0.94508,0.93531,0.9386
2006.08.18,0.93847,0.93945,0.93365,0.93591
2006.08.21,0.9356,0.93575,0.92965,0.93422
2006.08.22,0.93416,0.94229,0.932,0.94057
2006.08.23,0.94045,0.94469,0.93925,0.94209
2006.08.24,0.942,0.94452,0.93886,0.94263
2006.08.25,0.94258,0.94403,0.93479,0.9382
2006.08.28,0.93787,0.93923,0.93382,0.93841
2006.08.29,0.9385,0.94203,0.93604,0.9384
2006.08.30,0.93836,0.94009,0.93407,0.93594
2006.08.31,0.93589,0.94141,0.93428,0.93916
2006.09.01,0.9391,0.94487,0.9382,0.94279
2006.09.04,0.94309,0.94857,0.94179,0.9462
2006.09.05,0.94627,0.95261,0.9455,0.95113
2006.09.06,0.95116,0.9516,0.9445,0.94598
2006.09.07,0.94596,0.94791,0.94092,0.94179
2006.09.08,0.94178,0.94399,0.93881,0.93984
2006.09.11,0.93991,0.94088,0.93349,0.93448
2006.09.12,0.9345,0.94083,0.93223,0.93815
2006.09.13,0.93802,0.94243,0.93763,0.94123
2006.09.14,0.94127,0.94537,0.93806,0.94451
2006.09.15,0.94453,0.94804,0.94258,0.94466
