Date,Open,High,Low,Close
2003.12.01,79.476,79.795,79.01,79.593
2003.12.02,79.592,79.912,79.271,79.39
2003.12.03,79.369,79.82,79.247,79.75
2003.12.04,79.784,79.823,79.23,79.52
2003.12.05,79.531,79.677,79.104,79.241
2003.12.08,79.3,79.692,79.021,79.454
2003.12.09,79.444,79.655,79.052,79.377
2003.12.10,79.418,80.252,79.141,80.139
2003.12.11,80.168,80.236,79.356,79.822
2003.12.12,79.858,80.111,79.682,79.97
2003.12.15,79.854,80.11,79.606,80.018
2003.12.16,80.01,80.179,79.741,79.844
2003.12.17,79.844,79.95,78.978,79.326
2003.12.18,79.321,79.846,79.056,79.642
2003.12.19,79.657,79.75,79.174,79.278
2003.12.22,79.309,79.455,78.645,78.849
2003.12.23,78.853,79.129,78.693,79.09
2003.12.24,79.097,79.725,79.041,79.522
2003.12.25,79.541,79.67,79.289,79.499
2003.12.26,79.491,79.707,79.312,79.663
2003.12.29,79.565,79.67,79.239,79.6
2003.12.30,79.578,80.178,79.397,80.024
2003.12.31,80.086,80.841,79.214,80.491
2004.01.01,80.495,80.85,80.1,80.632
2004.01.02,80.746,81.183,80.13,81.08
2004.01.05,80.998,82.1,80.977,81.475
2004.01.06,81.472,82.034,81.279,81.666
2004.01.07,81.664,81.75,81.165,81.46
2004.01.08,81.495,82.339,81.146,82.277
2004.01.09,82.303,83.662,82.111,82.883
2004.01.12,82.798,83,82.632,82.838
2004.01.13,82.849,83.108,82.468,82.668
2004.01.14,82.688,82.847,82.065,82.065
2004.01.15,82.097,82.473,81.515,81.848
2004.01.16,81.843,82.009,81.146,81.345
2004.01.19,81.374,81.425,80.379,80.92
2004.01.20,80.92,82.693,80.795,82.061
2004.01.21,82.101,82.877,81.988,82.642
2004.01.22,82.657,82.844,82.327,82.433
2004.01.23,82.449,82.626,81.802,82.252
2004.01.26,82.077,82.29,81.645,81.739
2004.01.27,81.73,82.402,81.394,82.13
2004.01.28,82.152,82.732,81.682,81.755
2004.01.29,81.768,82.018,80.301,80.456
2004.01.30,80.486,81.008,79.819,80.694
2004.02.02,80.621,80.807,79.738,80.03
2004.02.03,80.093,81.019,79.941,80.694
2004.02.04,80.711,80.883,80.041,80.25
2004.02.05,80.275,80.926,80.151,80.465
2004.02.06,80.468,81.45,80.399,81.222
2004.02.09,81.235,82.307,80.828,81.957
2004.02.10,81.947,82.53,81.871,82.206
2004.02.11,82.184,83.165,81.857,83.022
2004.02.12,83.041,83.252,82.702,83.099
2004.02.13,83.121,83.666,82.936,83.226
2004.02.16,83.262,83.609,83.146,83.547
2004.02.17,83.556,84.442,83.363,84.337
2004.02.18,84.329,84.481,83.928,84.208
2004.02.19,84.231,84.799,84.002,84.642
2004.02.20,84.649,84.982,83.42,84
2004.02.23,83.849,84.078,83.302,83.562
2004.02.24,83.581,84.517,83.366,84.32
2004.02.25,84.315,84.673,83.938,84.066
2004.02.26,84.071,84.595,83.941,84.445
2004.02.27,84.456,84.593,83.511,84.372
2004.03.01,84.215,84.795,83.904,84.154
2004.03.02,84.165,84.675,83.592,84.01
2004.03.03,84,84.07,81.438,82.464
2004.03.04,82.434,83.541,82.2,83.415
2004.03.05,83.412,85.234,83.11,85.021
2004.03.08,85.239,85.239,84.103,84.385
2004.03.09,84.424,85.144,84.174,84.369
2004.03.10,84.368,84.549,82.42,82.58
2004.03.11,82.609,83.266,80.879,81.575
2004.03.12,81.57,81.602,80.446,81.092
2004.03.15,80.928,81.565,80.465,81.198
2004.03.16,81.181,81.342,80.427,80.7
2004.03.17,80.69,80.808,79.602,80.214
2004.03.18,80.23,80.398,79.241,80.205
2004.03.19,80.222,80.462,79.556,79.88
2004.03.22,79.84,80.724,79.725,80.446
2004.03.23,80.465,80.515,79.985,80.276
2004.03.24,80.276,80.598,78.872,79.055
2004.03.25,79.064,79.149,78.108,78.381
2004.03.26,78.381,79.157,77.926,79.012
2004.03.29,78.676,78.963,78.282,78.769
2004.03.30,78.809,79.815,78.62,79.474
2004.03.31,79.544,79.979,78.575,79.911
2004.04.01,79.895,79.945,79.028,79.54
2004.04.02,79.591,79.904,78.844,79.081
2004.04.03,79.099,79.243,79.047,79.11
2004.04.05,79.105,79.558,78.53,79
2004.04.06,79.039,80.858,78.933,80.616
2004.04.07,80.652,80.883,79.8,80.561
2004.04.08,80.584,81.069,80.286,80.977
2004.04.09,81.021,81.341,80.77,81.182
2004.04.12,81.138,81.387,80.613,80.658
2004.04.13,80.713,80.911,80.224,80.285
2004.04.14,80.352,80.59,79.143,79.668
2004.04.15,79.754,80.47,79.463,80.17
2004.04.16,80.213,80.725,79.835,80.046
2004.04.19,80.191,81.085,80.105,80.812
2004.04.20,80.901,81.096,79.393,79.595
2004.04.21,79.634,80.344,79.151,79.8
2004.04.22,79.856,80.463,79.247,80.284
2004.04.23,80.318,80.495,79.233,79.86
2004.04.26,79.547,79.956,79.293,79.68
2004.04.27,79.769,80.468,79.451,80.271
2004.04.28,80.312,80.68,79.161,79.357
2004.04.29,79.432,79.597,78.82,79.137
2004.04.30,79.222,79.829,78.838,79.524
2004.05.03,79.647,79.788,78.983,79.43
2004.05.04,79.535,80.192,79.205,79.693
2004.05.05,79.789,80.135,79.011,79.515
2004.05.06,79.589,80.115,79.069,79.108
2004.05.07,79.17,79.83,78.729,78.856
2004.05.10,78.735,79.205,78.369,78.975
2004.05.11,79.022,79.192,78.625,78.757
2004.05.12,78.801,79.393,78.475,78.848
2004.05.13,78.907,79.477,78.245,78.72
2004.05.14,78.784,79.075,78.306,78.898
2004.05.17,78.91,79.093,78.089,78.271
2004.05.18,78.311,78.542,77.672,78.479
2004.05.19,78.481,79.132,78.168,78.581
2004.05.20,78.648,78.789,78.104,78.462
2004.05.21,78.486,78.725,78.162,78.244
2004.05.24,78.297,78.851,78.247,78.592
2004.05.25,78.674,79.478,78.608,79.163
2004.05.26,79.204,79.298,78.639,79.036
2004.05.27,79.087,79.665,78.95,79.397
2004.05.28,79.457,79.681,78.455,78.682
2004.05.31,78.63,78.675,78.005,78.193
2004.06.01,78.251,78.534,77.779,78.209
2004.06.02,78.243,78.465,76.285,76.358
2004.06.03,76.457,77.513,76.028,76.188
2004.06.04,76.256,77.335,76.22,77.269
2004.06.07,77.194,77.598,76.947,77.364
2004.06.08,77.411,77.512,76.655,76.756
2004.06.09,76.791,76.825,75.425,76.125
2004.06.10,76.142,76.496,75.503,76.138
2004.06.11,76.156,76.443,75.817,76.106
2004.06.14,76.266,76.836,75.638,76.233
2004.06.15,76.261,76.556,75.336,76.295
2004.06.16,76.288,76.386,75.457,75.804
2004.06.17,75.835,75.872,74.652,74.658
2004.06.18,74.734,75.054,74.158,74.92
2004.06.21,74.919,75.206,74.428,75.053
2004.06.22,75.118,75.21,74.3,75.113
2004.06.23,75.132,75.132,74.304,74.548
2004.06.24,74.581,75.193,74.256,74.838
2004.06.25,74.924,75.421,74.829,75.295
2004.06.28,75.364,75.675,74.91,75.371
2004.06.29,75.434,75.894,74.531,74.568
2004.06.30,74.665,76.164,74.47,75.948
2004.07.01,75.957,76.438,75.17,76.301
2004.07.02,76.371,77.484,76.222,77.223
2004.07.05,77.248,77.796,77.078,77.535
2004.07.06,77.587,78.528,77.551,77.964
