Date,Open,High,Low,Close
2006.12.12,1.13948,1.14106,1.1341,1.13454
2006.12.13,1.13449,1.1413,1.13381,1.13407
2006.12.14,1.13389,1.14064,1.13018,1.13586
2006.12.15,1.13592,1.1374,1.12985,1.13151
2006.12.18,1.13183,1.13464,1.12687,1.12863
2006.12.19,1.12863,1.13085,1.12344,1.12514
2006.12.20,1.12516,1.13073,1.12062,1.12917
2006.12.21,1.12911,1.13281,1.12426,1.12427
2006.12.22,1.12436,1.12676,1.11549,1.11773
2006.12.26,1.1171,1.11895,1.11291,1.11509
2006.12.27,1.11492,1.12026,1.11372,1.115
2006.12.28,1.11494,1.12272,1.11494,1.11897
2006.12.29,1.11864,1.12266,1.11531,1.11608
2007.01.02,1.11824,1.1256,1.11682,1.1249
2007.01.03,1.12484,1.12773,1.11546,1.11842
2007.01.04,1.11833,1.12561,1.11647,1.12173
2007.01.05,1.12177,1.13634,1.12029,1.13241
2007.01.08,1.13197,1.13859,1.12942,1.13011
2007.01.09,1.13036,1.13178,1.12537,1.12664
2007.01.10,1.12676,1.13207,1.12546,1.12961
2007.01.11,1.12977,1.13736,1.12607,1.12989
2007.01.12,1.12967,1.13478,1.12605,1.1334
2007.01.15,1.13242,1.13448,1.12276,1.12398
2007.01.16,1.12405,1.13259,1.12272,1.13022
2007.01.17,1.13028,1.13833,1.12996,1.13373
2007.01.18,1.13369,1.13741,1.13057,1.13408
2007.01.19,1.13417,1.13764,1.13042,1.13389
2007.01.22,1.13421,1.13641,1.12443,1.12462
2007.01.23,1.12486,1.13003,1.12284,1.12895
2007.01.24,1.12893,1.13031,1.11338,1.11393
2007.01.25,1.11361,1.1156,1.10656,1.10897
2007.01.26,1.10896,1.11547,1.10721,1.10967
2007.01.29,1.1098,1.11328,1.10452,1.10764
2007.01.30,1.1074,1.12282,1.10546,1.12099
2007.01.31,1.12088,1.13119,1.11921,1.12293
2007.02.01,1.12273,1.13812,1.12235,1.13321
2007.02.02,1.13305,1.1407,1.12965,1.13645
