Date,Open,High,Low,Close
2003.08.04,0.65122,0.65212,0.64316,0.64662
2003.08.05,0.6464,0.64781,0.64035,0.64607
2003.08.06,0.64659,0.65053,0.64496,0.64725
2003.08.07,0.64729,0.65148,0.64391,0.65102
2003.08.08,0.65111,0.65347,0.64967,0.65209
2003.08.11,0.65226,0.65952,0.64986,0.65782
2003.08.12,0.65785,0.661,0.65521,0.65565
2003.08.13,0.65589,0.65863,0.65201,0.65774
2003.08.14,0.65815,0.65895,0.65453,0.65582
2003.08.15,0.656,0.66035,0.65529,0.65951
2003.08.18,0.66009,0.66175,0.65473,0.65745
2003.08.19,0.65755,0.6581,0.65197,0.65544
2003.08.20,0.65592,0.6619,0.65362,0.66006
2003.08.21,0.66002,0.66065,0.6506,0.6534
2003.08.22,0.65352,0.6546,0.64679,0.6519
2003.08.25,0.6509,0.6532,0.64915,0.6493
2003.08.26,0.64965,0.65018,0.64157,0.64363
2003.08.27,0.6438,0.6446,0.63632,0.6388
2003.08.28,0.63905,0.64187,0.63497,0.64011
2003.08.29,0.6399,0.64928,0.63876,0.64665
2003.09.01,0.64652,0.64805,0.6438,0.64533
2003.09.02,0.64514,0.64595,0.63503,0.63611
2003.09.03,0.63622,0.64145,0.63392,0.63986
2003.09.04,0.63992,0.6433,0.63648,0.64204
2003.09.05,0.64201,0.64864,0.64047,0.64745
2003.09.08,0.64664,0.65165,0.6442,0.64795
2003.09.09,0.64815,0.66055,0.64619,0.65897
2003.09.10,0.65908,0.65985,0.65583,0.65641
2003.09.11,0.65645,0.66165,0.65378,0.65992
2003.09.12,0.66008,0.66409,0.6563,0.66296
2003.09.15,0.66198,0.6668,0.66054,0.66506
2003.09.16,0.66486,0.66702,0.65981,0.66278
2003.09.17,0.66261,0.66585,0.65821,0.6654
2003.09.18,0.66565,0.66944,0.663,0.66573
2003.09.19,0.66592,0.67338,0.66512,0.67227
2003.09.22,0.67671,0.68373,0.67618,0.67707
2003.09.23,0.67725,0.68097,0.67484,0.67484
2003.09.24,0.67521,0.67926,0.67254,0.67709
2003.09.25,0.67715,0.6824,0.67634,0.67848
2003.09.26,0.67844,0.68011,0.67295,0.67336
2003.09.29,0.67545,0.67878,0.66759,0.6779
2003.09.30,0.67802,0.68675,0.67498,0.67941
2003.10.01,0.68025,0.6877,0.67898,0.68614
