Date,Open,High,Low,Close
2010.12.03,90.4,91.838,90.086,91.565
2010.12.06,91.578,91.999,90.836,90.968
2010.12.07,90.975,92.84,90.695,90.868
2010.12.08,90.858,91.708,90.128,90.991
2010.12.09,90.986,91.609,90.257,91.267
2010.12.10,91.275,91.54,89.846,90.536
2010.12.13,90.426,92.256,90.413,90.788
2010.12.14,90.744,91.699,90.554,91.266
2010.12.15,91.279,92.389,90.306,92.048
2010.12.16,92.039,92.22,91.489,91.748
2010.12.17,91.736,92.36,90.88,91.556
2010.12.20,91.642,92.866,91.006,92.538
2010.12.21,92.53,93.468,92.346,93.405
2010.12.22,93.428,93.908,93.228,93.738
2010.12.23,93.716,94.52,93.266,94.258
2010.12.27,93.308,94.499,93.065,93.606
2010.12.28,93.562,94.385,93.505,94.156
2010.12.29,94.13,94.35,93.609,93.974
2010.12.30,93.96,94.388,92.319,92.629
2010.12.31,92.609,94.269,92.166,94.115
2011.01.03,94.695,96.137,94.478,94.794
2011.01.04,94.789,95.709,92.568,93.256
2011.01.05,93.275,95.797,92.345,95.435
2011.01.06,95.428,96.086,93.987,94.348
2011.01.07,94.351,94.537,92.575,93.574
2011.01.10,93.807,95.857,93.586,95.684
2011.01.11,95.71,97.798,95.059,97.465
2011.01.12,97.458,98.819,97.266,98.199
2011.01.13,98.207,98.638,97.268,98.409
2011.01.14,98.418,98.55,96.755,98.55
2011.01.17,98.435,98.626,97.375,97.547
2011.01.18,97.35,98.34,96.588,97.507
2011.01.19,97.527,98.57,97.302,97.919
2011.01.20,97.905,98.09,95.417,96.283
2011.01.21,96.276,97.818,96.134,97.61
2011.01.24,97.7,98.129,96.205,96.435
2011.01.25,96.447,96.655,94.73,95.3
2011.01.26,95.318,98.31,95.194,98.197
2011.01.27,98.19,98.919,97.186,97.259
2011.01.28,97.246,99.697,97.115,99.318
2011.01.31,99.667,101.669,98.477,100.499
2011.02.01,100.508,102.049,100.179,101.526
2011.02.02,101.508,102.559,101.259,102.288
2011.02.03,102.296,103.317,101.396,101.799
2011.02.04,101.746,102.447,99.466,99.888
2011.02.07,100.39,100.868,98.757,99.149
2011.02.08,99.179,100.389,97.486,100.178
2011.02.09,100.158,102.218,100.013,102.046
2011.02.10,102.058,102.846,100.456,101.587
2011.02.11,101.569,102.509,100.507,101.32
2011.02.14,101.417,104.256,100.886,102.958
2011.02.15,102.964,103.999,101.277,101.749
2011.02.16,101.719,104.489,101.61,103.886
2011.02.17,103.904,104.299,102.349,102.818
2011.02.18,102.797,103.468,100.728,103.026
2011.02.21,103.55,108.635,103.368,108.002
2011.02.22,108,108.529,105.545,106.408
2011.02.23,106.439,112.276,105.9,112.124
2011.02.24,112.117,119.44,109.583,110.787
2011.02.25,110.796,113.9,110.497,112.196
2011.02.28,113.314,114.338,111.258,111.849
2011.03.01,111.817,116.739,111.701,116.535
2011.03.02,116.526,117.768,114.516,116.328
2011.03.03,116.307,116.877,112.877,114.451
2011.03.04,114.445,116.46,114.438,115.928
2011.03.07,116.2,118.477,114.487,114.56
2011.03.08,114.549,115.275,112.115,112.765
2011.03.09,112.791,116.139,112.138,116.015
2011.03.10,116.009,116.519,113.496,115.057
2011.03.11,115.064,115.67,112.229,113.308
2011.03.14,112.718,114.06,111.14,113.68
2011.03.15,113.377,113.639,107.88,107.926
2011.03.16,107.972,111.727,106.584,110.347
2011.03.17,110.114,115.468,109.427,115
2011.03.18,115.556,117.226,113.059,114.288
2011.03.21,115.619,116.189,114.575,114.6
2011.03.22,114.736,116.059,114.137,115.868
2011.03.23,115.897,116.358,115.046,115.207
2011.03.24,115.246,115.889,114.475,115.75
2011.03.25,115.51,116.089,115.177,115.835
2011.03.28,115.594,115.958,114.525,114.746
2011.03.29,114.719,115.61,113.528,115.154
2011.03.30,115.163,115.677,114.514,115.155
2011.03.31,115.134,117.665,115.029,117.02
2011.04.01,117.029,118.94,116.749,118.715
2011.04.04,119.034,121.269,118.72,121.069
2011.04.05,121.039,122.859,119.967,121.472
2011.04.06,121.487,123.346,121.348,121.998
2011.04.07,122.017,122.867,121.368,122.517
2011.04.08,122.508,126.88,122.266,126.868
2011.04.11,126.955,126.955,122.978,123.166
2011.04.12,123.238,125.328,119.976,120.988
2011.04.13,121.017,123.23,120.177,122.997
2011.04.14,123.007,123.107,121.125,122.285
2011.04.15,122.245,123.99,121.566,123.349
2011.04.18,123.231,123.31,120.979,121.797
2011.04.19,121.807,122.258,119.017,121.157
2011.04.20,121.138,124.198,121.063,123.876
2011.04.21,123.846,124.798,123.176,123.93
2011.04.25,124.317,124.72,122.688,123.607
2011.04.26,123.617,124.369,122.778,123.779
2011.04.27,123.786,125.77,123.227,125.515
2011.04.28,125.488,126.626,124.065,124.757
2011.04.29,124.746,126.059,124.228,125.848
2011.05.02,125.357,126.509,121.658,124.5
2011.05.03,124.504,124.968,121.726,122.145
2011.05.04,122.138,123.019,120.459,120.68
2011.05.05,120.688,121.93,109.007,110.439
2011.05.06,110.366,114.216,105.117,109.698
2011.05.09,110.276,116.489,109.191,116.127
2011.05.10,116.111,117.919,113.555,117.37
2011.05.11,117.369,118.396,111.939,113.058
2011.05.12,113.077,114.509,110.125,112.947
2011.05.13,112.962,114.879,111.706,113.938
2011.05.16,112.403,113.468,110.116,110.196
2011.05.17,110.209,111.757,108.109,110.596
2011.05.18,110.503,113.069,110.374,112.138
2011.05.19,112.147,113.01,111.148,111.428
2011.05.20,111.395,112.859,108.576,112.468
2011.05.23,111.975,112.149,108.575,109.824
2011.05.24,109.817,112.62,109.479,112.176
2011.05.25,112.169,115.039,111.118,114.937
2011.05.26,114.919,115.445,114.078,114.944
2011.05.27,114.917,115.646,114.41,114.926
2011.05.30,114.872,114.97,114.209,114.668
2011.05.31,114.544,117.46,114.532,116.495
2011.06.01,116.504,117.26,113.858,114.028
2011.06.02,114.012,115.867,113.736,115.855
2011.06.03,115.87,116.22,113.375,115.96
2011.06.06,115.936,115.936,113.945,114.189
2011.06.07,114.177,117.399,113.787,116.937
2011.06.08,116.948,118.56,115.745,117.706
2011.06.09,117.695,119.82,117.366,119.606
2011.06.10,119.59,120.059,117.617,118.397
2011.06.13,118.322,120.22,117.108,118.769
2011.06.14,118.777,120.717,118.506,120.226
2011.06.15,120.255,120.307,112.296,113.909
2011.06.16,113.895,114.909,112.529,114.109
