Date,Open,High,Low,Close
2006.01.03,1.12872,1.1288,1.11449,1.1154
2006.01.04,1.1155,1.11608,1.10903,1.11159
2006.01.05,1.1115,1.1158,1.09565,1.09723
2006.01.06,1.09727,1.10018,1.08653,1.08893
2006.01.09,1.08881,1.09435,1.08613,1.09144
2006.01.10,1.09147,1.10112,1.08986,1.09729
2006.01.11,1.09756,1.10265,1.09558,1.10006
2006.01.12,1.09995,1.10705,1.09779,1.10474
2006.01.13,1.10504,1.10879,1.09788,1.09936
2006.01.16,1.09907,1.10534,1.09726,1.10353
2006.01.17,1.10372,1.10853,1.09843,1.09946
2006.01.18,1.09951,1.10392,1.08718,1.09214
2006.01.19,1.09221,1.10396,1.08879,1.10325
2006.01.20,1.10333,1.11336,1.10086,1.10659
2006.01.23,1.09978,1.09978,1.0922,1.09279
2006.01.24,1.09279,1.09683,1.08839,1.09443
2006.01.25,1.09448,1.10033,1.09137,1.09828
2006.01.26,1.09854,1.10475,1.09435,1.1027
2006.01.27,1.10266,1.11866,1.10194,1.11655
2006.01.30,1.11345,1.12682,1.11345,1.12309
2006.01.31,1.12304,1.12361,1.11409,1.12137
2006.02.01,1.12137,1.13094,1.1194,1.12889
2006.02.02,1.12903,1.13063,1.12118,1.1224
2006.02.03,1.12231,1.13074,1.12088,1.13061
2006.02.06,1.12828,1.13714,1.12806,1.13399
2006.02.07,1.13393,1.13551,1.12376,1.12445
2006.02.08,1.12432,1.13329,1.1214,1.12977
2006.02.09,1.12968,1.13741,1.12623,1.13395
2006.02.10,1.1339,1.1347,1.12545,1.13304
2006.02.13,1.12444,1.13399,1.12365,1.13174
2006.02.14,1.13183,1.13655,1.1283,1.13351
2006.02.15,1.13354,1.1359,1.12866,1.13226
2006.02.16,1.13225,1.13451,1.12984,1.13174
2006.02.17,1.13177,1.14131,1.13041,1.13801
2006.02.20,1.13811,1.14022,1.13447,1.13866
2006.02.21,1.1387,1.14306,1.13796,1.1403
2006.02.22,1.14032,1.14526,1.13685,1.14052
2006.02.23,1.14077,1.14262,1.13161,1.13486
2006.02.24,1.13485,1.14728,1.13376,1.14607
2006.02.27,1.14526,1.15954,1.14403,1.15863
2006.02.28,1.15891,1.16011,1.15066,1.15372
2006.03.01,1.15362,1.15898,1.14546,1.15636
2006.03.02,1.15631,1.15731,1.14579,1.14741
2006.03.03,1.14738,1.15039,1.1414,1.14258
2006.03.06,1.14249,1.14271,1.13682,1.13945
2006.03.07,1.1395,1.14786,1.13784,1.1416
2006.03.08,1.14177,1.14315,1.12827,1.13027
2006.03.09,1.13022,1.13555,1.12864,1.13208
2006.03.10,1.13198,1.13756,1.12863,1.13468
2006.03.13,1.13315,1.13484,1.13011,1.13283
2006.03.14,1.13273,1.13286,1.12447,1.12512
2006.03.15,1.125,1.12827,1.12054,1.12184
2006.03.16,1.12179,1.12459,1.11598,1.11876
2006.03.17,1.11873,1.11936,1.11151,1.11275
2006.03.20,1.1124,1.11696,1.10395,1.112
2006.03.21,1.11203,1.12022,1.11156,1.11649
2006.03.22,1.11661,1.12073,1.11135,1.11803
2006.03.23,1.11797,1.13167,1.11718,1.13036
2006.03.24,1.13033,1.13033,1.12057,1.12176
2006.03.27,1.12115,1.12265,1.11463,1.11986
2006.03.28,1.11982,1.12233,1.1101,1.11801
2006.03.29,1.11801,1.11939,1.11465,1.11677
2006.03.30,1.11678,1.12322,1.11434,1.11725
2006.03.31,1.1172,1.12396,1.11529,1.11579
2006.04.01,1.11584,1.11615,1.11452,1.1156
