Date,Open,High,Low,Close
2004.10.25,86.837,87.532,86.741,87.422
2004.10.26,87.389,87.541,86.878,87.075
2004.10.27,87.078,87.467,86.69,86.843
2004.10.28,86.841,87.188,86.162,86.857
2004.10.29,86.848,87.054,86.569,86.811
2004.11.01,86.806,87.265,86.736,87.051
2004.11.02,87.039,87.137,86.433,86.514
2004.11.03,86.438,87.87,86.355,87.82
2004.11.04,87.822,88.18,87.6,87.828
2004.11.05,87.823,88.248,87.67,88.122
2004.11.08,88.14,88.597,87.923,88.292
2004.11.09,88.272,88.715,87.986,88.061
2004.11.10,88.028,89.717,87.974,89.653
2004.11.11,89.647,89.647,88.929,89.098
2004.11.12,89.088,89.258,88.202,88.472
2004.11.15,88.465,88.47,87.541,87.677
2004.11.16,87.681,88.337,87.595,88.157
2004.11.17,88,88.225,86.954,87.05
2004.11.18,87.058,87.171,86.175,86.387
2004.11.19,86.378,86.574,85.657,86.278
2004.11.22,86.285,87.238,86.189,87.017
2004.11.23,87.008,87.173,86.766,87.075
2004.11.24,87.08,87.447,86.79,87.173
2004.11.25,87.035,87.164,86.816,87.03
2004.11.26,87.015,87.468,86.867,87.447
2005.07.19,88.745,92.68,88.745,92.358
2005.07.20,92.36,92.991,92.117,92.453
2005.07.21,92.444,92.493,90.363,90.565
2005.07.22,90.652,91.505,90.652,91.307
2005.07.25,91.298,91.892,91.26,91.455
2005.07.26,91.443,91.936,91.071,91.439
2005.07.27,91.436,91.586,90.481,90.915
2005.07.28,90.908,91.439,90.665,91.152
2005.07.29,91.144,91.898,90.9,91.88
2005.08.01,91.885,92.69,91.672,92.565
2005.08.02,92.56,92.593,91.412,91.418
2005.08.03,91.405,92.053,91.202,91.265
2005.08.04,91.252,91.948,91.216,91.585
2005.08.05,91.584,92.106,91.273,92.03
2005.08.08,92.06,92.405,91.794,92.285
2005.08.09,92.282,92.351,91.926,92.262
2005.08.10,92.265,92.32,90.996,91.374
2005.08.11,91.368,91.659,90.959,91.374
2005.08.12,91.333,91.783,91.071,91.36
2005.08.15,91.355,91.747,90.949,91.005
2005.08.16,91.002,91.486,90.661,91.363
2005.08.17,91.367,91.561,90.542,90.565
2005.08.18,90.569,90.958,90.343,90.63
2005.08.19,90.628,91.23,90.454,91.168
2005.08.22,91.165,91.262,90.458,91.232
2005.08.23,91.225,91.924,91.001,91.711
2005.08.24,91.722,92.612,91.689,92.53
2005.08.25,92.522,92.908,92.173,92.266
2005.08.26,92.293,92.577,91.555,91.88
2005.08.29,91.875,92.79,91.835,92.138
2005.08.30,92.133,93.583,92.133,93.292
2005.08.31,93.305,93.795,93.033,93.09
2005.09.01,93.085,93.16,92.675,92.738
2005.09.02,92.74,92.985,92.033,92.292
2005.09.05,92.305,92.365,91.705,91.9
