Date,Open,High,Low,Close
2003.08.04,87.819,89.464,87.693,89.271
2003.08.05,89.321,89.411,88.594,88.811
2003.08.06,88.872,89.299,88.73,88.73
2003.08.07,88.8,88.897,87.926,88.015
2003.08.08,88.052,88.2,87.298,87.522
2003.08.11,87.45,87.537,86.689,87.193
2003.08.12,87.243,87.503,86.615,86.692
2003.08.13,86.719,87.33,86.414,87.177
2003.08.14,87.129,87.435,86.576,86.79
2003.08.15,86.809,87.042,86.594,86.855
2003.08.18,86.855,86.898,85.691,85.902
2003.08.19,85.963,86.015,84.947,85.139
2003.08.20,85.187,85.46,84.641,85.059
2003.08.21,85.06,85.167,83.13,83.277
2003.08.22,83.275,83.314,82.491,82.893
2003.08.25,82.851,83.165,82.624,82.788
2003.08.26,82.811,83.395,82.159,82.997
2003.08.27,83.034,83.684,82.816,82.962
2003.08.28,83.034,83.245,82.318,82.84
2003.08.29,82.908,83.55,82.512,83.449
2003.09.01,83.489,83.515,82.937,83.155
2003.09.02,83.156,83.27,81.74,82.036
2003.09.03,82.08,82.429,81.535,81.779
2003.09.04,81.849,83.815,81.376,83.75
2003.09.05,83.719,84.567,82.72,84.433
2003.09.08,84.477,84.994,83.808,83.893
2003.09.09,83.93,84.847,83.071,84.657
2003.09.10,84.696,84.817,83.961,84.559
2003.09.11,84.579,85.012,83.93,84.579
2003.09.12,84.586,85.378,83.706,84.942
2003.09.15,84.984,85.321,84.758,85.064
2003.09.16,85.057,85.092,83.291,83.535
2003.09.17,83.544,84.63,83.181,84.035
2003.09.18,84.062,84.157,82.937,83.143
2003.09.19,83.135,83.623,82.802,83.272
2003.09.22,83.164,83.164,82.07,82.734
2003.09.23,82.784,82.91,82.041,82.528
2003.09.24,82.597,82.753,82.012,82.709
2003.09.25,82.734,83.506,82.554,83.44
2003.09.26,83.463,83.547,82.95,82.991
2003.09.29,83.172,83.604,82.258,83.487
2003.09.30,83.553,84.603,83.444,84.476
2003.10.01,84.479,84.591,83.876,84.163
2003.10.02,84.183,84.615,83.388,83.986
2003.10.03,83.961,84.123,82.354,82.86
2003.10.06,82.88,84.106,82.829,83.963
2003.10.07,83.988,84.209,83.214,83.45
2003.10.08,83.419,83.9,83.178,83.42
2003.10.09,83.439,83.711,82.279,82.69
2003.10.10,82.768,82.96,82.102,82.7
2003.10.13,82.641,82.78,81.696,82.259
2003.10.14,82.315,83.01,81.827,82.56
2003.10.15,82.63,82.8,82.172,82.27
2003.10.16,82.275,82.63,82.053,82.27
2003.10.17,82.238,82.433,81.699,82.238
2003.10.20,82.06,82.997,81.95,82.758
2003.10.21,82.794,82.833,82.137,82.226
2003.10.22,82.257,83.025,82.144,82.891
2003.10.23,82.881,83.998,82.84,83.373
2003.10.24,83.392,83.862,83.085,83.16
2003.10.27,83.111,83.137,82.12,82.302
2003.10.28,82.29,82.331,81.194,81.28
2003.10.29,81.276,81.663,81.116,81.33
2003.10.30,81.323,81.975,81.074,81.539
2003.10.31,81.542,82.427,81.436,82.049
2003.11.03,81.996,82.455,81.386,81.486
2003.11.04,81.49,81.602,80.375,80.44
2003.11.05,80.449,80.658,79.968,80.187
2003.11.06,80.211,80.44,79.938,80.038
2003.11.07,80.013,80.342,79.828,80.27
2003.11.10,80.226,80.291,78.865,79.362
2003.11.11,79.34,79.98,78.991,79.773
2003.11.12,79.751,80.827,79.702,80.487
2003.11.13,80.491,80.852,80.074,80.83
2003.11.14,80.803,81.722,80.782,81.574
2003.11.17,81.664,82.838,81.65,82.175
2003.11.18,82.153,83.577,82.075,83.532
2003.11.19,83.54,83.916,82.836,83.477
2003.11.20,83.492,83.962,83.33,83.903
2003.11.21,83.916,84.014,83.32,83.737
2003.11.24,83.715,83.899,82.716,82.775
2003.11.25,82.777,83.593,82.685,82.962
2003.11.26,82.958,84.402,82.821,84.38
2003.11.27,84.378,84.404,83.762,83.843
2003.11.28,83.84,84.936,83.822,84.856
2003.12.01,84.74,85.405,84.158,84.337
2003.12.02,84.33,84.85,83.811,84.27
2003.12.03,84.281,84.544,83.739,84.111
2003.12.04,84.135,84.419,83.602,83.953
2003.12.05,83.955,84.53,83.725,84.438
2003.12.08,84.488,84.907,84.156,84.721
2003.12.09,84.709,85.145,84.378,84.815
2003.12.10,84.824,85.778,84.412,85.571
2003.12.11,85.505,85.565,84.495,85.098
2003.12.12,85.096,85.482,84.828,85.361
2003.12.15,84.675,85.366,84.414,85.36
2003.12.16,85.34,85.645,85.156,85.329
2003.12.17,85.279,85.758,85.03,85.65
2003.12.18,85.637,86.194,85.529,86.09
2003.12.19,86.085,86.185,85.582,85.782
2003.12.22,85.821,86.062,85.386,85.489
2003.12.23,85.512,85.585,85.174,85.286
2003.12.24,85.332,86.112,85.273,85.99
2003.12.25,85.985,86.116,85.632,85.902
2003.12.26,85.834,86.093,85.328,85.645
2003.12.29,85.66,85.785,85.315,85.648
2003.12.30,85.655,86.241,85.547,86.083
2003.12.31,86.068,86.791,85.979,86.437
2004.01.01,86.415,86.702,85.944,86.271
2004.01.02,86.303,86.674,85.89,86.335
2004.01.05,86.229,87.023,85.848,86.163
2004.01.06,86.165,86.686,86.017,86.173
2004.01.07,86.182,86.306,85.479,85.525
2004.01.08,85.532,86.686,84.984,86.579
2004.01.09,86.6,87.941,86.416,87.324
2004.01.12,87.42,87.625,86.675,86.853
2004.01.13,86.854,87.098,86.449,86.914
2004.01.14,86.921,87.081,85.87,86.071
2004.01.15,86.083,86.3,85.1,85.322
2004.01.16,85.313,85.49,83.942,84.252
2004.01.19,84.221,84.705,83.869,84.345
2004.01.20,84.333,86.083,84.283,85.809
2004.01.21,85.82,86.374,85.666,86.165
2004.01.22,86.152,86.576,85.605,85.967
2004.01.23,85.973,86.309,85.121,85.884
2004.01.26,85.649,85.784,84.453,84.516
2004.01.27,84.52,85.24,84.152,85.088
2004.01.28,85.082,85.537,84.183,84.438
2004.01.29,84.456,84.909,83.868,84.06
2004.01.30,84.031,84.37,83.523,84.088
