Date,Open,High,Low,Close
2005.10.10,1.60173,1.60194,1.5873,1.58903
2005.10.11,1.5889,1.59866,1.5858,1.59275
2005.10.12,1.593,1.59591,1.58923,1.59218
2005.10.13,1.59224,1.6027,1.58791,1.6008
2005.10.14,1.60097,1.60896,1.59613,1.60418
2005.10.17,1.60412,1.6091,1.5995,1.60225
2005.10.18,1.60247,1.6057,1.59585,1.59809
2005.10.19,1.59852,1.60081,1.59177,1.5975
2005.10.20,1.59768,1.5983,1.58764,1.59618
2005.10.21,1.59637,1.60342,1.59317,1.5948
2005.10.24,1.59514,1.59978,1.59353,1.59434
2005.10.25,1.59455,1.60358,1.59131,1.59865
2005.10.26,1.59929,1.60297,1.59514,1.59785
2005.10.27,1.59806,1.6037,1.59564,1.60307
2005.10.28,1.60333,1.61391,1.6011,1.61004
2005.10.31,1.60982,1.61082,1.60077,1.60237
2005.11.01,1.602,1.6153,1.60194,1.6143
2005.11.02,1.61446,1.62842,1.61446,1.62492
2005.11.03,1.62542,1.62887,1.61399,1.61491
2005.11.04,1.61481,1.62239,1.61,1.6106
2005.11.07,1.61082,1.61404,1.60539,1.60988
2005.11.08,1.60966,1.61039,1.59911,1.60292
2005.11.09,1.60295,1.60469,1.5944,1.59648
2005.11.10,1.59649,1.60795,1.59509,1.60057
2005.11.11,1.60033,1.60133,1.59273,1.59924
2005.11.14,1.59904,1.6081,1.59862,1.60647
2005.11.15,1.60632,1.608,1.5951,1.5974
2005.11.16,1.59745,1.60485,1.5938,1.5959
2005.11.17,1.59595,1.60116,1.59241,1.60089
2005.11.18,1.60095,1.60713,1.59413,1.6037
2005.11.21,1.60375,1.60943,1.59053,1.5921
2005.11.22,1.59215,1.60211,1.59159,1.601
2005.11.23,1.60105,1.60641,1.59545,1.60198
2005.11.24,1.60205,1.60205,1.59058,1.5944
2005.11.25,1.59445,1.59963,1.59062,1.5923
2005.11.28,1.59248,1.60157,1.5908,1.5968
2005.11.29,1.59685,1.59895,1.59062,1.5956
2005.11.30,1.59565,1.59826,1.59019,1.5975
2005.12.01,1.59755,1.59755,1.57472,1.58141
2005.12.02,1.58145,1.58227,1.56244,1.56554
2005.12.05,1.56553,1.57102,1.56222,1.5679
2005.12.06,1.56795,1.57087,1.56122,1.5637
2005.12.07,1.56375,1.57625,1.56306,1.5673
2005.12.08,1.56735,1.57935,1.5643,1.5759
2005.12.09,1.57595,1.57595,1.56841,1.57352
