Date,Open,High,Low,Close
2004.10.25,1.56318,1.56807,1.55626,1.56264
2004.10.26,1.56317,1.56643,1.55935,1.56327
2004.10.27,1.56329,1.56441,1.55422,1.55713
2004.10.28,1.55687,1.56433,1.55021,1.55785
2004.10.29,1.55795,1.56074,1.54949,1.55731
2004.11.01,1.55788,1.56268,1.5545,1.55757
2004.11.02,1.55788,1.56172,1.5531,1.56154
2004.11.03,1.5615,1.56175,1.54596,1.54919
2004.11.04,1.54873,1.55621,1.54439,1.55229
2004.11.05,1.55274,1.55696,1.54187,1.55118
2004.11.08,1.55111,1.55318,1.53905,1.54286
2004.11.09,1.54277,1.54849,1.53765,1.54643
2004.11.10,1.5464,1.55671,1.5378,1.53799
2004.11.11,1.53832,1.54605,1.5379,1.54239
2004.11.12,1.54261,1.54959,1.53821,1.54601
2004.11.15,1.5469,1.55811,1.5451,1.55271
2004.11.16,1.55303,1.55488,1.54292,1.54665
2004.11.17,1.54742,1.55784,1.54624,1.55593
2004.11.18,1.556,1.57007,1.55332,1.56187
2004.11.19,1.56185,1.57016,1.54988,1.5535
2004.11.22,1.5537,1.55975,1.54179,1.54501
2004.11.23,1.54521,1.55686,1.54122,1.55026
2004.11.24,1.55049,1.55704,1.54685,1.55389
2004.11.25,1.55414,1.56333,1.55055,1.56157
2004.11.26,1.56008,1.56604,1.55146,1.56392
2004.11.29,1.56384,1.57636,1.55884,1.57252
2004.11.30,1.57269,1.58373,1.56594,1.57589
2004.12.01,1.57617,1.58515,1.57173,1.57861
2004.12.02,1.57902,1.58498,1.57209,1.5844
2004.12.03,1.58464,1.60854,1.57862,1.60146
2004.12.06,1.60156,1.61516,1.59425,1.60681
2004.12.07,1.607,1.62502,1.60397,1.62083
2004.12.08,1.62097,1.63101,1.61112,1.61912
2004.12.09,1.6194,1.62828,1.61579,1.62573
2004.12.10,1.62635,1.62736,1.61656,1.61925
2004.12.13,1.61927,1.63711,1.61527,1.6323
2004.12.14,1.63262,1.64987,1.6307,1.64284
2004.12.15,1.64266,1.65216,1.63776,1.63934
2004.12.16,1.63946,1.64965,1.63056,1.63396
2004.12.17,1.63443,1.64001,1.62361,1.63369
2004.12.20,1.63387,1.64878,1.62936,1.64364
2004.12.21,1.64366,1.64667,1.63528,1.64403
2004.12.22,1.64418,1.66737,1.63756,1.6612
2004.12.23,1.66151,1.66959,1.65441,1.66458
2004.12.24,1.66474,1.66727,1.6606,1.66223
2004.12.27,1.66285,1.66692,1.65414,1.65864
2004.12.28,1.65879,1.66163,1.65103,1.65491
2004.12.29,1.65595,1.66202,1.6444,1.64803
2004.12.30,1.64818,1.65051,1.63601,1.64106
2004.12.31,1.64119,1.64844,1.62087,1.6263
2005.01.03,1.62638,1.63453,1.61509,1.6252
2005.01.04,1.62532,1.62949,1.61827,1.62507
2005.01.05,1.62515,1.63077,1.61707,1.62449
2005.01.06,1.62455,1.63144,1.6129,1.62601
2005.01.07,1.62642,1.63224,1.60564,1.60626
2005.01.10,1.60659,1.61042,1.59393,1.59859
2005.01.11,1.59861,1.60512,1.59495,1.59741
2005.01.12,1.59748,1.60111,1.58397,1.59248
2005.01.13,1.59253,1.59475,1.58379,1.58868
2005.01.14,1.58906,1.59978,1.5809,1.59304
2005.01.17,1.59304,1.59584,1.58641,1.58988
2005.01.18,1.58988,1.5987,1.5854,1.59092
2005.01.19,1.59116,1.60067,1.58883,1.59634
2005.01.20,1.59649,1.60084,1.59103,1.59879
2005.01.21,1.59891,1.59919,1.58436,1.59383
2005.01.24,1.59364,1.60057,1.58837,1.59886
2005.01.25,1.59924,1.61417,1.58997,1.60245
2005.01.26,1.60258,1.61529,1.59956,1.61016
2005.01.27,1.61027,1.61843,1.60719,1.61297
2005.01.28,1.61345,1.6213,1.60833,1.61559
2005.01.31,1.62099,1.62344,1.60933,1.61511
2005.02.01,1.6154,1.61942,1.60803,1.61188
2005.02.02,1.61207,1.6174,1.60611,1.61202
2005.02.03,1.61242,1.61511,1.60579,1.60917
2005.02.04,1.60932,1.61696,1.60263,1.60725
2005.02.07,1.60736,1.61255,1.59968,1.60054
2005.02.08,1.60081,1.60415,1.58751,1.59002
2005.02.09,1.59022,1.60093,1.58958,1.59656
2005.02.10,1.59698,1.60436,1.59418,1.59836
2005.02.11,1.5984,1.60033,1.58927,1.59079
2005.02.14,1.59108,1.60357,1.58899,1.59883
2005.02.15,1.59908,1.60753,1.5949,1.60216
2005.02.16,1.60213,1.61604,1.59741,1.61062
2005.02.17,1.61116,1.61467,1.60315,1.6063
2005.02.18,1.60648,1.61044,1.60096,1.60923
2005.02.21,1.60578,1.61295,1.60319,1.61067
2005.02.22,1.61058,1.62957,1.60925,1.62319
2005.02.23,1.62351,1.64632,1.62067,1.64443
2005.02.24,1.6448,1.65398,1.63322,1.63396
2005.02.25,1.63414,1.6419,1.63176,1.63905
2005.02.28,1.63906,1.64128,1.62643,1.63143
2005.03.01,1.63176,1.63978,1.62481,1.63565
2005.03.02,1.6358,1.63752,1.62488,1.62723
2005.03.03,1.62741,1.63843,1.62463,1.62963
2005.03.04,1.6298,1.63388,1.62603,1.62955
2005.03.07,1.62885,1.63188,1.62039,1.62338
2005.03.08,1.62368,1.62912,1.61515,1.61761
2005.03.09,1.61777,1.61924,1.60842,1.61542
2005.03.10,1.61563,1.61735,1.60765,1.61559
2005.03.11,1.61615,1.62533,1.61188,1.6223
2005.03.14,1.62261,1.62328,1.60958,1.6128
2005.03.15,1.61288,1.6153,1.60058,1.60558
2005.03.16,1.60561,1.61733,1.60234,1.61564
2005.03.17,1.61588,1.61781,1.6015,1.60582
2005.03.18,1.60598,1.60832,1.59678,1.60076
2005.03.21,1.6004,1.6032,1.59133,1.59285
2005.03.22,1.593,1.59553,1.57839,1.58155
2005.03.23,1.58157,1.58436,1.5737,1.57709
2005.03.24,1.57783,1.58342,1.56938,1.56965
2005.03.25,1.57015,1.57887,1.56936,1.57769
2005.03.28,1.57799,1.57875,1.56784,1.57029
2005.03.29,1.57027,1.57409,1.56172,1.56579
2005.03.30,1.56553,1.56599,1.56347,1.56366
2005.04.01,1.56758,1.57565,1.5644,1.56756
2005.04.02,1.56766,1.56789,1.56549,1.56697
2005.04.04,1.56717,1.57066,1.56414,1.56881
2005.04.05,1.5688,1.57142,1.5644,1.56605
2005.04.06,1.56597,1.57392,1.56411,1.57181
2005.04.07,1.57243,1.57792,1.56851,1.57134
2005.04.08,1.57095,1.58863,1.56628,1.58794
2005.04.11,1.58896,1.60557,1.58267,1.59884
2005.04.12,1.59931,1.60226,1.55968,1.59858
2005.04.13,1.59852,1.59933,1.59011,1.5988
2005.04.14,1.59853,1.59899,1.58756,1.59031
2005.04.15,1.59022,1.61058,1.58612,1.60953
2005.04.18,1.60938,1.62788,1.60462,1.62474
2005.04.19,1.62467,1.62686,1.61469,1.61524
2005.04.20,1.61505,1.62515,1.61171,1.62485
2005.04.21,1.62474,1.62497,1.61366,1.6159
2005.04.22,1.61599,1.61915,1.60962,1.61242
2005.04.25,1.61256,1.6132,1.60345,1.60836
2005.04.26,1.6083,1.61828,1.60569,1.61632
2005.04.27,1.61617,1.61812,1.6065,1.61449
2005.04.28,1.61445,1.61894,1.61158,1.61388
2005.04.29,1.61377,1.62447,1.6133,1.61896
2005.05.02,1.61904,1.62286,1.60926,1.61252
2005.05.03,1.61223,1.61874,1.6102,1.61083
2005.05.04,1.61081,1.62145,1.61061,1.61212
2005.05.05,1.61197,1.61735,1.60871,1.61347
2005.05.06,1.61346,1.61371,1.5884,1.59129
2005.05.09,1.59131,1.59371,1.58475,1.58897
2005.05.10,1.589,1.59368,1.58512,1.59195
2005.05.11,1.5919,1.60339,1.59079,1.59888
2005.05.12,1.59898,1.59908,1.58618,1.58726
2005.05.13,1.58723,1.59768,1.58203,1.59768
2005.05.16,1.59706,1.60686,1.59083,1.60422
2005.05.17,1.60413,1.60715,1.59324,1.59411
2005.05.18,1.59398,1.59924,1.59059,1.59604
2005.05.19,1.59601,1.60033,1.58986,1.59108
2005.05.20,1.59098,1.59157,1.58237,1.58967
