Date,Open,High,Low,Close
2003.08.04,1.53834,1.53888,1.52757,1.52875
2003.08.05,1.52928,1.5352,1.52857,1.53384
2003.08.06,1.53382,1.53553,1.53062,1.5338
2003.08.07,1.53307,1.53904,1.53271,1.53522
2003.08.08,1.5351,1.53835,1.53432,1.53678
2003.08.11,1.53728,1.54304,1.53426,1.54228
2003.08.12,1.542,1.5453,1.53964,1.54355
2003.08.13,1.54344,1.54758,1.54124,1.54618
2003.08.14,1.54575,1.5481,1.54111,1.5431
2003.08.15,1.54292,1.54641,1.54113,1.54393
2003.08.18,1.54143,1.55108,1.54143,1.54747
2003.08.19,1.54755,1.55015,1.54462,1.54578
2003.08.20,1.54616,1.54719,1.54114,1.54252
2003.08.21,1.54247,1.5441,1.53964,1.54271
2003.08.22,1.54238,1.54441,1.53977,1.54098
2003.08.25,1.54059,1.54405,1.53795,1.53795
2003.08.26,1.53788,1.54212,1.5314,1.53286
2003.08.27,1.53257,1.53961,1.53154,1.53785
2003.08.28,1.53784,1.54156,1.53694,1.53838
2003.08.29,1.53824,1.54044,1.53552,1.53682
2003.09.01,1.5366,1.53995,1.5351,1.5354
2003.09.02,1.53552,1.53807,1.53247,1.53252
2003.09.03,1.53303,1.53522,1.52964,1.53391
2003.09.04,1.53472,1.53965,1.53327,1.53663
2003.09.05,1.53612,1.54093,1.5343,1.53463
2003.09.08,1.53607,1.5404,1.53499,1.53855
2003.09.09,1.53871,1.54827,1.53849,1.54682
2003.09.10,1.54698,1.55403,1.54598,1.55088
2003.09.11,1.55025,1.55535,1.54828,1.54937
2003.09.12,1.55,1.55766,1.5489,1.55628
2003.09.15,1.55595,1.55888,1.55351,1.55658
2003.09.16,1.55642,1.56228,1.55128,1.55259
2003.09.17,1.55222,1.55678,1.54773,1.55618
2003.09.18,1.55595,1.56043,1.55378,1.55739
2003.09.19,1.55819,1.56025,1.55249,1.55378
2003.09.22,1.55555,1.55905,1.55056,1.552
2003.09.23,1.5518,1.55572,1.5506,1.55446
2003.09.24,1.55447,1.55562,1.55085,1.55085
2003.09.25,1.5511,1.55289,1.54289,1.54301
2003.09.26,1.54307,1.54559,1.53996,1.54117
2003.09.29,1.54091,1.54395,1.53576,1.53662
2003.09.30,1.53594,1.54114,1.53467,1.53666
2003.10.01,1.53692,1.54269,1.53592,1.53899
2003.10.02,1.53831,1.54397,1.53831,1.53926
2003.10.03,1.53944,1.54799,1.53913,1.54669
2003.10.06,1.54635,1.54829,1.5427,1.54526
