Date,Open,High,Low,Close
2003.08.04,0.69927,0.70603,0.69811,0.70442
2003.08.05,0.70423,0.70749,0.70239,0.70425
2003.08.06,0.70414,0.70745,0.70328,0.7037
2003.08.07,0.70362,0.70729,0.7018,0.70242
2003.08.08,0.70237,0.70573,0.70172,0.70481
2003.08.11,0.70475,0.70698,0.69837,0.70589
2003.08.12,0.70613,0.70725,0.70342,0.70384
2003.08.13,0.70379,0.70472,0.70033,0.70381
2003.08.14,0.70387,0.7051,0.70049,0.70248
2003.08.15,0.70275,0.70662,0.70122,0.70495
2003.08.18,0.7034,0.70511,0.70004,0.70016
2003.08.19,0.70041,0.70187,0.69807,0.70126
2003.08.20,0.7013,0.7019,0.69603,0.69725
2003.08.21,0.69742,0.69802,0.69125,0.69149
2003.08.22,0.69158,0.69353,0.68878,0.69023
2003.08.25,0.69,0.69312,0.68929,0.69163
2003.08.26,0.69173,0.69292,0.68991,0.69193
2003.08.27,0.69203,0.69475,0.68957,0.69246
2003.08.28,0.6924,0.69339,0.68885,0.68947
2003.08.29,0.68943,0.69776,0.68859,0.69601
2003.09.01,0.69588,0.69928,0.69489,0.69785
2003.09.02,0.69802,0.69844,0.68851,0.6894
2003.09.03,0.68929,0.69089,0.68779,0.69001
2003.09.04,0.69013,0.69219,0.6864,0.69133
2003.09.05,0.69128,0.69914,0.68958,0.69888
2003.09.08,0.69793,0.70144,0.69582,0.69888
2003.09.09,0.69872,0.70674,0.6975,0.70518
2003.09.10,0.70518,0.70635,0.70237,0.70368
2003.09.11,0.70339,0.70668,0.70036,0.7021
2003.09.12,0.70197,0.70493,0.69848,0.7039
2003.09.15,0.70155,0.70577,0.70035,0.70447
2003.09.16,0.70442,0.70604,0.70225,0.70366
2003.09.17,0.7035,0.70413,0.69821,0.70069
2003.09.18,0.70053,0.70179,0.69403,0.69519
2003.09.19,0.69537,0.6973,0.69343,0.69455
2003.09.22,0.69403,0.69738,0.69346,0.69448
2003.09.23,0.69446,0.69687,0.69194,0.69275
2003.09.24,0.69242,0.69442,0.6909,0.69222
