Date,Open,High,Low,Close
2003.08.04,135.173,136.861,134.956,136.653
2003.08.05,136.662,137.028,135.797,136.413
2003.08.06,136.442,136.96,135.987,136.273
2003.08.07,136.253,136.41,135.165,135.224
2003.08.08,135.193,135.563,134.278,134.581
2003.08.11,134.572,134.915,133.408,134.622
2003.08.12,134.647,134.973,133.757,133.916
2003.08.13,133.936,134.971,133.524,134.855
2003.08.14,134.893,135.309,133.805,134.119
2003.08.15,134.155,134.41,133.665,134.227
2003.08.18,134.183,134.266,132.929,133.095
2003.08.19,133.114,133.202,131.588,131.809
2003.08.20,131.815,132.231,130.786,131.247
2003.08.21,131.305,131.339,128.159,128.609
2003.08.22,128.634,128.952,127.262,127.802
2003.08.25,127.82,128.24,127.381,127.49
2003.08.26,127.513,127.994,126.675,127.366
2003.08.27,127.365,128.679,127.293,127.79
2003.08.28,127.765,128.148,126.894,127.65
2003.08.29,127.682,128.508,126.793,128.346
2003.09.01,128.312,128.553,127.505,127.775
2003.09.02,127.79,127.906,125.462,125.946
2003.09.03,125.968,126.159,125.003,125.644
2003.09.04,125.703,127.784,125.265,127.731
2003.09.05,127.74,129.847,127.487,129.681
2003.09.08,129.67,130.584,129.06,129.24
2003.09.09,129.252,131.358,128.916,131.11
2003.09.10,131.109,131.381,130.266,131.188
2003.09.11,131.248,132.066,130.252,131.192
2003.09.12,131.217,132.835,130.27,132.4
2003.09.15,132.397,132.829,131.915,132.448
2003.09.16,132.504,132.609,129.489,129.795
2003.09.17,129.815,131.445,129.223,130.866
2003.09.18,130.882,131.045,129.32,129.693
2003.09.19,129.688,130.32,128.916,129.57
2003.09.22,129.752,129.752,127.954,128.575
2003.09.23,128.587,128.724,127.5,128.415
2003.09.24,128.49,128.551,127.449,128.423
2003.09.25,128.427,129.04,127.988,128.891
2003.09.26,128.874,128.957,128.003,128.003
2003.09.29,128.06,128.766,126.883,128.416
2003.09.30,128.498,130.204,128.4,129.943
2003.10.01,129.982,130.085,129.19,129.547
2003.10.02,129.655,130.5,129.271,129.418
2003.10.03,129.418,129.649,128.128,128.402
2003.10.06,128.332,130,128.072,129.902
2003.10.07,129.922,130.328,128.816,129.235
2003.10.08,129.22,129.772,128.936,129.37
2003.10.09,129.393,129.615,127.552,128.06
2003.10.10,128.125,128.495,127.125,128.11
2003.10.13,128.202,128.215,126.525,127.411
2003.10.14,127.468,128.52,126.661,127.58
2003.10.15,127.587,127.961,127.157,127.376
2003.10.16,127.408,127.866,127.173,127.349
2003.10.17,127.352,127.824,126.825,127.638
2003.10.20,127.573,128.768,127.25,128.386
2003.10.21,128.39,128.45,127.494,127.673
2003.10.22,127.702,128.783,127.557,128.558
2003.10.23,128.589,129.948,128.482,129.078
2003.10.24,129.125,129.828,128.62,128.647
2003.10.27,128.638,128.762,127.184,127.42
2003.10.28,127.422,127.454,126.156,126.303
2003.10.29,126.246,126.633,126.084,126.295
2003.10.30,126.3,127.04,125.97,126.379
2003.10.31,126.347,127.863,126.207,127.39
2003.11.03,127.215,128.091,126.84,127.138
2003.11.04,127.137,127.25,125.774,125.88
2003.11.05,125.867,126.326,125.317,125.643
2003.11.06,125.641,126.008,125.45,125.794
2003.11.07,125.752,126.13,125.481,126.071
2003.11.10,125.732,126.309,124.122,124.92
2003.11.11,124.9,125.374,124.378,125.196
2003.11.12,125.195,126.782,125.039,126.601
2003.11.13,126.612,127.049,126.073,126.847
