Date,Open,High,Low,Close
2006.01.03,1.73425,1.76112,1.73248,1.75888
2006.01.04,1.7581,1.76252,1.7501,1.75884
2006.01.05,1.75876,1.76719,1.75363,1.76134
2006.01.06,1.76152,1.76921,1.75455,1.7557
2006.01.09,1.755,1.75813,1.73885,1.7409
2006.01.10,1.74103,1.74557,1.73538,1.73863
2006.01.11,1.73839,1.74188,1.73369,1.73669
2006.01.12,1.73716,1.74132,1.72726,1.73485
2006.01.13,1.73511,1.73814,1.72907,1.736
2006.01.16,1.7363,1.7395,1.73213,1.73649
2006.01.17,1.73678,1.75427,1.73675,1.75402
2006.01.18,1.75396,1.76763,1.75022,1.76278
2006.01.19,1.7636,1.78666,1.75907,1.77899
2006.01.20,1.77758,1.78929,1.76813,1.78811
2006.01.23,1.79393,1.7994,1.78431,1.79698
2006.01.24,1.79716,1.81482,1.79487,1.7989
2006.01.25,1.79895,1.80036,1.78428,1.78467
2006.01.26,1.78477,1.7911,1.77484,1.78084
2006.01.27,1.78095,1.80415,1.77059,1.77127
2006.01.30,1.77283,1.77851,1.76849,1.77106
2006.01.31,1.7715,1.77809,1.76435,1.77249
2006.02.01,1.77208,1.77208,1.75798,1.76281
2006.02.02,1.76212,1.76353,1.75001,1.75171
2006.02.03,1.75208,1.75401,1.74305,1.75035
2006.02.06,1.75042,1.7621,1.74604,1.75537
2006.02.07,1.75526,1.75877,1.74904,1.75659
2006.02.08,1.75676,1.773,1.75676,1.76184
2006.02.09,1.76174,1.774,1.76065,1.76466
2006.02.10,1.76553,1.76589,1.75036,1.75214
2006.02.13,1.75222,1.75353,1.74686,1.75014
2006.02.14,1.75016,1.77003,1.75006,1.76541
2006.02.15,1.76583,1.76623,1.75338,1.76204
2006.02.16,1.76199,1.77933,1.75746,1.77843
2006.02.17,1.77872,1.79246,1.77029,1.78985
2006.02.20,1.78971,1.78971,1.77875,1.77994
2006.02.21,1.78034,1.80266,1.77816,1.79993
2006.02.22,1.79999,1.81278,1.79775,1.80616
2006.02.23,1.80614,1.8105,1.80003,1.80139
2006.02.24,1.80161,1.80282,1.78833,1.79083
2006.02.27,1.79188,1.80444,1.79109,1.79373
2006.02.28,1.79386,1.80401,1.79081,1.79719
2006.03.01,1.79752,1.80265,1.78798,1.79123
2006.03.02,1.79154,1.80608,1.78686,1.80476
2006.03.03,1.80488,1.81113,1.79884,1.81061
2006.03.06,1.81091,1.83088,1.80754,1.82923
2006.03.07,1.82906,1.83893,1.82659,1.83219
2006.03.08,1.83224,1.83794,1.82539,1.82986
2006.03.09,1.8301,1.84323,1.82818,1.84184
2006.03.10,1.84195,1.86004,1.83924,1.85864
2006.03.13,1.85765,1.86617,1.84955,1.86508
2006.03.14,1.86612,1.89134,1.86612,1.87726
2006.03.15,1.87718,1.87819,1.86144,1.8697
2006.03.16,1.86976,1.90934,1.86476,1.90625
2006.03.17,1.90652,1.93144,1.89881,1.92061
2006.03.20,1.92048,1.9526,1.91338,1.94223
2006.03.21,1.94226,1.95203,1.93305,1.93921
2006.03.22,1.93923,1.95395,1.92391,1.9268
2006.03.23,1.92715,1.93196,1.91468,1.91762
2006.03.24,1.91634,1.96626,1.91317,1.96437
2006.03.27,1.96526,1.98927,1.96526,1.98116
2006.03.28,1.98118,2,1.96068,1.98133
2006.03.29,1.98128,2.00264,1.97903,1.98879
2006.03.30,1.98881,1.99233,1.97596,1.98982
2006.03.31,1.98997,1.9914,1.9638,1.96507
2006.04.01,1.96504,1.96534,1.96407,1.96441
2006.04.03,1.96486,1.99098,1.95375,1.98996
2006.04.04,1.99165,2.02125,1.98843,2.01674
2006.04.05,2.01669,2.0167,1.9951,1.99544
2006.04.06,1.99583,2.00991,1.98336,1.99271
2006.04.07,1.99268,1.99601,1.97481,1.9839
2006.04.10,1.98408,1.9951,1.97952,1.98768
2006.04.11,1.98793,1.99477,1.98104,1.98493
2006.04.12,1.98503,1.98516,1.963,1.96478
2006.04.13,1.96474,1.96569,1.93332,1.95941
2006.04.14,1.95912,1.96303,1.95233,1.9592
2006.04.17,1.95932,1.97037,1.95421,1.96188
2006.04.18,1.96224,1.96392,1.95041,1.95892
2006.04.19,1.95929,1.96352,1.93912,1.95193
2006.04.20,1.952,1.96888,1.94334,1.96683
2006.04.21,1.96666,1.96693,1.94129,1.94771
2006.04.24,1.94802,1.97779,1.94103,1.97425
2006.04.25,1.97427,1.99124,1.96441,1.99028
2006.04.26,1.98984,1.98984,1.96365,1.97005
2006.04.27,1.97007,1.98282,1.96746,1.97496
2006.04.28,1.97519,1.9857,1.97329,1.98065
2006.05.01,1.97905,1.98344,1.9671,1.97138
2006.05.02,1.97115,1.98402,1.96857,1.97087
2006.05.03,1.97067,1.97527,1.95876,1.96848
2006.05.04,1.96868,1.98083,1.9652,1.97657
2006.05.05,1.97677,1.98716,1.97531,1.98281
2006.05.08,1.98293,2.01318,1.97963,2.01138
2006.05.09,2.01081,2.03188,2.002,2.02824
2006.05.10,2.02827,2.05093,2.01728,2.03612
2006.05.11,2.03627,2.05149,2.01302,2.03386
2006.05.12,2.03386,2.06584,2.02926,2.05585
2006.05.15,2.05605,2.08214,2.05464,2.06231
2006.05.16,2.06243,2.06585,2.04612,2.04798
2006.05.17,2.04808,2.05722,2.04357,2.04745
2006.05.18,2.0475,2.06523,2.03963,2.06336
2006.05.19,2.06348,2.0674,2.04845,2.0574
2006.05.22,2.05708,2.07906,2.05258,2.06981
2006.05.23,2.06977,2.06977,2.03755,2.03755
2006.05.24,2.03748,2.05826,2.00942,2.01307
2006.05.25,2.01322,2.01586,1.98891,1.99608
2006.05.26,1.99639,2.0148,1.99598,2.009
2006.05.29,2.00879,2.01336,2.00049,2.0088
2006.05.30,2.00851,2.01768,2.00344,2.00841
2006.05.31,2.00896,2.02166,2.00158,2.01684
2006.06.01,2.01691,2.03078,2.01449,2.02912
2006.06.02,2.02924,2.05417,2.00448,2.04801
2006.06.05,2.04796,2.05423,2.03498,2.0368
2006.06.06,2.0369,2.05091,2.03372,2.04567
2006.06.07,2.04402,2.05081,2.01976,2.04241
2006.06.08,2.04257,2.04408,2.0167,2.02411
2006.06.09,2.02404,2.02404,1.98972,1.99671
2006.06.12,1.99629,1.99932,1.98914,1.9926
2006.06.13,1.99239,2.0284,1.99116,2.01781
2006.06.14,2.01792,2.02618,2.00619,2.02449
2006.06.15,2.02433,2.03467,2.01253,2.02792
