Date,Open,High,Low,Close
2003.05.05,1.12161,1.13009,1.12014,1.12774
2003.05.06,1.12728,1.14506,1.12723,1.14338
2003.05.07,1.14297,1.14438,1.13265,1.13647
2003.05.08,1.13605,1.15077,1.13006,1.14996
2003.05.09,1.14932,1.15366,1.14346,1.14877
2003.05.12,1.14888,1.16229,1.14888,1.15427
2003.05.13,1.15357,1.15739,1.1462,1.1512
2003.05.14,1.1512,1.1537,1.14667,1.1494
2003.05.15,1.14913,1.14967,1.13744,1.13847
2003.05.16,1.13775,1.15766,1.13675,1.15705
2003.05.19,1.16564,1.17353,1.16205,1.16566
2003.05.20,1.1652,1.17146,1.15998,1.17039
2003.05.21,1.16989,1.17437,1.1661,1.16716
2003.05.22,1.16654,1.17266,1.16181,1.16908
2003.05.23,1.16877,1.18363,1.16635,1.18236
2003.05.26,1.182,1.18744,1.17955,1.1866
2003.05.27,1.186,1.19286,1.18166,1.18258
2003.05.28,1.18191,1.18439,1.17037,1.17619
2003.05.29,1.17587,1.18998,1.16909,1.18803
2003.05.30,1.18757,1.19144,1.17419,1.17661
2003.06.02,1.17079,1.17652,1.16504,1.17443
2003.06.03,1.17426,1.17773,1.16858,1.17361
2003.06.04,1.17295,1.17463,1.16609,1.16615
2003.06.05,1.16565,1.1885,1.16273,1.18375
2003.06.06,1.18319,1.18772,1.16829,1.16971
2003.06.09,1.1687,1.17846,1.16548,1.17131
2003.06.10,1.17076,1.174,1.16692,1.16729
2003.06.11,1.16676,1.17805,1.16571,1.17391
2003.06.12,1.17359,1.18038,1.1702,1.17608
2003.06.13,1.17582,1.18758,1.17338,1.186
2003.06.16,1.18624,1.19263,1.18198,1.18326
2003.06.17,1.18316,1.18652,1.1767,1.17907
2003.06.18,1.17844,1.18016,1.16604,1.16853
2003.06.19,1.1677,1.17372,1.15826,1.17173
2003.06.20,1.1713,1.17333,1.15501,1.1601
2003.06.23,1.15955,1.16028,1.15069,1.15399
2003.06.24,1.15374,1.15801,1.1475,1.15141
2003.06.25,1.15118,1.16205,1.14897,1.15368
2003.06.26,1.15379,1.15509,1.14125,1.14151
2003.06.27,1.14145,1.14665,1.13984,1.14224
