Date,Open,High,Low,Close
2006.03.22,2.43247,2.44296,2.42323,2.429
2006.03.23,2.42917,2.43503,2.41997,2.42537
2006.03.24,2.42545,2.46029,2.42515,2.45625
2006.03.27,2.45675,2.48126,2.45452,2.47389
2006.03.28,2.4736,2.47684,2.45119,2.47101
2006.03.29,2.47089,2.48366,2.44904,2.45024
2006.03.30,2.45048,2.45594,2.43598,2.44287
2006.03.31,2.44253,2.4455,2.42167,2.42495
2006.04.01,2.4256,2.42629,2.42265,2.42332
2006.04.03,2.42367,2.43307,2.40694,2.42902
2006.04.04,2.42912,2.44325,2.42269,2.43491
2006.04.05,2.43491,2.43627,2.40335,2.40828
2006.04.06,2.40821,2.41147,2.3896,2.39693
2006.04.07,2.39654,2.40375,2.37369,2.39869
2006.04.10,2.39767,2.40084,2.38425,2.38698
2006.04.11,2.38713,2.39637,2.37442,2.38272
2006.04.12,2.38288,2.40074,2.38057,2.38692
2006.04.13,2.38729,2.41443,2.38486,2.40517
2006.04.14,2.40522,2.40792,2.4007,2.40365
2006.04.17,2.40334,2.41419,2.39327,2.39844
2006.04.18,2.39778,2.40946,2.3905,2.40133
2006.04.19,2.40146,2.40381,2.39148,2.39962
2006.04.20,2.39938,2.41727,2.39364,2.40964
2006.04.21,2.40896,2.412,2.38672,2.39388
2006.04.24,2.39449,2.40401,2.38672,2.40057
2006.04.25,2.40071,2.40339,2.39102,2.39644
2006.04.26,2.3953,2.40336,2.36688,2.36944
2006.04.27,2.36862,2.38282,2.36506,2.38141
2006.04.28,2.38108,2.40361,2.37812,2.40254
2006.05.01,2.4026,2.41165,2.39627,2.40178
2006.05.02,2.40182,2.41718,2.40169,2.41294
2006.05.03,2.41326,2.41929,2.38169,2.3883
2006.05.04,2.38838,2.40174,2.3879,2.39831
2006.05.05,2.39872,2.41351,2.3703,2.4054
2006.05.08,2.4061,2.4186,2.40439,2.41782
2006.05.09,2.41817,2.42776,2.40546,2.41132
