Date,Open,High,Low,Close
2006.01.03,2.00135,2.01877,2.00098,2.01788
2006.01.04,2.01771,2.02892,2.01375,2.01718
2006.01.05,2.01702,2.046,2.01102,2.03952
2006.01.06,2.03938,2.06529,2.03597,2.06196
2006.01.09,2.05965,2.07367,2.05735,2.06276
2006.01.10,2.06101,2.06895,2.05069,2.05702
2006.01.11,2.05698,2.05846,2.03752,2.04387
2006.01.12,2.04399,2.05344,2.04091,2.04555
2006.01.13,2.0457,2.0632,2.04174,2.06075
2006.01.16,2.06051,2.06306,2.04342,2.04715
2006.01.17,2.04704,2.05806,2.03698,2.05617
2006.01.18,2.05622,2.06983,2.04374,2.06408
2006.01.19,2.0641,2.0713,2.04485,2.04615
2006.01.20,2.04615,2.04955,2.03036,2.03922
2006.01.23,2.04334,2.05522,2.04313,2.05373
2006.01.24,2.05368,2.06809,2.04969,2.05391
2006.01.25,2.05428,2.06405,2.04889,2.05105
2006.01.26,2.05136,2.06379,2.0445,2.04753
2006.01.27,2.0475,2.05481,2.02797,2.03043
2006.01.30,2.0292,2.03357,2.01829,2.02482
2006.01.31,2.02486,2.04114,2.0214,2.02606
2006.02.01,2.02608,2.03067,2.02047,2.02468
2006.02.02,2.02415,2.03937,2.02257,2.03805
2006.02.03,2.03814,2.03976,2.01541,2.01596
2006.02.06,2.01239,2.01803,1.99801,2.0033
2006.02.07,2.00336,2.01349,1.99942,2.01115
2006.02.08,2.01121,2.01573,1.99757,2.00074
2006.02.09,2.0008,2.00668,1.98904,1.99359
2006.02.10,1.99366,2.01991,1.99288,2.00911
2006.02.13,2.00945,2.01492,2.00533,2.01044
2006.02.14,2.01063,2.01557,1.99579,2.00143
2006.02.15,2.00158,2.01814,1.99861,2.01404
2006.02.16,2.01381,2.01565,2.00448,2.01196
2006.02.17,2.01183,2.01363,2.00066,2.00291
2006.02.20,2.0019,2.00783,1.99793,2.00067
2006.02.21,2.00108,2.00502,1.9957,2.00085
2006.02.22,2.00078,2.00624,1.99547,2.00185
2006.02.23,2.00205,2.02062,2.00036,2.01806
2006.02.24,2.01805,2.02104,2.00156,2.00406
2006.02.27,2.00386,2.00582,1.98222,1.98436
2006.02.28,1.98433,1.99708,1.98096,1.99321
2006.03.01,1.99311,2.00188,1.98055,1.9855
2006.03.02,1.98503,1.99016,1.9749,1.98248
2006.03.03,1.98258,1.99474,1.97988,1.99037
2006.03.06,1.99036,2.00128,1.98894,1.99262
2006.03.07,1.99249,1.99768,1.9819,1.99579
2006.03.08,1.99581,2.01136,1.99356,2.00958
2006.03.09,2.00961,2.01882,2.00269,2.01211
2006.03.10,2.01198,2.02076,1.99991,2.00174
2006.03.13,2.0002,2.01179,1.998,2.00555
2006.03.14,2.00537,2.0205,2.00457,2.02014
2006.03.15,2.02012,2.02106,2.01071,2.01689
2006.03.16,2.01687,2.02814,2.01405,2.02383
2006.03.17,2.02385,2.03732,2.02258,2.03358
2006.03.20,2.03419,2.04938,2.03022,2.0376
2006.03.21,2.03751,2.03864,2.02894,2.03434
2006.03.22,2.03445,2.0474,2.03178,2.03734
2006.03.23,2.03742,2.0378,2.01873,2.01997
2006.03.24,2.01986,2.03682,2.01861,2.03373
2006.03.27,2.03325,2.04864,2.03087,2.04008
2006.03.28,2.04003,2.04959,2.03443,2.03977
2006.03.29,2.03945,2.04295,2.02866,2.03204
2006.03.30,2.03216,2.0364,2.01848,2.02624
2006.03.31,2.02631,2.02927,2.016,2.02827
2006.04.01,2.02818,2.03164,2.02797,2.02892
2006.04.03,2.02613,2.04047,2.02254,2.03649
2006.04.04,2.03642,2.05568,2.03586,2.04072
2006.04.05,2.04084,2.04864,2.03098,2.03717
2006.04.06,2.03704,2.03892,2.01551,2.02002
2006.04.07,2.01998,2.02401,1.99404,2.00248
2006.04.10,2.00412,2.00522,1.99276,2.00049
2006.04.11,2.00061,2.00269,1.99288,1.9981
2006.04.12,1.99815,2.0132,1.99789,2.00558
2006.04.13,2.00561,2.02067,2.00525,2.0159
2006.04.14,2.01593,2.01732,2.01199,2.01587
2006.04.17,2.01711,2.03068,2.01465,2.0257
2006.04.18,2.02571,2.0352,2.02383,2.03226
2006.04.19,2.03234,2.0371,2.02694,2.03531
2006.04.20,2.03523,2.03523,2.02253,2.02518
2006.04.21,2.02521,2.03024,2.02109,2.0259
2006.04.24,2.02823,2.03524,2.02637,2.03306
2006.04.25,2.03297,2.03717,2.02052,2.02337
2006.04.26,2.02332,2.02382,2.00908,2.01203
2006.04.27,2.01191,2.02582,2.00879,2.02251
2006.04.28,2.02239,2.04213,2.02014,2.0385
2006.05.01,2.03737,2.05025,2.02823,2.03168
2006.05.02,2.03157,2.03928,2.02773,2.03428
2006.05.03,2.03454,2.04269,2.02637,2.04124
2006.05.04,2.04128,2.05316,2.03546,2.0494
2006.05.05,2.04954,2.06245,2.04732,2.05396
2006.05.08,2.0549,2.0706,2.05427,2.06639
2006.05.09,2.06636,2.06992,2.04777,2.05233
