Date,Open,High,Low,Close
2003.08.04,2.1947,2.19522,2.19452,2.19505
2003.08.15,2.19493,2.19493,2.18324,2.18806
2003.08.18,2.18935,2.2138,2.1877,2.20856
2003.08.19,2.20813,2.21771,2.20116,2.20368
2003.08.20,2.20336,2.21648,2.20133,2.21114
2003.08.21,2.2112,2.23097,2.20665,2.2281
2003.08.22,2.22806,2.23788,2.2257,2.23072
2003.08.25,2.22982,2.23618,2.22013,2.22227
2003.08.26,2.22325,2.23343,2.21051,2.21476
2003.08.27,2.21516,2.22883,2.21015,2.22048
2003.08.28,2.21997,2.23451,2.21762,2.23018
2003.08.29,2.23036,2.23305,2.20324,2.2074
2003.09.01,2.20692,2.2122,2.19621,2.19928
2003.09.02,2.19888,2.22678,2.19783,2.22284
2003.09.03,2.22313,2.22753,2.21623,2.22216
2003.09.04,2.22191,2.23663,2.21897,2.22147
2003.09.05,2.22184,2.22951,2.19425,2.19448
2003.09.08,2.20001,2.21007,2.19248,2.20112
2003.09.09,2.20072,2.20862,2.18693,2.19189
2003.09.10,2.19145,2.20777,2.18809,2.20217
2003.09.11,2.20197,2.21366,2.1966,2.20589
2003.09.12,2.20583,2.2248,2.20523,2.20952
2003.09.15,2.21184,2.22054,2.20387,2.20911
2003.09.16,2.20879,2.21924,2.20173,2.20498
2003.09.17,2.20507,2.22103,2.20394,2.21936
2003.09.18,2.21901,2.24162,2.21671,2.23868
2003.09.19,2.23925,2.2467,2.23155,2.23659
2003.09.22,2.22997,2.24223,2.22484,2.23428
2003.09.23,2.23378,2.24603,2.22781,2.24307
2003.09.24,2.24314,2.24735,2.23604,2.23953
2003.09.25,2.23951,2.24055,2.22798,2.2287
2003.09.26,2.22831,2.23723,2.22453,2.23061
2003.09.29,2.22935,2.2344,2.2076,2.20789
2003.09.30,2.20723,2.21135,2.18662,2.1909
2003.10.01,2.19165,2.20075,2.17875,2.19057
2003.10.02,2.19081,2.20478,2.18924,2.19906
2003.10.03,2.1996,2.22731,2.1963,2.22269
2003.10.06,2.22108,2.22663,2.2,2.20541
2003.10.07,2.20341,2.2128,2.18105,2.18724
2003.10.08,2.18762,2.1901,2.17328,2.18114
