Date,Open,High,Low,Close
2003.08.04,193.233,194.326,192.804,193.84
2003.08.05,193.833,194.397,191.95,193.572
2003.08.06,193.522,194.186,192.815,193.499
2003.08.07,193.536,193.589,191.575,192.44
2003.08.08,192.386,192.64,190.568,190.815
2003.08.11,190.726,191.113,189.372,190.534
2003.08.12,190.593,190.989,189.431,190.165
2003.08.13,190.159,191.931,189.668,191.541
2003.08.14,191.386,192.463,190.352,190.756
2003.08.15,190.753,190.967,189.734,189.933
2003.08.18,190.21,190.584,189.53,189.927
2003.08.19,189.991,190.095,187.65,187.836
2003.08.20,187.789,188.938,187.684,188.156
2003.08.21,188.338,188.383,185.357,185.66
2003.08.22,185.659,185.739,184.315,185.067
2003.08.25,185.043,185.455,184.127,184.233
2003.08.26,184.272,184.828,183.312,183.978
2003.08.27,183.985,185.475,183.824,184.498
2003.08.28,184.491,185.397,183.578,185.052
2003.08.29,185.027,185.308,183.321,184.427
2003.09.01,184.408,184.512,182.511,183.002
2003.09.02,183.026,183.713,181.916,182.662
2003.09.03,182.622,182.701,181.235,181.996
2003.09.04,181.951,184.967,181.515,184.637
2003.09.05,184.625,186.127,184.279,185.44
2003.09.08,185.62,186.947,184.44,184.845
2003.09.09,184.856,186.021,183.541,185.799
2003.09.10,185.756,186.447,185.273,186.331
2003.09.11,186.31,187.037,185.465,186.745
2003.09.12,186.75,188.49,186.105,187.852
2003.09.15,188.242,188.853,187.846,187.975
2003.09.16,187.96,188.28,184.003,184.342
2003.09.17,184.299,187.349,184.042,186.651
2003.09.18,186.653,187.046,185.719,186.302
2003.09.19,186.35,187.608,185.462,186.401
2003.09.22,185.303,185.936,183.632,185.032
2003.09.23,185.051,185.491,183.305,185.312
2003.09.24,185.314,185.45,183.946,185.302
2003.09.25,185.324,186.303,184.641,186.09
2003.09.26,186.107,186.193,185.177,185.305
2003.09.29,185.2,185.249,183.457,184.56
2003.09.30,184.557,186.24,183.94,185.242
2003.10.01,185.236,185.395,183.192,184.594
2003.10.02,184.558,185.493,184.37,184.843
2003.10.03,184.857,185.305,183.941,184.447
2003.10.06,184.241,186.181,183.896,185.217
2003.10.07,185.196,186.047,181.939,182.687
2003.10.08,182.679,182.886,181.587,182.131
2003.10.09,182.151,182.27,180.695,181.658
2003.10.10,181.651,181.925,180.04,180.679
2003.10.13,180.47,181.721,179.356,181.414
