Date,Open,High,Low,Close
2006.01.03,2.52305,2.55847,2.51775,2.55631
2006.01.04,2.55597,2.56046,2.54417,2.55215
2006.01.05,2.55203,2.56464,2.54514,2.55443
2006.01.06,2.55368,2.57145,2.52668,2.55775
2006.01.09,2.55398,2.56159,2.54108,2.54283
2006.01.10,2.54234,2.55467,2.53879,2.54322
2006.01.11,2.54214,2.54381,2.52193,2.52733
2006.01.12,2.52721,2.54174,2.52458,2.53755
2006.01.13,2.53791,2.54692,2.53018,2.54093
2006.01.16,2.54067,2.54419,2.52652,2.53351
2006.01.17,2.53509,2.56197,2.53509,2.5609
2006.01.18,2.56066,2.57256,2.55454,2.56761
2006.01.19,2.56778,2.59913,2.56034,2.58811
2006.01.20,2.58711,2.61171,2.57158,2.61004
2006.01.23,2.61063,2.61997,2.59069,2.61044
2006.01.24,2.61042,2.63631,2.60859,2.61468
2006.01.25,2.61507,2.61981,2.60016,2.60091
2006.01.26,2.60117,2.61285,2.58806,2.59683
2006.01.27,2.5956,2.63106,2.58673,2.58841
2006.01.30,2.5885,2.59915,2.58418,2.5915
2006.01.31,2.59122,2.60344,2.5798,2.59516
2006.02.01,2.59435,2.59634,2.58031,2.59262
2006.02.02,2.59192,2.59382,2.57523,2.57987
2006.02.03,2.57989,2.58136,2.55933,2.56597
2006.02.06,2.56487,2.58172,2.55624,2.56361
2006.02.07,2.56403,2.56651,2.55326,2.55764
2006.02.08,2.55781,2.5797,2.55781,2.56485
2006.02.09,2.56465,2.58408,2.56274,2.56583
2006.02.10,2.56585,2.57445,2.55487,2.56732
2006.02.13,2.56747,2.57009,2.55465,2.56094
2006.02.14,2.56153,2.58811,2.56153,2.5733
2006.02.15,2.57358,2.58067,2.55724,2.58033
2006.02.16,2.58027,2.60041,2.56755,2.59858
2006.02.17,2.59876,2.61947,2.58642,2.61145
2006.02.20,2.61147,2.61147,2.59958,2.60043
2006.02.21,2.60049,2.64004,2.59926,2.63836
2006.02.22,2.63815,2.65551,2.63361,2.64407
2006.02.23,2.64492,2.65379,2.64056,2.64738
2006.02.24,2.64705,2.65007,2.6279,2.63273
2006.02.27,2.63366,2.65078,2.62943,2.63549
2006.02.28,2.63458,2.64972,2.63021,2.64384
2006.03.01,2.64383,2.64865,2.62496,2.62985
2006.03.02,2.6285,2.63315,2.6143,2.62931
2006.03.03,2.62779,2.6393,2.62185,2.6393
2006.03.06,2.6396,2.66563,2.63253,2.66511
2006.03.07,2.6648,2.68333,2.65944,2.67621
2006.03.08,2.6759,2.68117,2.6633,2.66822
2006.03.09,2.66851,2.68663,2.66533,2.68434
2006.03.10,2.68422,2.7055,2.68279,2.69356
2006.03.13,2.69297,2.70332,2.68004,2.70247
2006.03.14,2.70352,2.74258,2.70352,2.72898
2006.03.15,2.72913,2.72922,2.70019,2.70799
2006.03.16,2.70765,2.75755,2.70065,2.75061
2006.03.17,2.75051,2.78238,2.73869,2.76805
2006.03.20,2.76776,2.81501,2.75843,2.80487
2006.03.21,2.8045,2.81649,2.79243,2.80298
2006.03.22,2.8023,2.82413,2.78023,2.78779
2006.03.23,2.78712,2.79441,2.7663,2.7787
2006.03.24,2.77819,2.84775,2.7712,2.84383
2006.03.27,2.84445,2.88513,2.84445,2.88099
2006.03.28,2.8811,2.89735,2.85118,2.8774
2006.03.29,2.87746,2.90684,2.86486,2.86727
2006.03.30,2.86736,2.87191,2.84567,2.85728
2006.03.31,2.85736,2.85878,2.81425,2.81711
2006.04.01,2.81722,2.81867,2.81627,2.81699
2006.04.03,2.81708,2.85206,2.80623,2.85145
2006.04.04,2.85152,2.89981,2.85095,2.88789
2006.04.05,2.88777,2.88777,2.84547,2.84814
2006.04.06,2.84826,2.86944,2.83575,2.85743
