Date,Open,High,Low,Close
2003.05.05,1.60294,1.60751,1.60148,1.60587
2003.05.06,1.60584,1.6186,1.60462,1.61343
2003.05.07,1.61275,1.6161,1.59017,1.59591
2003.05.08,1.59591,1.60773,1.592,1.60126
2003.05.09,1.60135,1.60934,1.60019,1.6037
2003.05.12,1.60532,1.61429,1.60362,1.60879
2003.05.13,1.6087,1.61148,1.60399,1.60875
2003.05.14,1.60884,1.62087,1.60612,1.61729
2003.05.15,1.61725,1.62734,1.6123,1.62102
2003.05.16,1.62062,1.62908,1.61772,1.62247
2003.05.19,1.62542,1.63768,1.62477,1.63276
2003.05.20,1.63278,1.64303,1.63033,1.64155
2003.05.21,1.64138,1.64641,1.63492,1.63604
2003.05.22,1.63609,1.63906,1.63116,1.63458
2003.05.23,1.63414,1.64481,1.63073,1.63572
2003.05.26,1.63191,1.64139,1.6319,1.63704
2003.05.27,1.6369,1.6465,1.63672,1.63771
2003.05.28,1.6376,1.64344,1.63074,1.63908
2003.05.29,1.63916,1.65447,1.63175,1.65209
2003.05.30,1.65175,1.65455,1.63477,1.63521
2003.06.02,1.63,1.63938,1.62504,1.63704
2003.06.03,1.63702,1.64208,1.62294,1.62778
2003.06.04,1.6278,1.63416,1.62713,1.63026
2003.06.05,1.63002,1.66183,1.62814,1.6585
2003.06.06,1.65838,1.67084,1.65418,1.66156
2003.06.09,1.65956,1.66528,1.64243,1.64374
2003.06.10,1.64354,1.65736,1.64117,1.65155
2003.06.11,1.65149,1.66977,1.64921,1.66638
2003.06.12,1.66617,1.6787,1.66491,1.66788
2003.06.13,1.6679,1.67456,1.66308,1.67211
2003.06.16,1.67222,1.68792,1.67066,1.67672
2003.06.17,1.67631,1.68989,1.67528,1.68432
2003.06.18,1.68426,1.68617,1.67491,1.67835
2003.06.19,1.67827,1.68035,1.66849,1.67846
2003.06.20,1.6785,1.68195,1.65808,1.66096
2003.06.23,1.662,1.6693,1.65535,1.66702
2003.06.24,1.66705,1.67038,1.65871,1.66406
2003.06.25,1.66406,1.67952,1.66049,1.67143
2003.06.26,1.67161,1.67425,1.65913,1.66029
2003.06.27,1.66024,1.66298,1.64505,1.64838
2003.06.30,1.64837,1.65676,1.64537,1.65488
2003.07.01,1.65504,1.66501,1.65144,1.66208
2003.07.02,1.66184,1.66671,1.65997,1.66284
2003.07.03,1.66415,1.67394,1.66007,1.66781
2003.07.04,1.66759,1.67161,1.66467,1.66585
2003.07.07,1.66711,1.66746,1.64707,1.64935
2003.07.08,1.6492,1.65006,1.63136,1.63517
2003.07.09,1.63511,1.63782,1.62742,1.63703
2003.07.10,1.63726,1.63874,1.62169,1.63499
2003.07.11,1.63482,1.63803,1.62969,1.62989
2003.07.14,1.63013,1.63074,1.6121,1.61237
2003.07.15,1.61254,1.61452,1.58983,1.59199
2003.07.16,1.59166,1.59625,1.58527,1.59525
2003.07.17,1.59527,1.59907,1.5844,1.59569
2003.07.18,1.59556,1.59796,1.58237,1.58915
2003.07.21,1.58953,1.60223,1.57715,1.59972
2003.07.22,1.59954,1.6048,1.59454,1.59699
2003.07.23,1.59683,1.6098,1.59241,1.60768
2003.07.24,1.60808,1.61579,1.60571,1.61518
2003.07.25,1.61552,1.62338,1.61117,1.62009
2003.07.28,1.61921,1.62871,1.61697,1.62527
2003.07.29,1.625,1.63084,1.62107,1.62375
2003.07.30,1.62361,1.62498,1.61451,1.61524
2003.07.31,1.61555,1.617,1.60485,1.60933
2003.08.01,1.60939,1.61225,1.60006,1.60761
2003.08.04,1.6105,1.61487,1.60621,1.61098
2003.08.05,1.61079,1.61592,1.60201,1.61504
2003.08.06,1.61504,1.61852,1.60329,1.60873
2003.08.07,1.60855,1.61876,1.60501,1.61772
2003.08.08,1.61769,1.61861,1.60057,1.60253
2003.08.11,1.60378,1.61013,1.59799,1.6072
2003.08.12,1.60695,1.6092,1.59902,1.60194
2003.08.13,1.60196,1.60951,1.59623,1.60756
2003.08.14,1.60754,1.61349,1.59812,1.6013
2003.08.15,1.60104,1.60398,1.59237,1.5966
2003.08.18,1.5963,1.59839,1.58701,1.59053
2003.08.19,1.59072,1.59125,1.58072,1.58678
2003.08.20,1.5873,1.59643,1.5851,1.59375
2003.08.21,1.59361,1.59565,1.57441,1.57802
2003.08.22,1.57796,1.57933,1.57003,1.57473
2003.08.25,1.57356,1.57901,1.56807,1.57085
2003.08.26,1.57081,1.57448,1.56169,1.5679
2003.08.27,1.56771,1.57491,1.56656,1.57138
2003.08.28,1.57121,1.57843,1.56472,1.57753
2003.08.29,1.57743,1.58257,1.57199,1.57732
2003.09.01,1.57718,1.58103,1.56778,1.57039
2003.09.02,1.57025,1.57474,1.56172,1.56685
2003.09.03,1.56658,1.57622,1.56062,1.57053
2003.09.04,1.57041,1.58245,1.5666,1.58199
2003.09.05,1.582,1.59079,1.57759,1.58774
2003.09.08,1.5883,1.59009,1.58155,1.58248
2003.09.09,1.58246,1.59272,1.5782,1.59023
2003.09.10,1.59022,1.59447,1.58646,1.59157
2003.09.11,1.59139,1.59752,1.58945,1.59501
2003.09.12,1.59511,1.60665,1.59068,1.60218
2003.09.15,1.60282,1.60749,1.59965,1.60061
2003.09.16,1.60026,1.60548,1.58491,1.58714
2003.09.17,1.58696,1.60986,1.58582,1.60907
2003.09.18,1.609,1.62138,1.60617,1.61728
2003.09.19,1.61714,1.63741,1.61382,1.63651
2003.09.22,1.64634,1.65485,1.64115,1.64935
2003.09.23,1.64912,1.65856,1.64537,1.65082
2003.09.24,1.6506,1.65995,1.64698,1.65905
2003.09.25,1.65896,1.66276,1.6523,1.65869
2003.09.26,1.65869,1.66236,1.65578,1.6587
2003.09.29,1.6574,1.66725,1.64478,1.66666
2003.09.30,1.66662,1.67576,1.65848,1.66101
2003.10.01,1.66103,1.66944,1.65297,1.66842
2003.10.02,1.66812,1.67496,1.6635,1.6703
2003.10.03,1.6698,1.6735,1.65778,1.66327
2003.10.06,1.66222,1.67562,1.65783,1.66908
2003.10.07,1.66904,1.67764,1.66055,1.6623
2003.10.08,1.6622,1.66702,1.65851,1.66225
2003.10.09,1.66207,1.66927,1.65583,1.66598
2003.10.10,1.66561,1.67193,1.66011,1.66317
2003.10.13,1.664,1.66844,1.65341,1.66589
2003.10.14,1.66583,1.67637,1.65361,1.67141
2003.10.15,1.67131,1.6763,1.66356,1.66716
2003.10.16,1.66705,1.68135,1.66523,1.67257
2003.10.17,1.67238,1.67874,1.6675,1.67826
2003.10.20,1.6784,1.68118,1.66974,1.67073
2003.10.21,1.67028,1.67723,1.66826,1.67419
2003.10.22,1.67397,1.69422,1.67257,1.69091
2003.10.23,1.69085,1.6966,1.68893,1.69471
2003.10.24,1.6946,1.69931,1.69299,1.69447
2003.10.27,1.69485,1.69746,1.69049,1.69421
2003.10.28,1.69445,1.69962,1.68744,1.69637
2003.10.29,1.69626,1.70754,1.69521,1.69751
2003.10.30,1.69755,1.7069,1.69452,1.69503
2003.10.31,1.69516,1.69928,1.69039,1.69595
2003.11.03,1.69443,1.69755,1.67518,1.67548
2003.11.04,1.6754,1.68429,1.6671,1.67981
2003.11.05,1.6797,1.68712,1.66982,1.67403
2003.11.06,1.6739,1.67814,1.6642,1.66799
2003.11.07,1.66798,1.67638,1.65663,1.67607
2003.11.10,1.67365,1.67551,1.66963,1.67098
2003.11.11,1.6708,1.67101,1.663,1.66515
2003.11.12,1.6651,1.67829,1.66414,1.67337
2003.11.13,1.67375,1.68848,1.67296,1.68685
2003.11.14,1.68685,1.69082,1.68208,1.68774
2003.11.17,1.68757,1.69366,1.68593,1.69151
2003.11.18,1.69157,1.70538,1.68617,1.70418
2003.11.19,1.70336,1.70529,1.6948,1.69666
2003.11.20,1.69687,1.70772,1.69583,1.70418
2003.11.21,1.70445,1.70672,1.69921,1.70455
2003.11.24,1.70463,1.70579,1.69267,1.69642
2003.11.25,1.69651,1.70156,1.69349,1.69841
2003.11.26,1.69847,1.71266,1.69466,1.71187
2003.11.27,1.71185,1.71564,1.70871,1.71335
2003.11.28,1.7136,1.72386,1.71282,1.72148
2003.12.01,1.72013,1.72724,1.71763,1.72049
2003.12.02,1.71966,1.73069,1.71651,1.72945
2003.12.03,1.72928,1.73181,1.72429,1.72788
2003.12.04,1.72819,1.72843,1.71749,1.72157
2003.12.05,1.72151,1.73141,1.71912,1.72927
2003.12.08,1.72955,1.7359,1.72643,1.73285
2003.12.09,1.73278,1.74728,1.73252,1.74659
2003.12.10,1.7465,1.74751,1.73492,1.74251
2003.12.11,1.74263,1.74715,1.73721,1.74514
2003.12.12,1.74498,1.75075,1.74257,1.74545
2003.12.15,1.73586,1.74779,1.73524,1.7469
2003.12.16,1.74671,1.75588,1.74306,1.7547
2003.12.17,1.75465,1.76939,1.74947,1.76643
2003.12.18,1.76657,1.77402,1.76292,1.77368
2003.12.19,1.77343,1.77382,1.76131,1.76484
2003.12.22,1.76689,1.76689,1.75968,1.76263
2003.12.23,1.76244,1.76648,1.76208,1.76297
2003.12.24,1.76309,1.77591,1.76254,1.775
2003.12.25,1.77487,1.77571,1.77137,1.77285
2003.12.26,1.77182,1.77583,1.76933,1.77103
2003.12.29,1.77139,1.77682,1.76994,1.77307
2003.12.30,1.77326,1.78119,1.77212,1.7773
2003.12.31,1.77699,1.79392,1.7761,1.7855
2004.01.01,1.78547,1.7879,1.78096,1.78261
2004.01.02,1.78282,1.79467,1.77832,1.79294
2004.01.05,1.79155,1.81013,1.79143,1.80636
2004.01.06,1.80633,1.82746,1.80439,1.82125
2004.01.07,1.8213,1.82556,1.81189,1.81747
2004.01.08,1.81773,1.836,1.81032,1.83351
2004.01.09,1.8333,1.84938,1.82752,1.8474
2004.01.12,1.84698,1.85759,1.84467,1.84545
2004.01.13,1.8455,1.85339,1.8397,1.8473
2004.01.14,1.84703,1.84857,1.83092,1.83251
2004.01.15,1.83269,1.83451,1.81766,1.8222
2004.01.16,1.82234,1.82656,1.79288,1.79792
2004.01.19,1.79634,1.80176,1.78198,1.78285
2004.01.20,1.78295,1.8216,1.78211,1.82039
2004.01.21,1.8203,1.83682,1.81446,1.83208
2004.01.22,1.83219,1.84749,1.83087,1.84422
2004.01.23,1.84411,1.85194,1.8168,1.82569
2004.01.26,1.82277,1.83052,1.81029,1.81448
2004.01.27,1.81437,1.82877,1.80175,1.82747
2004.01.28,1.82751,1.83805,1.81675,1.81836
2004.01.29,1.81806,1.82661,1.80841,1.81599
2004.01.30,1.81588,1.8259,1.80571,1.82377
2004.02.02,1.82261,1.82685,1.81334,1.81922
2004.02.03,1.81919,1.84213,1.8189,1.83885
2004.02.04,1.83895,1.83988,1.8281,1.83137
2004.02.05,1.83128,1.84226,1.83004,1.83419
2004.02.06,1.8341,1.85143,1.83121,1.84714
2004.02.09,1.84311,1.86255,1.84025,1.86072
2004.02.10,1.86068,1.87307,1.85774,1.8675
2004.02.11,1.86766,1.89186,1.86451,1.89066
2004.02.12,1.89095,1.89509,1.8877,1.89234
2004.02.13,1.89231,1.8984,1.87836,1.885
2004.02.16,1.88374,1.8914,1.88105,1.88977
2004.02.17,1.88988,1.908,1.8865,1.90458
2004.02.18,1.90445,1.91378,1.88369,1.88866
2004.02.19,1.8889,1.89754,1.88621,1.8938
2004.02.20,1.89415,1.89956,1.85606,1.86118
2004.02.23,1.86013,1.87036,1.8455,1.86767
2004.02.24,1.86776,1.89364,1.86194,1.89106
