Date,Open,High,Low,Close
2011.09.19,8864.16,8864.16,8864.16,8864.16
2011.09.20,8864.16,8864.16,8704.23,8721.24
2011.09.21,8717,8771.62,8707.28,8741.16
2011.09.22,8643.02,8643.02,8545.46,8560.26
2011.09.23,8560.26,8560.26,8560.26,8560.26
2012.02.06,8939.99,8949.32,8916.94,8929.2
2012.02.07,8904.16,8928.44,8887.4,8917.52
2012.02.08,8971.88,9015.59,8957.04,9015.59
2012.02.09,9015.59,9018.49,8942.87,9002.24
2012.02.10,9010.53,9016.97,8947.17,8947.17
2012.02.13,8954.03,9023.5,8948.54,8999.18
2012.02.14,8999.18,9072.08,8972.74,9052.07
2012.02.15,9108.84,9314.33,9107.68,9260.34
2012.02.16,9232.38,9308.93,9214.23,9238.1
2012.02.17,9371.12,9435.03,9369.25,9384.17
2012.02.20,9534.03,9547.58,9462.67,9485.09
2012.02.21,9458.68,9517.04,9440.41,9463.02
2012.02.22,9463.02,9564.05,9442.96,9554
2012.02.23,9549.77,9609.84,9513.65,9595.57
2012.02.24,9594.85,9647.38,9576.21,9647.38
2012.02.27,9726.2,9736.11,9629.34,9633.93
2012.02.28,9567.12,9722.52,9528.77,9722.52
2012.02.29,9771.62,9866.41,9706.22,9723.24
2012.03.01,9771.34,9864.24,9666.02,9707.37
2012.03.02,9797.05,9800.66,9729.24,9777.03
2012.03.05,9756.98,9792.14,9678.12,9698.59
2012.03.06,9704.61,9732.28,9602.84,9637.63
2012.03.07,9637.63,9637.63,9509.1,9576.06
2012.03.08,9674.94,9768.96,9659.15,9768.96
2012.03.09,9911.07,10007.62,9854.65,9929.74
2012.03.12,10015.92,10019.06,9889.86,9889.86
2012.03.13,9921.25,10009.52,9890.7,9899.08
2012.03.15,10153.35,10153.95,10111.04,10123.28
2012.03.16,10110.57,10148.47,10090.09,10129.83
2012.03.19,10150.85,10172.64,10134.48,10141.99
2012.03.20,10141.99,10141.99,10141.99,10141.99
2012.03.21,10100.87,10132.02,10073.9,10086.49
2012.03.22,10086.49,10136.47,10052.5,10127.08
2012.03.23,10014.87,10031.96,9999.37,10011.47
2012.03.26,10040.1,10056.2,10016.05,10018.24
2012.03.27,10018.24,10255.15,10018.24,10255.15
2012.03.28,10153.51,10196.81,10124.28,10182.57
2012.03.29,10134.78,10146.53,10084.77,10114.79
2012.03.30,10089.1,10110.67,10033.19,10083.56
2012.04.02,10161.72,10188.97,10111.66,10111.66
2012.04.03,10082.21,10084.07,10041.78,10050.39
2012.04.04,10050.39,10059.19,9819.99,9819.99
2012.04.05,9737.5,9805.96,9693.43,9767.61
2012.04.06,9710.25,9739.13,9659.16,9688.45
2012.04.09,9565.31,9616.77,9536.59,9552.01
2012.04.10,9583.36,9647.36,9509.72,9538.02
2012.04.11,9538.02,9538.02,9389.18,9458.74
2012.04.12,9486.19,9541.04,9449.49,9524.79
2012.04.13,9613.19,9689.52,9607.43,9637.99
2012.04.16,9518.58,9526.28,9465.6,9472.36
2012.04.17,9476.15,9519.79,9455.36,9464.71
2012.04.18,9594.3,9682.88,9594.3,9667.26
2012.04.19,9667.26,9667.26,9565.83,9588.38
2012.04.20,9574.99,9580.87,9533.04,9561.36
2012.04.23,9599.2,9643.27,9522.48,9542.17
2012.04.24,9542.17,9542.17,9424.21,9468.04
2012.04.25,9578.42,9582.63,9530.02,9561.01
2012.04.26,9561.01,9627.63,9531.03,9561.83
2012.04.27,9564.4,9688.05,9487.53,9520.89
2012.04.30,9520.89,9520.89,9520.89,9520.89
2012.05.01,9471.66,9472.25,9332.79,9350.95
2012.05.02,9350.95,9417.96,9344.53,9380.76
2012.05.03,9380.25,9380.25,9380.25,9380.25
2012.05.04,9380.25,9380.25,9380.25,9380.25
2012.05.07,9198.17,9206.18,9109.01,9119.14
