Date,Open,High,Low,Close
2006.01.03,0.7923,0.7959,0.78366,0.7887
2006.01.04,0.7887,0.79394,0.78591,0.78946
2006.01.05,0.78917,0.79974,0.78395,0.79746
2006.01.06,0.79762,0.80646,0.79258,0.80541
2006.01.09,0.80492,0.81165,0.80185,0.80932
2006.01.10,0.80961,0.81264,0.80363,0.80799
2006.01.11,0.80736,0.81051,0.80389,0.808
2006.01.12,0.80807,0.81086,0.80292,0.80556
2006.01.13,0.80518,0.81146,0.80186,0.80977
2006.01.16,0.81017,0.81173,0.80458,0.80722
2006.01.17,0.80685,0.80685,0.79564,0.80224
2006.01.18,0.80224,0.80607,0.7959,0.80331
2006.01.19,0.80266,0.80519,0.78732,0.78963
2006.01.20,0.78995,0.7941,0.7787,0.78049
2006.01.23,0.78065,0.78932,0.78032,0.78543
2006.01.24,0.78571,0.78808,0.77615,0.78476
2006.01.25,0.78458,0.79102,0.78239,0.78752
2006.01.26,0.78743,0.7957,0.78346,0.78765
2006.01.27,0.78796,0.78809,0.77686,0.78324
2006.01.30,0.78356,0.78424,0.77539,0.78058
2006.01.31,0.78041,0.7851,0.77667,0.7796
2006.02.01,0.78052,0.7856,0.77569,0.77988
2006.02.02,0.78017,0.78988,0.77778,0.78875
2006.02.03,0.78848,0.79229,0.78314,0.78461
2006.02.06,0.78494,0.78634,0.7768,0.78023
2006.02.07,0.78016,0.78643,0.77753,0.78545
2006.02.08,0.78543,0.78629,0.77655,0.77885
2006.02.09,0.7793,0.7805,0.77275,0.77621
2006.02.10,0.7762,0.78486,0.77544,0.78178
2006.02.13,0.78161,0.78596,0.77943,0.78415
2006.02.14,0.78376,0.7844,0.77383,0.77678
2006.02.15,0.77689,0.78448,0.77636,0.77913
2006.02.16,0.77876,0.78117,0.77089,0.77328
2006.02.17,0.77353,0.77675,0.76348,0.76605
2006.02.20,0.76575,0.77058,0.76413,0.76845
2006.02.21,0.76874,0.76904,0.75484,0.75732
2006.02.22,0.75763,0.75964,0.75174,0.75618
2006.02.23,0.75569,0.76201,0.75244,0.76182
2006.02.24,0.76127,0.76659,0.75765,0.76017
2006.02.27,0.75926,0.75926,0.74953,0.75194
2006.02.28,0.75195,0.75435,0.74817,0.7529
2006.03.01,0.75303,0.7585,0.7496,0.75384
2006.03.02,0.75427,0.75696,0.75024,0.75278
2006.03.03,0.75304,0.75626,0.74911,0.75351
2006.03.06,0.75348,0.75673,0.74471,0.74711
2006.03.07,0.74689,0.74851,0.73736,0.74449
2006.03.08,0.74485,0.7543,0.74296,0.75241
2006.03.09,0.7525,0.75496,0.74641,0.74863
2006.03.10,0.74876,0.7499,0.74016,0.7421
2006.03.13,0.74246,0.74688,0.73957,0.74088
2006.03.14,0.74,0.74084,0.73054,0.73932
2006.03.15,0.73915,0.74577,0.73833,0.74433
2006.03.16,0.74439,0.74589,0.73112,0.73453
2006.03.17,0.73507,0.73857,0.7254,0.73369
2006.03.20,0.73424,0.73581,0.7225,0.72566
2006.03.21,0.72558,0.72841,0.71947,0.725
2006.03.22,0.72516,0.7315,0.71925,0.72989
2006.03.23,0.72969,0.7336,0.72396,0.72597
2006.03.24,0.72647,0.72789,0.71007,0.71427
2006.03.27,0.71327,0.71367,0.705,0.70715
2006.03.28,0.70739,0.71449,0.70376,0.70775
2006.03.29,0.70811,0.70896,0.69995,0.70773
2006.03.30,0.70806,0.71259,0.70487,0.70831
2006.03.31,0.70785,0.71955,0.70508,0.7192
2006.04.01,0.71894,0.72033,0.71767,0.71936
2006.04.03,0.71894,0.72239,0.7121,0.71276
2006.04.04,0.71228,0.71575,0.70124,0.70592
2006.04.05,0.70601,0.71488,0.7056,0.71429
2006.04.06,0.71461,0.71659,0.70316,0.70581
2006.04.07,0.70625,0.70983,0.6958,0.69971
2006.04.10,0.69933,0.7016,0.6922,0.69838
2006.04.11,0.69863,0.70223,0.69475,0.69778
2006.04.12,0.69768,0.70717,0.6957,0.70521
2006.04.13,0.70545,0.71832,0.70529,0.70958
2006.04.14,0.70987,0.71259,0.70623,0.7108
2006.04.17,0.71071,0.71499,0.70789,0.71382
2006.04.18,0.7136,0.71925,0.71242,0.71725
2006.04.19,0.7175,0.72378,0.71527,0.71894
2006.04.20,0.71895,0.72202,0.70894,0.71218
2006.04.21,0.71205,0.72167,0.71031,0.71901
2006.04.24,0.71923,0.72283,0.70902,0.7125
2006.04.25,0.71317,0.71632,0.70277,0.70542
2006.04.26,0.70553,0.71448,0.70478,0.71157
2006.04.27,0.71171,0.71284,0.70357,0.7113
2006.04.28,0.71112,0.71421,0.70622,0.71135
2006.05.01,0.71134,0.71528,0.70669,0.70935
2006.05.02,0.7093,0.70988,0.70343,0.70692
2006.05.03,0.70692,0.7128,0.70336,0.70986
2006.05.04,0.7099,0.71221,0.70458,0.70961
2006.05.05,0.70972,0.7124,0.70565,0.70812
2006.05.08,0.70827,0.71022,0.69908,0.70146
2006.05.09,0.70173,0.70436,0.68842,0.69065
2006.05.10,0.69059,0.6944,0.68385,0.68931
2006.05.11,0.68957,0.69768,0.68267,0.69496
2006.05.12,0.69536,0.69866,0.68686,0.69641
2006.05.15,0.69693,0.6977,0.68676,0.68929
2006.05.16,0.68885,0.69513,0.68669,0.69384
2006.05.17,0.69308,0.69594,0.68652,0.69229
2006.05.18,0.69243,0.70036,0.68983,0.69659
2006.05.19,0.69655,0.69865,0.69008,0.69315
2006.05.22,0.69332,0.69532,0.68795,0.6918
2006.05.23,0.69201,0.70664,0.68906,0.7065
2006.05.24,0.70609,0.712,0.69729,0.70822
2006.05.25,0.70839,0.71441,0.70376,0.70886
2006.05.26,0.70859,0.70932,0.6984,0.70034
2006.05.29,0.69984,0.70264,0.69687,0.70102
2006.05.30,0.70091,0.70527,0.69838,0.70278
2006.05.31,0.70297,0.70632,0.69453,0.69839
2006.06.01,0.6982,0.69917,0.69197,0.69473
2006.06.02,0.69492,0.698,0.68624,0.69327
2006.06.05,0.69357,0.70131,0.69023,0.70097
2006.06.06,0.70087,0.70273,0.69338,0.69673
2006.06.07,0.69732,0.70043,0.69165,0.69556
2006.06.08,0.69501,0.70377,0.69341,0.7009
2006.06.09,0.70084,0.70782,0.69629,0.69855
2006.06.12,0.69871,0.70007,0.68925,0.69301
2006.06.13,0.69326,0.69362,0.68251,0.69003
2006.06.14,0.69027,0.69623,0.68662,0.69186
2006.06.15,0.69204,0.69479,0.6893,0.6913
2006.06.16,0.69086,0.69513,0.6888,0.69245
2006.06.19,0.69211,0.69345,0.68716,0.68994
2006.06.20,0.68971,0.69798,0.68722,0.69286
2006.06.21,0.69284,0.69424,0.67977,0.68794
2006.06.22,0.68778,0.68809,0.67671,0.68147
2006.06.23,0.68071,0.68435,0.67548,0.68108
2006.06.26,0.68022,0.68275,0.67294,0.67868
2006.06.27,0.67925,0.68129,0.67411,0.67919
2006.06.28,0.67889,0.67963,0.66503,0.66966
2006.06.29,0.66964,0.66986,0.66076,0.66731
2006.06.30,0.66764,0.67947,0.66747,0.67809
