Date,Open,High,Low,Close
2006.01.03,0.89524,0.8964,0.87898,0.88027
2006.01.04,0.88061,0.88449,0.87629,0.87844
2006.01.05,0.87838,0.88129,0.87293,0.87565
2006.01.06,0.87596,0.87826,0.87205,0.87784
2006.01.09,0.87769,0.88569,0.87589,0.88432
2006.01.10,0.88453,0.88852,0.8826,0.88751
2006.01.11,0.88738,0.89083,0.88613,0.88929
2006.01.12,0.88922,0.89492,0.88657,0.89052
2006.01.13,0.89069,0.8941,0.88893,0.89146
2006.01.16,0.89141,0.89383,0.8892,0.89173
2006.01.17,0.89123,0.89123,0.88149,0.88261
2006.01.18,0.88261,0.88386,0.87457,0.87798
2006.01.19,0.87785,0.88031,0.86813,0.87186
2006.01.20,0.87196,0.87727,0.86376,0.86475
2006.01.23,0.86305,0.867,0.85744,0.85936
2006.01.24,0.85952,0.8613,0.85139,0.85944
2006.01.25,0.85958,0.86643,0.85864,0.86631
2006.01.26,0.86631,0.87167,0.86479,0.86927
2006.01.27,0.86938,0.87622,0.85813,0.8757
2006.01.30,0.86503,0.87881,0.86503,0.87712
2006.01.31,0.87716,0.87995,0.87295,0.87499
2006.02.01,0.87603,0.88374,0.87603,0.8811
2006.02.02,0.8816,0.88824,0.87996,0.88628
2006.02.03,0.88609,0.89091,0.88463,0.88813
2006.02.06,0.88805,0.8892,0.88103,0.88556
2006.02.07,0.88563,0.8892,0.88281,0.88385
2006.02.08,0.88369,0.88375,0.87462,0.88087
2006.02.09,0.88095,0.88246,0.87484,0.88069
2006.02.10,0.88064,0.88772,0.88026,0.88672
2006.02.13,0.88487,0.88979,0.8791,0.88789
2006.02.14,0.8879,0.8879,0.87854,0.88124
2006.02.15,0.88123,0.88752,0.88098,0.88277
2006.02.16,0.88274,0.88446,0.87464,0.87557
2006.02.17,0.87556,0.87963,0.87042,0.87274
2006.02.20,0.87261,0.87618,0.87223,0.87579
2006.02.21,0.87579,0.87705,0.86333,0.86463
2006.02.22,0.86453,0.86574,0.85911,0.86336
2006.02.23,0.86326,0.86571,0.8608,0.86489
2006.02.24,0.86501,0.87296,0.86397,0.87213
2006.02.27,0.87069,0.87334,0.86564,0.87237
2006.02.28,0.87247,0.87349,0.86588,0.86876
2006.03.01,0.86879,0.87414,0.86538,0.87238
2006.03.02,0.87252,0.87423,0.86304,0.86405
2006.03.03,0.86416,0.86817,0.86072,0.86145
2006.03.06,0.86154,0.86246,0.8513,0.85183
2006.03.07,0.85209,0.85394,0.84702,0.85087
2006.03.08,0.8509,0.85429,0.84715,0.85121
2006.03.09,0.85135,0.85359,0.84713,0.84835
2006.03.10,0.84848,0.84949,0.84185,0.843
2006.03.13,0.8437,0.84648,0.83926,0.84022
2006.03.14,0.83958,0.83958,0.82868,0.83253
2006.03.15,0.83251,0.84046,0.83209,0.83556
2006.03.16,0.83549,0.8373,0.82086,0.82266
2006.03.17,0.82272,0.82566,0.81274,0.81723
2006.03.20,0.81744,0.8197,0.80387,0.80767
2006.03.21,0.80782,0.8125,0.80291,0.81032
2006.03.22,0.81029,0.81846,0.80439,0.81671
2006.03.23,0.81683,0.82323,0.81417,0.82101
2006.03.24,0.82153,0.82285,0.79992,0.80192
2006.03.27,0.80171,0.80171,0.79111,0.79265
2006.03.28,0.7926,0.80121,0.78389,0.79221
2006.03.29,0.7922,0.79301,0.78372,0.79117
2006.03.30,0.7911,0.79624,0.79004,0.79184
2006.03.31,0.7917,0.80364,0.79034,0.80258
2006.04.01,0.80257,0.80365,0.80197,0.80316
2006.04.03,0.80294,0.80794,0.79409,0.7944
2006.04.04,0.79361,0.79474,0.78161,0.78332
2006.04.05,0.78327,0.79007,0.78287,0.78946
2006.04.06,0.7894,0.79416,0.78499,0.79041
2006.04.07,0.79051,0.79593,0.78786,0.7922
2006.04.10,0.79217,0.79454,0.78842,0.79254
2006.04.11,0.79249,0.79556,0.78993,0.79322
2006.04.12,0.79312,0.80025,0.79246,0.79894
2006.04.13,0.79884,0.81158,0.79799,0.80083
2006.04.14,0.8009,0.80359,0.79921,0.80166
2006.04.17,0.80151,0.80321,0.79418,0.79799
2006.04.18,0.79764,0.80227,0.79629,0.79874
2006.04.19,0.79831,0.80732,0.79699,0.80262
2006.04.20,0.8026,0.80674,0.79857,0.79924
2006.04.21,0.79917,0.81087,0.79797,0.80694
2006.04.24,0.80671,0.80896,0.79331,0.79473
2006.04.25,0.7947,0.79902,0.78993,0.79092
2006.04.26,0.79101,0.80294,0.79101,0.802
2006.04.27,0.802,0.80254,0.79563,0.79802
2006.04.28,0.79792,0.79895,0.78712,0.78912
2006.05.01,0.78904,0.79286,0.78686,0.79096
2006.05.02,0.79092,0.79197,0.78523,0.79098
2006.05.03,0.79095,0.79659,0.7885,0.79229
2006.05.04,0.79224,0.79355,0.78564,0.78814
2006.05.05,0.78804,0.78921,0.78299,0.7861
2006.05.08,0.78589,0.78732,0.77384,0.77501
2006.05.09,0.77522,0.77845,0.76643,0.76692
2006.05.10,0.76691,0.77086,0.75908,0.76357
2006.05.11,0.76345,0.77411,0.758,0.76499
2006.05.12,0.76495,0.76668,0.74931,0.75204
2006.05.15,0.75183,0.7542,0.74298,0.75089
2006.05.16,0.75084,0.7573,0.74957,0.75674
2006.05.17,0.75667,0.75788,0.75225,0.75521
2006.05.18,0.75524,0.75855,0.74909,0.74982
2006.05.19,0.74966,0.75756,0.74798,0.75443
2006.05.22,0.7544,0.75521,0.74361,0.74728
2006.05.23,0.74741,0.75935,0.74685,0.75935
2006.05.24,0.75952,0.77179,0.7522,0.77036
2006.05.25,0.77028,0.78149,0.76943,0.77946
2006.05.26,0.77926,0.77997,0.77262,0.77573
2006.05.29,0.77575,0.77846,0.7729,0.7763
2006.05.30,0.77626,0.77788,0.77121,0.77522
2006.05.31,0.77483,0.77804,0.77007,0.77328
2006.06.01,0.77311,0.77432,0.76817,0.76969
2006.06.02,0.76959,0.77217,0.75831,0.76099
2006.06.05,0.76097,0.76464,0.75835,0.76448
2006.06.06,0.76442,0.76626,0.75866,0.7615
2006.06.07,0.76188,0.7654,0.76054,0.76394
2006.06.08,0.76385,0.77368,0.76202,0.76922
2006.06.09,0.76923,0.78098,0.76919,0.77798
2006.06.12,0.77811,0.7806,0.77584,0.77829
2006.06.13,0.77835,0.77877,0.76425,0.76887
2006.06.14,0.76889,0.77229,0.76427,0.76517
2006.06.15,0.76525,0.76795,0.76184,0.76591
2006.06.16,0.76583,0.76798,0.75804,0.75996
2006.06.19,0.75981,0.76678,0.75721,0.76445
2006.06.20,0.76441,0.77175,0.76319,0.76803
2006.06.21,0.76794,0.76974,0.76089,0.76611
2006.06.22,0.76595,0.76595,0.75502,0.75802
2006.06.23,0.7579,0.7603,0.75335,0.75814
2006.06.26,0.75814,0.75952,0.74966,0.75144
2006.06.27,0.75143,0.75493,0.74556,0.75219
2006.06.28,0.7519,0.75209,0.73717,0.74268
2006.06.29,0.74282,0.74544,0.73996,0.74345
2006.06.30,0.74376,0.75463,0.74294,0.74337
2006.07.03,0.74337,0.74862,0.73962,0.74082
2006.07.04,0.74082,0.74862,0.74082,0.74645
2006.07.05,0.74646,0.74862,0.74346,0.74481
