Date,Open,High,Low,Close
2006.01.03,80.145,80.313,79.154,79.278
2006.01.04,79.275,80.042,79.194,79.907
2006.01.05,79.892,80.166,79.254,79.576
2006.01.06,79.59,79.725,78.802,79.133
2006.01.09,79.167,79.416,78.594,79.375
2006.01.10,79.384,79.541,78.873,79.227
2006.01.11,79.277,79.68,79.242,79.603
2006.01.12,79.601,79.704,79.052,79.269
2006.01.13,79.268,79.851,79.224,79.737
2006.01.16,79.731,80.307,79.529,80.156
2006.01.17,80.128,80.14,79.441,79.611
2006.01.18,79.603,79.805,78.882,79.085
2006.01.19,79.059,79.236,77.773,78.374
2006.01.20,78.377,78.858,78.052,78.146
2006.01.23,78.117,78.617,77.695,78.244
2006.01.24,78.252,78.336,77.45,78.184
2006.01.25,78.194,79.391,78.187,79.332
2006.01.26,79.333,79.808,79.19,79.727
2006.01.27,79.752,80.079,78.579,79.97
2006.01.30,79.913,80.293,79.603,80.163
2006.01.31,80.143,80.494,79.704,80.25
2006.02.01,80.291,80.999,80.291,80.679
2006.02.02,80.709,81.736,80.694,81.736
2006.02.03,81.733,81.949,81.45,81.594
2006.02.06,81.558,81.708,80.831,81.02
2006.02.07,81.011,81.245,80.167,80.329
2006.02.08,80.323,80.483,79.622,80.377
2006.02.09,80.377,80.593,79.874,80.549
2006.02.10,80.552,80.92,79.624,79.962
2006.02.13,79.952,80.34,79.595,79.925
2006.02.14,79.937,79.954,78.736,79.113
2006.02.15,79.098,79.747,79.052,79.437
2006.02.16,79.422,79.596,78.49,78.611
2006.02.17,78.612,79.174,78.34,78.651
2006.02.20,78.664,79.21,78.664,79.205
2006.02.21,79.19,79.325,78.361,78.458
2006.02.22,78.444,78.639,77.808,78.069
2006.02.23,78.076,78.076,77.123,77.393
2006.02.24,77.39,77.592,76.999,77.39
2006.02.27,77.302,77.302,76.166,76.6
2006.02.28,76.605,76.897,76.434,76.68
2006.03.01,76.669,77.286,76.522,77.14
2006.03.02,77.139,77.558,76.997,77.135
2006.03.03,77.158,77.686,77.075,77.338
2006.03.06,77.296,77.912,77.035,77.143
2006.03.07,77.147,77.245,76.217,76.36
2006.03.08,76.336,76.772,76.123,76.713
2006.03.09,76.711,76.715,76.167,76.339
2006.03.10,76.304,76.516,75.864,76.143
2006.03.13,75.943,76.521,75.943,76.049
2006.03.14,76.051,76.054,74.848,75.152
