Date,Open,High,Low,Close
2003.08.04,0.58389,0.58609,0.57582,0.57789
2003.08.05,0.57781,0.58148,0.57716,0.58077
2003.08.06,0.581,0.58659,0.57796,0.57835
2003.08.07,0.5784,0.58458,0.57204,0.57986
2003.08.08,0.57997,0.58428,0.57887,0.5806
2003.08.11,0.58018,0.58918,0.57987,0.58723
2003.08.12,0.5873,0.58968,0.58505,0.58588
2003.08.13,0.58619,0.58891,0.58299,0.5881
2003.08.14,0.58831,0.58966,0.58493,0.58598
2003.08.15,0.58625,0.59069,0.58542,0.58975
2003.08.18,0.58961,0.5912,0.58393,0.58542
2003.08.19,0.58576,0.58665,0.58176,0.58368
2003.08.20,0.58355,0.59084,0.58288,0.58859
2003.08.21,0.58853,0.58943,0.58273,0.58493
2003.08.22,0.58477,0.58586,0.58022,0.58451
2003.08.25,0.58458,0.58554,0.58076,0.58083
2003.08.26,0.58106,0.58129,0.57292,0.57356
2003.08.27,0.57375,0.5767,0.56853,0.56853
2003.08.28,0.56884,0.57424,0.56298,0.57256
2003.08.29,0.57248,0.57845,0.56972,0.57788
2003.09.01,0.57685,0.58032,0.57413,0.57703
2003.09.02,0.57678,0.57765,0.56328,0.56458
2003.09.03,0.56465,0.56923,0.5639,0.56891
2003.09.04,0.56894,0.57103,0.56508,0.5706
2003.09.05,0.57039,0.57717,0.5688,0.57635
2003.09.08,0.57599,0.57865,0.57446,0.57625
2003.09.09,0.57585,0.58644,0.57463,0.5843
2003.09.10,0.58434,0.58479,0.58002,0.5814
2003.09.11,0.58146,0.58576,0.57981,0.5827
2003.09.12,0.58273,0.58445,0.57822,0.58285
2003.09.15,0.58293,0.58751,0.58186,0.58641
2003.09.16,0.58645,0.58932,0.58273,0.58395
2003.09.17,0.58402,0.58626,0.57838,0.58335
2003.09.18,0.58343,0.58653,0.58184,0.58408
2003.09.19,0.58385,0.59267,0.58365,0.5916
2003.09.22,0.59214,0.60051,0.59214,0.59477
2003.09.23,0.59504,0.59893,0.59169,0.59293
2003.09.24,0.59309,0.5959,0.5905,0.5945
2003.09.25,0.5945,0.59909,0.59271,0.59413
2003.09.26,0.59415,0.59566,0.58677,0.58786
2003.09.29,0.58897,0.59445,0.585,0.59396
2003.09.30,0.59394,0.59737,0.59158,0.59476
2003.10.01,0.5941,0.60092,0.5936,0.5995
2003.10.02,0.5995,0.60142,0.59586,0.59785
2003.10.03,0.59795,0.59979,0.59011,0.59153
2003.10.06,0.59147,0.59597,0.59105,0.59403
2003.10.07,0.59439,0.59914,0.59364,0.59785
2003.10.08,0.5979,0.59897,0.5962,0.59783
2003.10.09,0.59799,0.60396,0.59557,0.59925
2003.10.10,0.59912,0.60168,0.59666,0.59929
2003.10.13,0.59957,0.60116,0.59372,0.5966
2003.10.14,0.59664,0.59774,0.59181,0.59629
2003.10.15,0.59637,0.59799,0.59106,0.59422
2003.10.16,0.59417,0.59703,0.59259,0.59367
2003.10.17,0.5939,0.5983,0.59174,0.59651
2003.10.20,0.59678,0.59792,0.59177,0.595
2003.10.21,0.59503,0.60425,0.59405,0.60293
2003.10.22,0.60312,0.60725,0.59987,0.60552
2003.10.23,0.60552,0.61163,0.60532,0.60867
2003.10.24,0.60858,0.6109,0.60674,0.60815
2003.10.27,0.60682,0.61201,0.60595,0.61105
2003.10.28,0.61127,0.61341,0.60879,0.61272
2003.10.29,0.61272,0.6152,0.61081,0.61142
2003.10.30,0.61139,0.61638,0.60324,0.60975
2003.10.31,0.60996,0.61577,0.60848,0.61348
2003.11.03,0.6119,0.61505,0.60532,0.60549
2003.11.04,0.6056,0.61327,0.6049,0.61252
2003.11.05,0.61261,0.61888,0.61203,0.61534
2003.11.06,0.61565,0.61898,0.6116,0.61308
2003.11.07,0.61248,0.61763,0.61116,0.61605
2003.11.10,0.61608,0.6226,0.61577,0.62187
2003.11.11,0.62205,0.6264,0.61983,0.62558
2003.11.12,0.62578,0.62744,0.62335,0.62533
2003.11.13,0.62565,0.6313,0.62487,0.63029
