Date,Open,High,Low,Close
2011.09.19,1216.01,1216.01,1188.56,1204.09
2011.09.20,1204.09,1220.37,1201.57,1202.09
2011.09.21,1202.09,1206.03,1166.56,1166.76
2011.09.22,1152.94,1152.94,1118.03,1126.37
2011.09.23,1129.56,1129.56,1129.56,1129.56
2012.01.16,1290.9,1296.9,1285.9,1295.4
2012.01.17,1294.6,1295.6,1293.1,1295.6
2012.01.18,1296.4,1308.9,1291.1,1307.5
2012.01.19,1307.4,1315.49,1306.9,1314.5
2012.01.20,1314.1,1316.4,1309.6,1315.1
2012.01.23,1315.38,1322,1309.89,1316
2012.01.24,1316,1316,1306.16,1314.65
2012.01.25,1314.65,1328.3,1307.81,1326.06
2012.01.26,1326.06,1333.47,1313.67,1318.45
2012.01.27,1318.43,1320.06,1311.72,1319.27
2012.01.30,1316.33,1316.33,1300.54,1313.01
2012.01.31,1313.01,1321.34,1306.69,1312.41
2012.02.01,1312.41,1330.52,1312.41,1324.08
2012.02.02,1324.09,1329.19,1321.57,1325.54
2012.02.03,1325.54,1345.34,1325.54,1344.9
2012.02.06,1344.9,1344.9,1337.52,1344.33
2012.02.07,1344.33,1349.24,1335.92,1347.05
2012.02.08,1347.05,1351,1342.12,1349.96
2012.02.09,1349.96,1354.2,1344.63,1351.95
2012.02.10,1351.95,1351.95,1337.35,1342.64
2012.02.13,1342.64,1353.35,1342.64,1351.77
2012.02.14,1351.77,1351.77,1340.83,1350.5
2012.02.15,1350.5,1355.87,1340.85,1343.23
2012.02.16,1343.23,1359.02,1341.22,1358.04
2012.02.17,1358.04,1363.4,1357.24,1361.23
2012.02.20,1371.4,1371.4,1364.9,1369.4
2012.02.21,1368.9,1369.1,1358.11,1362.21
2012.02.22,1362.21,1362.7,1355.53,1357.66
2012.02.23,1357.66,1364.24,1352.28,1363.46
2012.02.24,1363.46,1368.92,1363.46,1365.74
2012.02.27,1365.74,1371.94,1354.99,1367.59
2012.02.28,1367.59,1373.09,1365.97,1372.18
2012.02.29,1372.18,1378.04,1364.51,1365.68
2012.03.01,1365.68,1376.17,1365.68,1374.09
2012.03.02,1374.09,1374.53,1366.42,1369.63
2012.03.05,1369.63,1369.63,1359.13,1364.33
2012.03.06,1364.33,1364.33,1340.05,1343.36
2012.03.07,1343.36,1354.85,1343.36,1352.63
2012.03.08,1352.63,1368.72,1352.63,1365.91
2012.03.09,1365.91,1374.76,1365.91,1370.87
2012.03.12,1370.87,1372.95,1366.69,1371.09
2012.03.13,1371.09,1396.13,1371.09,1395.95
2012.03.15,1394.28,1402.63,1392.78,1402.6
2012.03.16,1402.55,1405.88,1401.47,1404.17
2012.03.19,1404.17,1414,1402.43,1409.75
2012.03.20,1409.75,1409.75,1397.68,1405.52
2012.03.21,1405.52,1407.75,1400.64,1402.89
2012.03.22,1402.89,1402.89,1388.77,1392.78
2012.03.23,1392.78,1399.18,1386.87,1397.11
2012.03.26,1397.11,1416.58,1397.11,1416.51
2012.03.27,1416.51,1419.15,1411.95,1412.52
2012.03.28,1412.52,1413.65,1397.2,1405.54
2012.03.29,1405.54,1405.54,1391.56,1403.28
2012.03.30,1403.28,1410.89,1401.42,1408.47
2012.04.02,1408.47,1422.38,1404.46,1419.04
2012.04.03,1419.04,1419.04,1404.7,1413.38
2012.04.04,1413.38,1413.38,1394.09,1398.96
2012.04.05,1398.96,1401.6,1392.92,1398.08
2012.04.06,1396.6,1398.9,1395.6,1396.9
2012.04.09,1397.45,1397.45,1378.24,1382.2
2012.04.10,1382.2,1383.01,1357.38,1358.59
2012.04.11,1358.59,1374.71,1358.59,1368.71
2012.04.12,1368.71,1388.13,1368.71,1387.57
2012.04.13,1387.57,1387.57,1369.85,1370.26
2012.04.16,1370.26,1379.66,1365.48,1369.57
2012.04.17,1369.57,1392.76,1369.57,1390.78
2012.04.18,1390.78,1390.78,1383.29,1385.14
2012.04.19,1385.14,1390.46,1370.3,1376.92
2012.04.20,1376.92,1387.4,1376.92,1378.53
2012.04.23,1377.1,1378.9,1358.79,1366.94
2012.04.24,1366.94,1375.57,1366.94,1371.97
2012.04.25,1371.97,1391.37,1371.97,1390.69
2012.04.26,1390.69,1402.09,1387.28,1399.98
2012.04.27,1399.98,1406.64,1397.32,1403.36
2012.04.30,1403.36,1403.36,1394,1397.91
2012.05.01,1397.91,1415.32,1395.81,1405.82
2012.05.02,1405.82,1405.82,1393.92,1402.31
2012.05.03,1402.31,1403.07,1388.71,1391.57
2012.05.04,1391.57,1391.57,1367.96,1369.1
2012.05.07,1369.1,1373.91,1363.94,1369.58
2012.05.08,1369.58,1369.58,1347.8,1363.72
2012.05.09,1363.72,1363.72,1343.13,1354.58
2012.05.10,1354.58,1365.83,1354.58,1357.99
2012.05.11,1357.99,1365.59,1348.89,1353.39
2012.05.14,1353.39,1353.39,1336.61,1338.35
2012.05.15,1338.35,1344.94,1328.41,1330.66
2012.05.16,1330.66,1341.78,1324.79,1324.8
2012.05.17,1324.8,1326.36,1304.86,1304.86
2012.05.18,1304.86,1312.24,1291.98,1295.22
2012.05.21,1295.22,1316.39,1295.22,1315.99
2012.05.22,1315.99,1328.49,1310.04,1316.63
2012.05.23,1316.63,1319.76,1296.53,1318.86
2012.05.24,1318.86,1324.14,1310.63,1320.68
2012.05.25,1320.68,1324.1,1314.23,1317.82
2012.05.28,1325.4,1330.1,1321.6,1323.1
2012.05.29,1322.8,1334.91,1318.9,1332.42
2012.05.30,1332.42,1332.42,1310.9,1313.32
2012.05.31,1313.32,1319.56,1298.9,1310.33
2012.06.01,1310.33,1310.33,1277.31,1278.04
2012.06.04,1278.04,1282.55,1266.74,1278.18
2012.06.05,1278.18,1287.62,1274.16,1285.5
2012.06.06,1285.5,1316.9,1285.5,1315.9
2012.06.07,1315.8,1329.05,1312.68,1314.99
2012.06.08,1314.99,1325.81,1307.78,1325.66
2012.06.11,1325.66,1334.52,1307.73,1308.93
2012.06.12,1308.93,1324.3,1306.66,1324.18
2012.06.13,1324.18,1327.27,1310.62,1314.88
2012.06.14,1314.88,1331.95,1314.52,1329.1
2012.06.15,1329.1,1343.32,1329.1,1342.84
2012.06.18,1342.84,1348.19,1334.74,1344.78
2012.06.19,1344.78,1363.45,1344.78,1357.98
2012.06.20,1357.98,1361.57,1346.65,1355.69
2012.06.21,1355.69,1358.27,1324.41,1325.51
2012.06.22,1325.51,1337.82,1325.51,1335.02
2012.06.25,1335.02,1335.02,1309.29,1313.72
2012.06.26,1313.72,1324.24,1310.3,1319.99
2012.06.27,1319.99,1334.4,1319.99,1331.85
2012.06.28,1331.85,1331.85,1313.29,1329.04
2012.06.29,1329.04,1362.16,1329.04,1362.16
2012.07.02,1362.16,1366.35,1355.7,1365.51
2012.07.03,1365.51,1374.81,1363.95,1374.02
2012.07.04,1374.02,1375.6,1369.6,1373.9
2012.07.05,1371.9,1373.85,1363.02,1367.58
2012.07.06,1350.14,1356.19,1348.05,1354.68
2012.07.09,1354.68,1354.87,1346.66,1352.46
2012.07.10,1352.46,1361.54,1336.3,1341.47
2012.07.11,1341.47,1345,1333.25,1341.45
2012.07.12,1341.45,1341.45,1325.41,1334.76
2012.07.13,1334.76,1357.59,1334.76,1356.78
2012.07.16,1356.78,1357.22,1348.66,1353.64
2012.07.17,1353.64,1365.36,1345.07,1363.67
2012.07.18,1363.67,1375.26,1358.96,1372.78
2012.07.19,1372.78,1380.39,1371.21,1376.51
2012.07.20,1376.51,1376.51,1362.2,1362.66
2012.07.23,1362.66,1362.66,1337.56,1350.52
2012.07.24,1350.52,1351.49,1329.24,1338.31
2012.07.25,1338.31,1343.93,1331.5,1337.89
2012.07.26,1337.89,1363.13,1337.89,1360.02
2012.07.27,1360.02,1389.19,1360.02,1385.97
2012.07.30,1385.97,1391.74,1381.39,1385.3
2012.07.31,1385.3,1387.16,1379.24,1379.32
2012.08.01,1379.32,1385.03,1373.65,1375.32
2012.08.02,1375.32,1375.32,1354.9,1365
2012.08.03,1365,1394.16,1365,1390.99
2012.08.06,1390.99,1399.63,1390.99,1394.23
2012.08.07,1394.23,1407.13,1394.23,1401.35
2012.08.08,1401.35,1404.14,1396.13,1402.22
2012.08.09,1402.22,1405.95,1398.8,1402.8
2012.08.10,1402.8,1405.98,1395.68,1405.87
2012.08.13,1405.87,1405.87,1397.32,1404.11
2012.08.14,1404.11,1409.53,1400.76,1403.93
2012.08.15,1403.93,1407.73,1401.83,1405.53
2012.08.16,1405.53,1417.43,1404.15,1415.51
2012.08.17,1415.51,1418.71,1414.67,1418.16
2012.08.20,1416.6,1419.6,1411.4,1416.9
2012.08.21,1417.1,1426.64,1410.86,1413.17
2012.08.22,1413.17,1416.12,1406.78,1413.49
2012.08.23,1413.49,1413.49,1400.5,1402.08
2012.08.24,1402.08,1413.46,1398.11,1411.13
2012.08.27,1411.13,1416.17,1409.11,1410.44
2012.08.28,1410.44,1413.4,1405.6,1409.3
2012.08.29,1409.3,1413.95,1406.57,1410.49
2012.08.30,1410.49,1410.49,1397.01,1399.48
2012.08.31,1399.48,1413.05,1399.08,1406.58
2012.09.03,1402.6,1410.9,1398.4,1410.6
2012.09.04,1409.6,1409.6,1396.59,1404.94
2012.09.05,1404.94,1408.8,1401.31,1403.44
2012.09.06,1403.44,1433.1,1403.44,1433.1
2012.09.07,1433.4,1439.1,1431.4,1438.9
2012.09.10,1437.92,1438.72,1429.04,1429.08
2012.09.11,1429.08,1437.76,1429.08,1433.56
2012.09.12,1433.56,1439.15,1432.99,1436.56
2012.09.13,1436.56,1463.76,1435.36,1459.99
2012.09.14,1459.99,1474.43,1459.99,1465.77
2012.09.17,1465.77,1465.77,1457.55,1461.19
2012.09.18,1461.19,1461.42,1456.14,1459.32
2012.09.19,1459.5,1465.13,1458.01,1461.05
2012.09.20,1457.62,1461.22,1450,1460.26
2012.09.21,1462.82,1467.02,1459.51,1460.15
2012.09.24,1459.76,1460.72,1452.06,1456.89
2012.09.25,1458.57,1463.24,1441.59,1441.59
2012.09.26,1441.59,1441.6,1430.86,1433.32
2012.09.27,1435.88,1450.2,1435.88,1447.15
2012.09.28,1447.15,1447.15,1435.6,1440.67
2012.10.01,1440.9,1457.14,1440.9,1444.49
2012.10.02,1447.1,1451.48,1439.06,1445.75
2012.10.03,1445.75,1454.3,1442.47,1450.99
2012.10.04,1451.08,1463.14,1451.08,1461.4
2012.10.05,1461.4,1470.9,1456.91,1460.93
2012.10.08,1458.15,1458.31,1453.1,1455.88
2012.10.09,1455.9,1455.9,1441.18,1441.48
2012.10.10,1441.48,1442.46,1430.64,1432.56
2012.10.11,1432.56,1443.9,1432.56,1432.84
2012.10.12,1432.84,1438.42,1425.8,1428.59
2012.10.15,1428.75,1441.31,1427.26,1440.13
2012.10.16,1443.95,1455.51,1443.95,1454.92
2012.10.17,1454.22,1462.15,1453.4,1460.91
2012.10.18,1460.94,1464.02,1452.63,1457.34
2012.10.19,1455.59,1455.59,1430.05,1433.19
2012.10.22,1433.21,1435.46,1422.06,1433.81
2012.10.23,1433.82,1433.82,1407.68,1413.11
2012.10.24,1413.11,1420.04,1407.1,1408.75
2012.10.25,1412.15,1421.12,1405.14,1412.97
2012.10.26,1413.09,1417.09,1403.3,1411.94
2012.10.29,1408.1,1410.9,1401.9,1406.1
2012.10.30,1402.6,1416.6,1397.9,1415.5
2012.10.31,1415.4,1418.76,1405.99,1412.16
2012.11.01,1414.83,1428.35,1414.39,1427.59
2012.11.02,1427.59,1433.88,1412.91,1414.2
2012.11.05,1414.2,1419.9,1408.3,1417.26
2012.11.06,1419.28,1433.29,1419.28,1428.39
2012.11.07,1428.39,1428.39,1388.57,1394.53
2012.11.08,1394.53,1401.23,1377.51,1377.51
2012.11.09,1376.42,1391.39,1373.03,1379.85
2012.11.12,1379.86,1384.87,1377.19,1380
2012.11.13,1380.03,1388.79,1371.42,1374.53
2012.11.14,1377.22,1380.06,1352.5,1355.49
2012.11.15,1355.35,1360.56,1348.05,1353.33
2012.11.16,1354.06,1362.03,1343.56,1359.88
2012.11.19,1366.4,1386.4,1363.6,1386.1
2012.11.20,1386.4,1389.73,1377.04,1387.81
2012.11.21,1387.81,1391.22,1386.7,1391.03
2012.11.22,1392.6,1395.4,1391.9,1393.4
2012.11.23,1393.3,1409.16,1391.03,1409.15
2012.11.26,1409.15,1409.15,1397.71,1406.29
2012.11.27,1406.29,1409.01,1398.04,1398.94
2012.11.28,1398.94,1410.31,1385.55,1409.93
2012.11.29,1409.93,1419.7,1409.04,1415.95
2012.11.30,1415.95,1418.86,1411.63,1416.18
2012.12.03,1416.34,1423.71,1408.46,1409.46
2012.12.04,1409.46,1413.14,1403.65,1407.05
2012.12.05,1407.05,1415.56,1398.23,1409.28
2012.12.06,1409.28,1413.94,1405.93,1413.94
2012.12.07,1413.95,1420.34,1410.9,1418.07
2012.12.10,1418.07,1421.64,1415.65,1418.55
2012.12.11,1418.55,1434.27,1418.55,1427.84
2012.12.12,1427.84,1438.59,1426.76,1428.48
2012.12.13,1428.48,1431.36,1416,1419.45
2012.12.14,1419.45,1419.45,1411.88,1413.58
2012.12.17,1414.9,1430.67,1414.9,1430.36
2012.12.18,1430.36,1448,1430.36,1446.79
2012.12.19,1446.79,1447.75,1435.8,1435.81
2012.12.20,1435.81,1443.7,1432.82,1443.69
2012.12.21,1436.92,1436.92,1422.58,1430.15
2012.12.24,1430.15,1430.15,1424.66,1426.66
2012.12.25,1426.66,1426.66,1426.66,1426.66
2012.12.26,1426.66,1429.42,1416.43,1419.83
2012.12.27,1419.83,1422.8,1401.8,1418.1
2012.12.28,1412.61,1415.83,1401.72,1402.43
2012.12.31,1402.43,1426.74,1398.11,1426.19
2013.01.01,1426.19,1426.19,1426.19,1426.19
2013.01.02,1426.19,1462.43,1426.19,1462.42
2013.01.03,1462.42,1465.47,1455.53,1459.37
2013.01.04,1459.37,1467.94,1458.99,1466.47
2013.01.07,1464.57,1464.57,1456.62,1461.89
2013.01.08,1461.89,1461.89,1451.64,1457.15
2013.01.09,1457.15,1464.73,1457.15,1461.02
2013.01.10,1461.02,1472.29,1461.02,1472.12
2013.01.11,1472.12,1472.75,1467.58,1472.05
2013.01.14,1472.05,1472.05,1465.71,1470.68
2013.01.15,1470.68,1473.31,1463.86,1472.34
2013.01.16,1472.33,1473.96,1467.6,1472.63
2013.01.17,1472.63,1485.16,1472.63,1480.94
2013.01.18,1479.6,1485.6,1475.4,1483.6
2013.01.21,1485.5,1488.4,1483.1,1487.9
2013.01.22,1487.1,1494.6,1479.9,1494.6
2013.01.23,1494.9,1496.13,1489.9,1494.81
2013.01.24,1494.81,1502.27,1489.73,1494.82
2013.01.25,1494.82,1503.26,1494.82,1502.96
2013.01.28,1502.98,1503.23,1496.33,1500.18
2013.01.29,1500.18,1509.35,1498.09,1507.84
2013.01.30,1507.84,1509.94,1500.11,1501.96
2013.01.31,1501.96,1504.19,1496.76,1498.11
2013.02.01,1498.11,1514.41,1498.11,1513.17
2013.02.04,1513.17,1513.17,1495.02,1495.71
2013.02.05,1495.71,1514.96,1495.71,1511.29
2013.02.06,1511.29,1512.49,1504.78,1512.12
2013.02.07,1512.12,1512.86,1498.63,1509.39
2013.02.08,1511.96,1518.31,1511.96,1517.93
2013.02.11,1517.93,1518.29,1513.61,1517.01
2013.02.12,1517.01,1522.29,1515.68,1519.43
2013.02.13,1519.43,1524.69,1515.93,1520.33
2013.02.14,1520.33,1523.14,1514.02,1521.38
2013.02.15,1522.06,1524.24,1514.14,1519.79
2013.02.18,1518.6,1520.6,1517.4,1519.6
2013.02.19,1519.4,1530.6,1517.1,1530.1
2013.02.20,1530.4,1530.8,1511.41,1511.95
2013.02.21,1511.95,1511.95,1497.29,1502.42
2013.02.22,1505.33,1515.64,1505.33,1515.6
2013.02.25,1513.885,1514,1513.68,1513.998
2013.02.26,1513.944,1513.977,1486.542,1486.624
2013.02.27,1486.543,1496.84,1486.543,1496.833
2013.02.28,1515.907,1515.92,1515.906,1515.918
2013.03.01,1515.919,1519.969,1503.599,1518.2
2013.03.04,1518.199,1525.239,1512.289,1525.2
2013.03.05,1525.199,1543.42,1525.199,1539.79
2013.03.06,1539.79,1545.158,1538.146,1541.049
2013.03.07,1541.028,1545.77,1539.897,1544.259
2013.03.08,1544.258,1552.47,1542.935,1551.169
2013.03.11,1551.169,1556.239,1547.359,1556.209
2013.03.12,1556.21,1556.749,1548.237,1552.47
2013.03.13,1552.468,1556.38,1548.243,1554.509
2013.03.14,1554.384,1563.298,1554.384,1563.229
2013.03.15,1563.229,1563.229,1555.727,1560.69
2013.03.18,1560.69,1560.69,1545.115,1552.1
2013.03.19,1552.1,1557.199,1538.57,1548.34
2013.03.20,1548.339,1561.433,1548.339,1558.71
2013.03.21,1558.709,1558.709,1543.538,1545.799
2013.03.22,1545.792,1557.719,1545.792,1556.889
2013.03.25,1556.889,1564.889,1546.255,1551.689
2013.03.27,1563.749,1564.019,1551.898,1562.85
2013.03.28,1562.849,1570.23,1561.078,1569.18
2013.03.29,1569.18,1569.18,1569.18,1569.18
2013.04.01,1569.18,1570.528,1558.479,1562.16
2013.04.02,1562.159,1573.629,1562.159,1570.24
2013.04.03,1570.239,1571.437,1549.798,1553.679
2013.04.04,1553.679,1562.569,1552.519,1559.97
2013.04.05,1559.969,1559.97,1539.492,1553.269
2013.04.08,1553.6,1568.4,1548.9,1568.4
2013.04.09,1568.1,1573.86,1560.918,1568.599
2013.04.10,1568.593,1588.973,1568.593,1587.72
2013.04.11,1587.719,1597.214,1586.169,1593.359
2013.04.12,1593.36,1593.36,1579.968,1585.057
2013.04.15,1579.34,1580.499,1552.273,1552.36
2013.04.16,1552.359,1575.299,1552.359,1574.559
2013.04.17,1574.559,1574.559,1546.168,1549.988
2013.04.18,1552.009,1554.304,1541.045,1551.087
2013.04.19,1543.5,1555.4,1541.1,1552.6
2013.04.22,1555.174,1565.503,1548.184,1562.489
2013.04.23,1562.489,1579.539,1562.489,1578.769
2013.04.24,1578.191,1582.989,1575.79,1578.779
2013.04.25,1578.786,1592.58,1578.786,1585.16
2013.04.26,1585.16,1585.749,1577.557,1582.23
2013.04.29,1582.23,1596.629,1582.23,1593.6
2013.04.30,1593.599,1597.56,1586.496,1597.559
2013.05.01,1597.56,1597.56,1581.276,1582.699
2013.05.02,1582.696,1598.558,1582.696,1597.579
2013.05.03,1597.58,1618.419,1597.579,1614.409
2013.05.06,1614.399,1619.75,1614.209,1617.5
2013.05.07,1617.548,1626.009,1616.635,1625.96
2013.05.08,1625.95,1632.728,1622.696,1632.679
2013.05.09,1632.679,1635,1623.089,1626.659
2013.05.10,1629.6,1633.6,1623.1,1632.1
2013.05.13,1631.952,1635.979,1626.74,1633.76
2013.05.14,1633.76,1650.959,1633.747,1650.34
2013.05.15,1649.037,1661.46,1646.677,1658.77
2013.05.16,1656.9,1660.4,1647.9,1651.4
2013.05.17,1651.6,1660.589,1650.1,1659.548
2013.05.20,1664.4,1672.4,1661.6,1665.9
2013.05.21,1666,1674.9,1661.9,1667.6
2013.05.22,1667.5,1683.39,1648.368,1658.863
2013.05.23,1658.895,1660.377,1634.363,1652.676
