Date,Open,High,Low,Close
2011.09.19,2277.64,2319.73,2260.66,2308.76
2011.09.20,2308.76,2337.6,2293.06,2295.89
2011.09.21,2308.41,2321.13,2258.29,2258.3
2011.09.22,2195.42,2219.71,2159.07,2171.44
2011.09.23,2184.59,2184.59,2184.59,2184.59
2012.01.19,2442.6,2445.5,2436.23,2441.7
2012.01.20,2441.7,2441.7,2428.66,2437.02
2012.01.23,2437.02,2455.22,2424.29,2437.22
2012.01.24,2437.22,2440.2,2423.36,2433.96
2012.01.25,2433.96,2470.57,2433.96,2465.66
2012.01.26,2465.66,2479.31,2444.87,2454.63
2012.01.27,2454.63,2467.46,2449.83,2461.78
2012.01.30,2438.33,2468.34,2433.64,2465.32
2012.01.31,2465.32,2481.51,2453.06,2467.95
2012.02.01,2467.95,2497.31,2467.95,2488.18
2012.02.02,2488.18,2504.16,2487.15,2495.83
2012.02.03,2495.83,2532.26,2495.83,2529.17
2012.02.06,2519.33,2528.3,2513.66,2528.3
2012.02.07,2522.79,2537.64,2514.9,2532.06
2012.02.08,2532.06,2545.77,2524.21,2545.72
2012.02.09,2545.72,2567.28,2541.42,2563.93
2012.02.10,2563.93,2563.93,2537.99,2547.32
2012.02.13,2564.93,2572.58,2554.41,2569.49
2012.02.14,2569.49,2575.24,2553.95,2575.24
2012.02.15,2575.24,2600.96,2552.56,2556.01
2012.02.16,2556.01,2594.71,2551.59,2592.29
2012.02.17,2592.29,2593.56,2572.85,2584.24
2012.02.21,2589.21,2601.74,2574.36,2590.24
2012.02.22,2590.24,2593.05,2575.31,2579.78
2012.02.23,2578.91,2598.1,2570.07,2594.93
2012.02.24,2594.93,2609.45,2594.93,2604.21
2012.02.27,2589.38,2616.67,2579.63,2606.76
2012.02.28,2606.76,2634.23,2606.76,2633.46
2012.02.29,2633.46,2645.19,2615.39,2623.77
2012.03.01,2623.1,2645.91,2623.1,2643.54
2012.03.02,2643.54,2650,2633.28,2641.58
2012.03.05,2636.6,2642.75,2605.59,2614.92
2012.03.06,2614.92,2614.92,2575.21,2588.92
2012.03.07,2588.95,2614.23,2588.95,2607.85
2012.03.08,2623.45,2643.89,2618.47,2637.18
2012.03.09,2641.15,2651.98,2639.6,2646.85
2012.03.12,2646.85,2651.64,2635.76,2646.85
2012.03.13,2646.85,2697.16,2646.85,2697.11
