Date,Open,High,Low,Close
2003.08.04,1.40029,1.407,1.3951,1.40319
2003.08.05,1.40311,1.41119,1.39951,1.39951
2003.08.06,1.39896,1.4063,1.39658,1.404
2003.08.07,1.40391,1.40646,1.39109,1.39194
2003.08.08,1.3919,1.39747,1.38928,1.39096
2003.08.11,1.39095,1.39937,1.37572,1.37997
2003.08.12,1.38011,1.38531,1.37839,1.38452
2003.08.13,1.38441,1.38947,1.37794,1.37822
2003.08.14,1.37873,1.39698,1.37696,1.39343
2003.08.15,1.3933,1.39378,1.38382,1.38627
2003.08.18,1.38597,1.39381,1.38429,1.39084
2003.08.19,1.39106,1.40255,1.39017,1.39545
2003.08.20,1.39535,1.40774,1.39252,1.40089
2003.08.21,1.40121,1.41068,1.40078,1.40647
2003.08.22,1.40603,1.41606,1.39987,1.40065
2003.08.25,1.40104,1.40287,1.3957,1.40091
2003.08.26,1.40089,1.4043,1.39077,1.39299
2003.08.27,1.39297,1.40586,1.39285,1.40158
2003.08.28,1.40168,1.40774,1.39319,1.39461
2003.08.29,1.39456,1.4011,1.38383,1.38592
2003.09.01,1.38558,1.38616,1.37523,1.37792
2003.09.02,1.37821,1.39427,1.37649,1.39285
2003.09.03,1.39285,1.39747,1.37736,1.37912
2003.09.04,1.37845,1.38415,1.36913,1.37158
2003.09.05,1.37169,1.37379,1.36486,1.36835
2003.09.08,1.36908,1.37684,1.36486,1.37432
2003.09.09,1.37397,1.37487,1.36177,1.36645
2003.09.10,1.36628,1.37127,1.36278,1.36755
2003.09.11,1.36727,1.37423,1.36482,1.37013
2003.09.12,1.37008,1.37423,1.36072,1.36459
2003.09.15,1.36473,1.37112,1.36273,1.36605
2003.09.16,1.3664,1.37091,1.36336,1.36813
2003.09.17,1.36817,1.37381,1.36356,1.36589
2003.09.18,1.36566,1.36783,1.35883,1.36047
2003.09.19,1.36054,1.36254,1.34569,1.34805
2003.09.22,1.34203,1.35042,1.33632,1.34967
2003.09.23,1.34973,1.35824,1.34565,1.35622
2003.09.24,1.35619,1.35826,1.34805,1.34895
2003.09.25,1.34918,1.35197,1.34461,1.34836
2003.09.26,1.34823,1.35782,1.34795,1.35166
2003.09.29,1.3525,1.36351,1.35057,1.35083
2003.09.30,1.3504,1.35546,1.34247,1.35098
2003.10.01,1.35138,1.35376,1.34418,1.34686
2003.10.02,1.34633,1.35152,1.33701,1.33957
2003.10.03,1.33935,1.34786,1.3368,1.34391
2003.10.06,1.344,1.34878,1.33844,1.33909
2003.10.07,1.33933,1.34115,1.32663,1.33149
2003.10.08,1.33097,1.33486,1.32577,1.33381
2003.10.09,1.33366,1.34175,1.3276,1.33813
2003.10.10,1.33833,1.33945,1.31823,1.32037
2003.10.13,1.32015,1.32604,1.3187,1.31943
2003.10.14,1.31948,1.33095,1.31925,1.32326
2003.10.15,1.32337,1.3303,1.3222,1.32732
2003.10.16,1.32735,1.33025,1.31194,1.31773
2003.10.17,1.31768,1.32257,1.3109,1.31503
2003.10.20,1.31472,1.32173,1.3125,1.31979
2003.10.21,1.31949,1.32493,1.31252,1.31561
2003.10.22,1.31567,1.31771,1.30164,1.30282
