Date,Open,High,Low,Close
2003.05.05,1.34458,1.34956,1.34102,1.34202
2003.05.06,1.34183,1.34411,1.32169,1.32388
2003.05.07,1.32377,1.33133,1.32052,1.32149
2003.05.08,1.32147,1.32983,1.30851,1.31189
2003.05.09,1.31192,1.31786,1.30756,1.31249
2003.05.12,1.31302,1.31307,1.3005,1.30969
2003.05.13,1.30968,1.32011,1.309,1.31416
2003.05.14,1.31357,1.32148,1.31132,1.31518
2003.05.15,1.31518,1.32621,1.31062,1.32383
2003.05.16,1.32371,1.32566,1.3054,1.30667
2003.05.19,1.30645,1.30645,1.28926,1.29674
2003.05.20,1.29619,1.30341,1.28944,1.29103
2003.05.21,1.29119,1.29798,1.28422,1.29614
2003.05.22,1.29596,1.30185,1.28863,1.29524
2003.05.23,1.29476,1.30266,1.28656,1.28781
2003.05.26,1.29,1.29263,1.28556,1.28691
2003.05.27,1.28648,1.28818,1.28608,1.28753
2003.05.28,1.28795,1.30122,1.28454,1.29445
2003.05.29,1.29416,1.30648,1.28314,1.28547
2003.05.30,1.28501,1.303,1.28244,1.29939
2003.06.02,1.29894,1.31001,1.29411,1.30062
2003.06.03,1.3004,1.31397,1.29843,1.30976
2003.06.04,1.30965,1.31672,1.30763,1.3166
2003.06.05,1.31666,1.32158,1.29488,1.3004
2003.06.06,1.30005,1.32477,1.29897,1.31943
2003.06.09,1.31968,1.32564,1.30536,1.31577
2003.06.10,1.31535,1.32019,1.3112,1.31583
2003.06.11,1.3157,1.31749,1.30396,1.30929
2003.06.12,1.30912,1.31566,1.30082,1.3109
2003.06.13,1.31033,1.31888,1.29531,1.29798
2003.06.16,1.29685,1.30436,1.29377,1.30356
2003.06.17,1.30361,1.30877,1.29946,1.30761
2003.06.18,1.30754,1.32589,1.30613,1.32245
2003.06.19,1.32181,1.33685,1.31109,1.31378
2003.06.20,1.31351,1.33699,1.31252,1.32848
2003.06.23,1.32866,1.33474,1.32087,1.32405
2003.06.24,1.32379,1.33287,1.32017,1.32783
2003.06.25,1.32792,1.33155,1.32112,1.32817
2003.06.26,1.32823,1.35219,1.32694,1.35108
2003.06.27,1.3507,1.35638,1.3464,1.35012
2003.06.30,1.34902,1.36089,1.34848,1.3508
2003.07.01,1.35067,1.35379,1.33677,1.34127
2003.07.02,1.34123,1.34897,1.34123,1.34382
2003.07.03,1.34327,1.35532,1.34068,1.34769
2003.07.04,1.34758,1.35295,1.34579,1.34821
2003.07.07,1.34825,1.37314,1.34709,1.37211
2003.07.08,1.37181,1.37877,1.36657,1.36844
2003.07.09,1.36819,1.37022,1.35777,1.35974
2003.07.10,1.35984,1.3688,1.35401,1.36007
2003.07.11,1.35964,1.37457,1.35916,1.37425
2003.07.14,1.3751,1.38134,1.37106,1.37466
2003.07.15,1.37429,1.38679,1.3679,1.38385
2003.07.16,1.38422,1.39452,1.37304,1.37575
2003.07.17,1.37548,1.37873,1.36426,1.37016
2003.07.18,1.36993,1.3761,1.35713,1.36208
2003.07.21,1.36208,1.36543,1.3521,1.3529
2003.07.22,1.35308,1.36389,1.35221,1.36115
2003.07.23,1.36071,1.36351,1.3445,1.34654
2003.07.24,1.34612,1.35485,1.34391,1.34595
2003.07.25,1.34544,1.35201,1.33718,1.34406
2003.07.28,1.34342,1.35262,1.34258,1.34453
2003.07.29,1.34572,1.35354,1.34005,1.35167
2003.07.30,1.35148,1.36517,1.35027,1.36318
2003.07.31,1.36357,1.37322,1.36165,1.37048
2003.08.01,1.36998,1.38034,1.36113,1.36401
2003.08.04,1.363,1.36572,1.34419,1.34611
2003.08.05,1.34585,1.35751,1.34553,1.34732
2003.08.06,1.34735,1.35452,1.34058,1.35302
2003.08.07,1.35297,1.35569,1.34597,1.3499
2003.08.08,1.3499,1.36254,1.3483,1.35907
2003.08.11,1.3599,1.36546,1.35439,1.358
2003.08.12,1.35818,1.36934,1.35447,1.36787
2003.08.13,1.36772,1.37562,1.36308,1.36548
2003.08.14,1.36511,1.37501,1.36343,1.36949
2003.08.15,1.3699,1.37777,1.36628,1.37062
2003.08.18,1.37088,1.3937,1.37003,1.38848
2003.08.19,1.38821,1.40107,1.38582,1.38821
2003.08.20,1.38772,1.39347,1.38465,1.38774
2003.08.21,1.38723,1.41611,1.38544,1.41259
2003.08.22,1.41277,1.42326,1.40887,1.41698
2003.08.25,1.4197,1.42057,1.41088,1.41463
2003.08.26,1.41492,1.42718,1.40603,1.41233
2003.08.27,1.4121,1.41595,1.40554,1.41298
2003.08.28,1.41241,1.42444,1.41039,1.4138
2003.08.29,1.4138,1.41497,1.39829,1.39944
2003.09.01,1.39903,1.4025,1.39694,1.40033
2003.09.02,1.40005,1.41898,1.39946,1.41847
2003.09.03,1.4183,1.42369,1.4095,1.41457
2003.09.04,1.41447,1.42286,1.40319,1.40402
