Date,Open,High,Low,Close
2003.05.05,119.034,119.045,118.461,118.603
2003.05.06,118.591,118.751,117.29,117.5
2003.05.07,117.456,117.83,116.052,116.303
2003.05.08,116.311,116.969,115.94,116.823
2003.05.09,116.835,117.612,116.794,117.151
2003.05.12,117.286,117.286,116.304,117.025
2003.05.13,117.053,117.528,116.338,116.561
2003.05.14,116.554,116.837,115.557,116.16
2003.05.15,116.173,116.525,115.282,116.515
2003.05.16,116.538,116.596,115.768,115.898
2003.05.19,115.578,117.445,115.03,117.275
2003.05.20,117.239,117.382,116.565,116.656
2003.05.21,116.71,117.507,116.479,117.217
2003.05.22,117.216,117.752,116.878,117.176
2003.05.23,117.173,117.413,116.72,116.821
2003.05.26,116.793,117.367,116.644,116.791
2003.05.27,116.816,117.288,116.17,117.229
2003.05.28,117.233,118.89,116.923,118.639
2003.05.29,118.63,119.125,117.893,118.222
2003.05.30,118.223,119.616,117.902,119.283
2003.06.02,119.521,119.631,118.303,118.51
2003.06.03,118.487,119.32,118.263,119.115
2003.06.04,119.116,119.362,118.337,118.768
2003.06.05,118.79,118.932,117.326,117.706
2003.06.06,117.691,118.912,117.551,118.665
2003.06.09,118.637,118.76,117.783,118.137
2003.06.10,118.157,118.363,117.516,117.748
2003.06.11,117.798,118.104,117.478,117.642
2003.06.12,117.642,117.94,117.444,117.543
2003.06.13,117.587,117.861,117.154,117.457
2003.06.16,117.327,117.779,117.143,117.567
2003.06.17,117.572,118.385,117.412,118.081
2003.06.18,118.093,118.681,117.72,117.755
2003.06.19,117.778,119.068,117.735,118.229
2003.06.20,118.263,118.613,117.987,118.268
2003.06.23,118.364,118.605,117.451,117.626
2003.06.24,117.627,118.056,117.536,117.885
2003.06.25,117.909,118.128,117.304,117.92
2003.06.26,117.9,119.44,117.872,119.35
2003.06.27,119.332,120.044,119.138,119.619
2003.06.30,119.597,120.249,119.535,119.683
2003.07.01,119.67,119.954,119.001,119.393
2003.07.02,119.365,119.453,117.829,117.968
2003.07.03,117.989,118.634,117.843,118.166
2003.07.04,118.159,118.497,117.944,118.093
2003.07.07,117.959,118.306,117.804,118.122
2003.07.08,118.126,118.676,117.579,118.173
2003.07.09,118.173,118.432,117.58,117.691
2003.07.10,117.741,118.026,117.357,117.55
2003.07.11,117.514,117.985,117.507,117.635
2003.07.14,117.742,117.831,117.281,117.588
2003.07.15,117.598,117.913,116.65,117.807
2003.07.16,117.812,118.669,117.755,118.133
2003.07.17,118.129,118.953,117.849,118.733
2003.07.18,118.756,119.224,118.227,118.354
2003.07.21,118.504,118.769,118.218,118.435
2003.07.22,118.45,119.396,118.384,119.063
2003.07.23,119.066,119.14,118.578,118.852
2003.07.24,118.811,119.302,118.514,118.899
2003.07.25,118.9,119.283,118.524,118.826
2003.07.28,119.226,119.608,118.757,119.362
2003.07.29,119.371,119.926,119.063,119.879
2003.07.30,119.844,120.735,119.583,120.215
2003.07.31,120.258,120.61,119.7,120.507
2003.08.01,120.518,120.694,119.768,119.994
2003.08.04,120.128,120.586,119.634,120.299
2003.08.05,120.291,120.617,119.703,119.796
2003.08.06,119.826,120.42,119.68,120.226
2003.08.07,120.246,120.282,118.795,118.921
2003.08.08,118.923,119.246,118.786,118.974
2003.08.11,119.05,119.093,118.151,118.535
2003.08.12,118.541,118.745,118.336,118.686
2003.08.13,118.673,119.446,118.477,119.083
2003.08.14,119.045,119.659,118.862,119.093
2003.08.15,119.095,119.449,118.736,119.163
2003.08.18,119.182,119.748,119.039,119.402
2003.08.19,119.408,119.764,118.203,118.315
2003.08.20,118.337,118.758,117.761,118.023
2003.08.21,118.122,118.206,117.498,117.753
2003.08.22,117.774,118.034,117.281,117.49
2003.08.25,117.587,117.675,117.114,117.285
2003.08.26,117.272,117.758,117.141,117.3
2003.08.27,117.32,117.984,117.263,117.382
2003.08.28,117.373,117.61,117.187,117.263
2003.08.29,117.263,117.397,116.13,116.872
2003.09.01,116.692,116.803,116.31,116.52
2003.09.02,116.547,117.231,115.806,116.533
2003.09.03,116.528,116.568,115.83,115.834
2003.09.04,115.822,117.064,115.723,116.686
2003.09.05,116.688,117.149,116.419,116.767
2003.09.08,116.777,117.698,116.352,116.794
2003.09.09,116.785,116.944,116.044,116.791
2003.09.10,116.79,117.236,116.595,117.025
2003.09.11,117.045,117.25,116.535,117.048
2003.09.12,117.07,117.484,116.707,117.244
2003.09.15,117.251,117.67,117.175,117.427
2003.09.16,117.44,117.448,115.992,116.136
2003.09.17,116.13,116.481,115.833,115.982
2003.09.18,115.986,116.15,114.731,115.201
2003.09.19,115.217,115.491,113.585,113.908
