Date,Open,High,Low,Close
2003.05.05,340.345,342.588,339.734,341.887
2003.05.06,341.485,344.208,340.276,342.367
2003.05.07,342.651,344.185,339.005,341.162
2003.05.08,341.385,348.054,339.956,347.732
2003.05.09,347.801,348.577,345.82,347.924
2003.05.12,348.163,351.576,347.725,350.399
2003.05.13,350.394,351.265,348.541,349.128
2003.05.14,348.995,353.95,347.405,352.19
2003.05.15,351.962,355.217,350.208,351.566
2003.05.16,351.209,355.068,350.493,353.9
2003.05.19,355.645,364.111,354.725,363.561
2003.05.20,364.011,369.295,363.296,367.64
2003.05.21,367.895,371.995,362.754,371.495
2003.05.22,371.543,371.798,367.434,367.728
2003.05.23,367.653,370.195,364.748,367.465
2003.05.26,367.936,370.485,367.535,369.973
2003.05.27,369.962,374.195,365.804,366.461
2003.05.28,365.361,366.595,357.995,364.393
2003.05.29,364.146,365.004,359.595,364.577
2003.05.30,364.735,368.795,363.004,363.74
2003.06.02,362.452,366.242,359.55,365.437
2003.06.03,365.315,366.936,363.913,364.937
2003.06.04,364.792,365.339,360.358,360.702
2003.06.05,360.959,367.397,360.236,366.827
2003.06.06,366.984,368.298,361.498,363.118
2003.06.09,362.805,365.189,360.355,360.948
2003.06.10,360.85,361.571,351.079,351.411
2003.06.11,351.539,355.766,351.073,354.119
2003.06.12,354.167,355.115,350.336,352.725
2003.06.13,352.674,356.103,351.439,355.696
2003.06.16,355.998,360.304,355.558,358.413
2003.06.17,358.333,362.87,358.105,362.795
2003.06.18,362.603,363.866,356.181,356.499
2003.06.19,356.736,360.973,353.944,360.911
2003.06.20,360.573,362.079,355.47,355.765
2003.06.23,355.89,357.169,351.669,351.783
2003.06.24,351.914,354.264,345.343,345.675
2003.06.25,345.443,348.778,345.441,347.811
2003.06.26,347.701,348.271,342.713,343.079
2003.06.27,343.003,345.69,341.693,344.612
2003.06.30,344.325,347.414,343.428,345.245
2003.07.01,345.49,351.056,344.35,350.487
2003.07.02,350.255,352.296,349.081,350.259
2003.07.03,350.257,350.966,348.571,350.098
2003.07.04,350.026,351.061,349.824,350.233
2003.07.07,350.163,351.474,346.838,347.174
2003.07.08,347.218,348.033,342.763,343.56
2003.07.09,343.439,345.474,342.712,343.605
2003.07.10,343.644,345.38,341.251,344.294
2003.07.11,344.112,344.604,342.498,344.34
2003.07.14,344.393,347.347,343.281,346.355
2003.07.15,346.746,348.731,342.692,342.885
2003.07.16,342.783,344.022,340.477,342.556
2003.07.17,342.801,344.597,341.657,343.184
2003.07.18,343.16,346.766,342.413,346.422
2003.07.21,346.132,351.486,345.755,350.721
2003.07.22,350.48,352.316,348.811,350.096
2003.07.23,350.122,358.319,349.477,358.095
2003.07.24,357.947,361.963,355.993,361.945
2003.07.25,361.797,362.968,358.815,362.029
2003.07.28,361.764,366.542,360.813,364.059
2003.07.29,364.012,364.8,360.394,361.068
2003.07.30,360.879,361.342,354.374,355.222
2003.07.31,355.295,357.045,353.035,353.692
2003.08.01,353.696,355.498,348.359,348.359
2003.08.04,348.095,349.592,346.045,348.074
2003.08.05,348.995,351.336,347.648,350.833
2003.08.06,351.175,353.005,348.587,351.045
2003.08.07,350.884,353.345,348.69,352.395
2003.08.08,352.395,357.195,351.675,356.295
2003.08.11,355.795,361.776,355.169,360.905
2003.08.12,361.142,361.714,357.436,357.522
2003.08.13,357.995,363.598,354.95,361.649
