DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2002.11.19,00:00,1.00930,1.01440,1.00050,1.00340,3777
2002.11.20,00:00,1.00330,1.00470,0.99880,1.00130,3653
2002.11.21,00:00,1.00130,1.00440,0.99770,1.00250,4163
2002.11.22,00:00,1.00250,1.00370,0.99580,0.99720,2670
2002.11.23,00:00,0.99730,0.99750,0.98000,0.98020,189
2002.11.25,00:00,0.99680,0.99710,0.98900,0.99160,2385
2002.11.26,00:00,0.99160,0.99360,0.98930,0.99360,2565
2002.11.27,00:00,0.99360,0.99430,0.98750,0.99070,2295
2002.11.28,00:00,0.99060,0.99630,0.98920,0.99500,1596
2002.11.29,00:00,0.99330,0.99580,0.99170,0.99430,1680
2002.12.02,00:00,0.99430,0.99850,0.98590,0.99690,2791
2002.12.03,00:00,0.99680,1.00050,0.99490,0.99680,2417
2002.12.04,00:00,0.99670,1.00320,0.99620,1.00150,3258
2002.12.05,00:00,1.00150,1.00280,0.99690,1.00020,3192
2002.12.06,00:00,1.00040,1.01320,1.00000,1.00990,4367
2002.12.09,00:00,1.01010,1.01210,1.00660,1.01100,3402
2002.12.10,00:00,1.01110,1.01420,1.00700,1.00760,3185
2002.12.11,00:00,1.00780,1.01040,1.00580,1.00840,3147
2002.12.12,00:00,1.00820,1.01990,1.00730,1.01830,3967
2002.12.13,00:00,1.01850,1.02620,1.01710,1.02270,4490
2002.12.15,00:00,1.02330,1.02330,1.02320,1.02330,3
2002.12.16,00:00,1.02360,1.02520,1.01930,1.02240,3282
2002.12.17,00:00,1.02230,1.03380,1.02060,1.02700,9423
2002.12.18,00:00,1.02700,1.02920,1.02220,1.02850,21236
2002.12.19,00:00,1.02860,1.02920,1.02040,1.02680,26612
2002.12.20,00:00,1.02660,1.02820,1.02370,1.02710,19496
2002.12.22,00:00,1.02730,1.02810,1.02600,1.02670,95
2002.12.23,00:00,1.02650,1.03220,1.02130,1.02650,22140
2002.12.24,00:00,1.02630,1.03290,1.02510,1.03030,16299
2002.12.25,00:00,1.03020,1.03310,1.02770,1.03230,3845
2002.12.26,00:00,1.03230,1.03840,1.03090,1.03660,9311
2002.12.27,00:00,1.03660,1.04450,1.03570,1.04390,11002
2002.12.30,00:00,1.04190,1.04970,1.04080,1.04770,3287
2002.12.31,00:00,1.04760,1.05070,1.04540,1.04910,3042
2003.01.01,00:00,1.04910,1.05030,1.04630,1.04800,876
2003.01.02,00:00,1.04780,1.04990,1.03350,1.03620,3411
2003.01.03,00:00,1.03620,1.04400,1.03380,1.04170,2814
2003.01.06,00:00,1.04210,1.04990,1.04140,1.04460,33863
2003.01.07,00:00,1.04460,1.04590,1.03940,1.04100,30931
2003.01.08,00:00,1.04100,1.05360,1.03580,1.05000,4607
2003.01.09,00:00,1.04990,1.05420,1.04580,1.04860,16908
2003.01.10,00:00,1.04860,1.05910,1.04700,1.05780,27499
2003.01.13,00:00,1.05810,1.05860,1.05210,1.05400,6523
2003.01.14,00:00,1.05410,1.06020,1.05350,1.05560,10889
2003.01.15,00:00,1.05560,1.05980,1.05000,1.05560,31198
2003.01.16,00:00,1.05540,1.06310,1.05430,1.06120,23630
2003.01.17,00:00,1.06110,1.06850,1.06000,1.06670,26015
2003.01.20,00:00,1.06560,1.06820,1.06290,1.06740,20275
2003.01.21,00:00,1.06870,1.07410,1.06280,1.07230,34865
2003.01.22,00:00,1.07230,1.07490,1.06800,1.07260,35788
2003.01.23,00:00,1.07260,1.07830,1.07010,1.07460,29942
2003.01.24,00:00,1.07470,1.08610,1.07370,1.08330,33933
2003.01.27,00:00,1.08370,1.09120,1.07800,1.08500,32537
2003.01.28,00:00,1.08500,1.08520,1.07800,1.08250,33322
2003.01.29,00:00,1.08250,1.09040,1.08050,1.08250,25047
2003.01.30,00:00,1.08120,1.08410,1.07300,1.08200,11804
2003.01.31,00:00,1.08210,1.08370,1.07220,1.07720,4710
2003.02.02,00:00,1.07910,1.07940,1.07750,1.07780,10
2003.02.03,00:00,1.07760,1.08050,1.06910,1.07890,5170
2003.02.04,00:00,1.07870,1.09110,1.07630,1.08860,4616
2003.02.05,00:00,1.08860,1.09400,1.07350,1.07790,6184
2003.02.06,00:00,1.07780,1.08670,1.07640,1.08310,5294
2003.02.07,00:00,1.08330,1.08410,1.07280,1.08200,5024
2003.02.10,00:00,1.08190,1.08310,1.07040,1.07150,4212
2003.02.11,00:00,1.07140,1.07650,1.06640,1.07450,4818
2003.02.12,00:00,1.07450,1.07730,1.07020,1.07110,4320
2003.02.13,00:00,1.07110,1.08610,1.07030,1.08410,5849
2003.02.14,00:00,1.08400,1.08540,1.07580,1.07910,4947
2003.02.17,00:00,1.07720,1.07750,1.06740,1.07320,3255
2003.02.18,00:00,1.07320,1.07590,1.06750,1.06840,4331
2003.02.19,00:00,1.06820,1.07680,1.06640,1.07450,3440
2003.02.20,00:00,1.07450,1.08370,1.07430,1.08210,4572
2003.02.21,00:00,1.08200,1.08500,1.07470,1.07750,3816
2003.02.24,00:00,1.07090,1.08060,1.07050,1.08060,3903
2003.02.25,00:00,1.08060,1.08240,1.07410,1.07490,5150
2003.02.26,00:00,1.07490,1.08130,1.07280,1.08000,4489
2003.02.27,00:00,1.08010,1.08400,1.07330,1.07470,5904
2003.02.28,00:00,1.07470,1.08100,1.07330,1.08060,4772
2003.03.02,00:00,1.07830,1.07880,1.07680,1.07830,339
2003.03.03,00:00,1.07850,1.09040,1.07660,1.08940,5325
2003.03.04,00:00,1.08960,1.09910,1.08730,1.09780,7092
2003.03.05,00:00,1.09800,1.10060,1.09440,1.09660,5944
2003.03.06,00:00,1.09680,1.10140,1.09240,1.09740,6288
2003.03.07,00:00,1.09760,1.10710,1.09660,1.10080,6526
2003.03.09,00:00,1.10060,1.10180,1.10000,1.10100,153
2003.03.10,00:00,1.10120,1.10700,1.10080,1.10440,4966
2003.03.11,00:00,1.10460,1.10860,1.10030,1.10330,5311
2003.03.12,00:00,1.10330,1.10600,1.09810,1.09870,4399
2003.03.13,00:00,1.09870,1.09900,1.07610,1.07970,9117
2003.03.14,00:00,1.07990,1.08240,1.06870,1.07430,7522
2003.03.17,00:00,1.08140,1.08470,1.05860,1.06180,8229
2003.03.18,00:00,1.06190,1.06560,1.05400,1.06460,7635
2003.03.19,00:00,1.06460,1.06570,1.05500,1.05850,7696
2003.03.20,00:00,1.05850,1.06750,1.05270,1.06040,8731
2003.03.21,00:00,1.06040,1.06160,1.04990,1.05330,7587
2003.03.24,00:00,1.05990,1.06790,1.05640,1.06460,6289
2003.03.25,00:00,1.06480,1.07240,1.06300,1.06630,6712
2003.03.26,00:00,1.06630,1.07060,1.06200,1.06960,4444
2003.03.27,00:00,1.06970,1.07460,1.06730,1.06970,5588
2003.03.28,00:00,1.06960,1.08030,1.06670,1.07800,5555
2003.03.31,00:00,1.07930,1.09350,1.07780,1.09190,5421
2003.04.01,00:00,1.09210,1.09630,1.08640,1.09400,3727
2003.04.02,00:00,1.09380,1.09470,1.07300,1.07660,4252
2003.04.03,00:00,1.07660,1.07940,1.06840,1.07660,4539
2003.04.04,00:00,1.07660,1.07710,1.06800,1.07240,3985
2003.04.07,00:00,1.06740,1.07070,1.05600,1.06840,3909
2003.04.08,00:00,1.06820,1.07280,1.06410,1.07190,4427
2003.04.09,00:00,1.07190,1.07870,1.06730,1.07720,4199
2003.04.10,00:00,1.07720,1.08340,1.07590,1.07870,4084
2003.04.11,00:00,1.07870,1.07900,1.06900,1.07530,3216
2003.04.14,00:00,1.07350,1.08130,1.07160,1.07790,2965
2003.04.15,00:00,1.07800,1.08240,1.07350,1.07980,3225
2003.04.16,00:00,1.07960,1.09230,1.07830,1.09110,3348
2003.04.17,00:00,1.09090,1.09800,1.08650,1.08810,4281
2003.04.18,00:00,1.08800,1.09000,1.08730,1.08820,1104
2003.04.21,00:00,1.08900,1.09060,1.08200,1.08610,4742
2003.04.22,00:00,1.08600,1.10070,1.08460,1.09620,9070
2003.04.23,00:00,1.09640,1.09870,1.09200,1.09530,8559
2003.04.24,00:00,1.09530,1.10510,1.09440,1.10400,10887
2003.04.25,00:00,1.10390,1.10540,1.09600,1.10250,11126
2003.04.28,00:00,1.10310,1.10800,1.09750,1.09830,8332
2003.04.29,00:00,1.09830,1.10880,1.09310,1.10690,8775
2003.04.30,00:00,1.10670,1.11920,1.10620,1.11720,12532
2003.05.01,00:00,1.11740,1.12890,1.11520,1.12460,10819
2003.05.02,00:00,1.12440,1.12760,1.11870,1.12290,10823
2003.05.05,00:00,1.12180,1.13080,1.12030,1.12960,5402
2003.05.06,00:00,1.12940,1.14570,1.12740,1.14270,10494
2003.05.07,00:00,1.14270,1.14350,1.13280,1.13530,12491
2003.05.08,00:00,1.13550,1.15110,1.13070,1.14860,14206
2003.05.09,00:00,1.14850,1.15410,1.14370,1.14920,11166
2003.05.12,00:00,1.15680,1.16270,1.15240,1.15570,10899
2003.05.13,00:00,1.15590,1.15620,1.14620,1.15320,12764
2003.05.14,00:00,1.15300,1.15390,1.14670,1.14820,11285
2003.05.15,00:00,1.14800,1.14920,1.13690,1.13870,12424
2003.05.16,00:00,1.13870,1.15830,1.13690,1.15780,11506
2003.05.19,00:00,1.16600,1.17430,1.16190,1.16460,13885
2003.05.20,00:00,1.16470,1.17410,1.16030,1.17360,12146
2003.05.21,00:00,1.17360,1.17480,1.16260,1.16460,11718
2003.05.22,00:00,1.16450,1.17320,1.16180,1.16960,10524
2003.05.23,00:00,1.16980,1.18400,1.16650,1.18350,11935
2003.05.26,00:00,1.18200,1.18790,1.17990,1.18600,5557
2003.05.27,00:00,1.18600,1.19380,1.18100,1.18140,11671
2003.05.28,00:00,1.18140,1.18500,1.17060,1.17550,6083
2003.05.29,00:00,1.17550,1.19190,1.16920,1.18960,9673
2003.05.30,00:00,1.18940,1.19010,1.17400,1.17870,13127
2003.06.02,00:00,1.17250,1.17730,1.16510,1.17470,12982
2003.06.03,00:00,1.17440,1.17830,1.16850,1.17360,11688
2003.06.04,00:00,1.17360,1.17520,1.16310,1.16480,10909
2003.06.05,00:00,1.16500,1.18920,1.16310,1.18410,14107
2003.06.06,00:00,1.18410,1.18840,1.16830,1.17020,14055
2003.06.09,00:00,1.17020,1.17930,1.16550,1.17110,12781
2003.06.10,00:00,1.17130,1.17450,1.16670,1.16820,10961
2003.06.11,00:00,1.16790,1.17850,1.16570,1.17610,11591
2003.06.12,00:00,1.17610,1.18090,1.17040,1.17720,10947
2003.06.13,00:00,1.17720,1.18820,1.17340,1.18690,11958
2003.06.16,00:00,1.18790,1.19340,1.18130,1.18200,10491
2003.06.17,00:00,1.18200,1.18710,1.17670,1.17870,10172
2003.06.18,00:00,1.17860,1.18060,1.16630,1.16870,10562
2003.06.19,00:00,1.16860,1.17450,1.15820,1.17080,15698
2003.06.20,00:00,1.17090,1.17370,1.15490,1.15850,13059
2003.06.23,00:00,1.15870,1.16100,1.15070,1.15530,11144
2003.06.24,00:00,1.15510,1.15850,1.14740,1.15010,9044
2003.06.25,00:00,1.15010,1.16270,1.14950,1.15380,11001
2003.06.26,00:00,1.15380,1.15480,1.14140,1.14270,11902
2003.06.27,00:00,1.14290,1.14710,1.13970,1.14210,11110
2003.06.30,00:00,1.14290,1.15380,1.14000,1.15230,8916
2003.07.01,00:00,1.15240,1.16120,1.15070,1.15640,8889
2003.07.02,00:00,1.15650,1.15730,1.15050,1.15320,9306
2003.07.03,00:00,1.15340,1.15450,1.14310,1.14940,10194
2003.07.04,00:00,1.14940,1.14990,1.14480,1.14920,5803
2003.07.07,00:00,1.14690,1.14750,1.13090,1.13250,10199
2003.07.08,00:00,1.13260,1.13550,1.12560,1.13170,11399
2003.07.09,00:00,1.13150,1.13700,1.13050,1.13390,9633
2003.07.10,00:00,1.13380,1.13960,1.13100,1.13610,11451
2003.07.11,00:00,1.13620,1.13650,1.12740,1.13130,10489
2003.07.14,00:00,1.12810,1.13110,1.12410,1.12730,9208
2003.07.15,00:00,1.12730,1.13410,1.11540,1.11820,12035
2003.07.16,00:00,1.11830,1.12360,1.11090,1.12290,11114
2003.07.17,00:00,1.12290,1.12530,1.11550,1.12350,10552
